content,username,device,date,title
"I am very pleased with my new Samsung 7. My Samsung 4 was still working , but the charging port was damaged so I had no option but purchase another phone. At this point, I am very satisified with all of the options, but still learning. I will be returning to the nearby Verizon store to get help figuring out several adjust to.items but overall, the phone is fairly easy to",2088189271,Samsung Galaxy S7,2017-04-25,Great phone! Still working through all of the new options.
"The phone is all the quality you would need in a smart phone. With the new software update there really no flaws to this phone. It has excellent resolution ,speed, multitasking functions, withstands the environment, outstanding battery life, and the way it is built is superior to the touch of your hand.",Usefultech43,Samsung Galaxy S7,2017-04-24,Superior phone
Like the Auto application that I can use on my Ford Focus. Appreciate the long battery life. Like the larger size.,MG phone,Samsung Galaxy S7,2017-04-19,Mary's New Phone
"I take a lot of photography with a Nikon, and I found the pictures I took with this camera did not need any additional processing i.e. lightroom. I would recommend an sd card to store your photos so you don't have to fill up the memory in the phone",kdscot1,Samsung Galaxy S7,2017-04-18,Takes Great Pictures
"Fast response, decent speakers,great features Battery life could be better. Decent camera. Overall a great phone. I would recommend this phone to anyone who is looking for a new phone.",Jkboy,Samsung Galaxy S7,2017-04-18,Great features
So easy to learn to use. So many advancements since the Galaxy S2. Many features are a simple one-click.,SalVV,Samsung Galaxy S7,2017-04-17,"Great Features! I've had a Galaxy S2, S5 and now the S7. Wouldn't have anything but Samsung"
"Simple to use, great audio and I love it, just like my last one! I really with someone would design a battery that kept it's charge longer! How about solar powered??",RARM,Samsung Galaxy S7,2017-04-24,The same as my last phone!
I like the fact that it charges very quickly. I chose the gold which I love. I wish it had more of a variety of ringtones to choose from.,Ronnie17,Samsung Galaxy S7,2017-04-19,Good looking phone
Easy transition from Galaxy 3. Data transfer from old device to new device was smooth. New functionality not too difficult to master.,Kwisman3,Samsung Galaxy S7,2017-04-16,Easy transition from Galaxy 3.
"I have not had this new phone for more than One week, And have not been disappointed so far. I like this phone much better than my old Galaxy-S4.",Silent type,Samsung Galaxy S7,2017-04-16,"Very nice phone, with excellent features."
The basic operation of the phone is enough like my old s4 that there was no learning curve. I updated to Android 7.0 a day after I got the phone which presented more of a challenge than the hardware. I haven't explored the new features of the camera yet but on the whole it is a better version of the s4 I have been using for 3 years. (Note to Samsung: put the on/off button on the top of the phone. It is too easy to hit it accidentally.) Also I miss the replaceable battery. Hope I don't have a really expensive brick with a 5 minute battery life in 18 months!,KGB409,Samsung Galaxy S7,2017-04-16,Similar to my old s4 but is a lot faster!
Screen is to small. When coming from a note 5.But nice phone very happy with Samsung phones all together,Big D 1978,Samsung Galaxy S7,2017-04-16,Screen is to small
"I am having a bit of trouble finding my voicemail, but just started looking today lol Fantastic customer service and priducts",Shari Bentley,Samsung Galaxy S7,2017-04-15,Ms
"I like the phone it is what i expected i just feel the prices are to high,the service is great and the people at the stores are wonderful",POKEY46,Samsung Galaxy S7,2017-04-15,Added new phone
The Galaxy S7 meets my expectations in a phone. The apps are easily accessable. The speed is great. The phone is easy to handle and the camera works very well with nice clear pictures.,Cyndilm,Samsung Galaxy S7,2017-04-15,Super easy to use
"The phone is really awesome with cool apps. It is really thin and fits great in my pocket. The internet is really fast and it takes great pictures, even in the dark.",Talkingshermo,Samsung Galaxy S7,2017-04-14,Awesome
"I was in no doubt in need of an update. My old phone was the S4, a week before the S5 came out all those years ago. I needed a new cellphone and decided to still stick with the Galaxy and merely got the S7. It's easy to transition to, it was simple to use, and I'm already use to the new features. The battery will easily last me throughout my day without me charging it, going from 8am in the morning until around 1am the next, still having around 20% left even after constant use.",SeroLeir,Samsung Galaxy S7,2017-04-24,Went from the S4 to the S7.
"'Just upgraded from a 3-year-old Android...such an improvement, especially the speed of the system and the camera. The battery was being used very quickly until the ""performance mode"" was changed, from ""high performance"" to ""optimized"" - thus saving battery power - so I'd recommend doing this unless you need, i.e., everything running on your device or things like having the brightest screen at all times. This phone can also be charged ""wirelessly"" with a wireless charger that you place the phone on - no connection needed! Have only had the phone 1 week but am happy so far. Only negative is the high cost of this device and lack of a 2-year contract, which used to keep the price down.",JC 83,Samsung Galaxy S7,2017-04-12,Slick and great features
Awesome phone and I love Verizon never had any issues and customer service is awesome as well . The inventory they have on phones is great the overall of Verizon is awesome !!!,Florence jean,Samsung Galaxy S7,2017-04-12,Awesome phone
Holds a charge well. Ease of apps and the clarity is great. Love the camera and my voice calls come in much clearer,Jeannie5,Samsung Galaxy S7,2017-04-12,love it
The S7 is so close to the S5 that I did have as far as the way the phone works. Made it easy to use!,sejanis,Samsung Galaxy S7,2017-04-12,Great phone! Really easy to get used to!
"I love my new Samsung S7. I had an S6 previously...Samsung continues to innovate. I'll upgrade to the S8 in time I'm sure. I like the water resistance, screen responsiveness, build quality, and performance.",Dave Reid,Samsung Galaxy S7,2017-04-12,Fabulous phone and great service @
I enjoy all the good features of the S7........I enjoy my Gear VR with my S7....My mom likes it my aunt and uncle like it,Bossow06,Samsung Galaxy S7,2017-04-12,They did my transfer from my Galaxy S4 to my upgraded Galaxy S7 NO PROBLEM
I'm loving the storage and the camera on the Galaxy S7. The phone is the perfect size and it has good accessories.,SBrooks,Samsung Galaxy S7,2017-04-12,Feedback 2017
"The Samsung S7 is a very solid, well built, phone. It's all metal with solid switches. The max microSD cap is 200 GByte, which San Disk produces. The battery is not replaceable, so getting an ANKER 10000 mAHour external battery was a logical choice for me (this battery is cheap at Amazon). I cannot sort my music by date, cause unknown. I take the SAME microSD disc with the songs, and insert into the OLD Samsung S4 and sort by date works. I relocate the disc to the S7, and the sort by date doesn't work correctly. Phone or PlayerPro? Still, I love the phone. It's very fast.",SamsSon,Samsung Galaxy S7,2017-04-11,"Samsung S7 solid, well built, looks good."
"This is a great phone that does everything! It takes amazing pictures and with HD Voice and Video Calling, it's like talking with someone face to face. I optimized the display to preserve on battery, but the quality of the display is still awesome. Insert an SD card to greatly expand storage capacity. The only negative is syncing email, calendar, and contacts with Exchange is a battery drain. I had to sync my exchange work email through Gmail, which solved the battery drain problem.",BonnyS7,Samsung Galaxy S7,2017-04-24,Fantastic Phone!
Very happy with my S7. I had an S4 and I was able to transfer 90% of the information I had on my S4 with little to no trouble because of Cloud and direct transfer.,Apachie14,Samsung Galaxy S7,2017-04-11,Happy with phone
Great phone. A lot better than my old phone. Many new features. I don't know how I ever lived without it. It is a vast improvement from my last phone. I'm sure I'll have many years of enjoyment using my new phone.,Cookie51,Samsung Galaxy S7,2017-04-10,Greatest phone ever.
Every thing I ever wanted in a phone. Easy to use. Set up great! The smartest smartphone I've ever had.,Cooldaddy1980,Samsung Galaxy S7,2017-04-10,Wonderful phone!
I would rather not spend time responding to this requirement. In the future don't put me in this position again.,Willie D,Samsung Galaxy S7,2017-04-24,Great phone!
Perfect phone. Nothing left to say. Had a galaxy grand forever and having this phone makes my old phone look ancient.,Gth3Stryk3r,Samsung Galaxy S7,2017-04-10,Best Chnage
"Super responsive, great phone. The Galaxy s7 is everything you want in a phone. Stylish, quick and backed up by the VZN, just one word..... awesome",SirRez,Samsung Galaxy S7,2017-04-10,Awesome always been a galaxy fan. And nothings changed.
Always reliable. Phones are excellent and have never had any issues with them lasting a long time. Verizon reps are very knowledgeable,Tresh,Samsung Galaxy S7,2017-04-09,Verizon Network
This Samsung Galaxy S7 is a great phone. I have had no problems with it and expect that it will fulfill all my needs. The camera resolution is especially outstanding. The detail is amazing - and the slow motion and fast video are a welcome addition.,rmargeson,Samsung Galaxy S7,2017-04-10,Wonderful phone
I love my new galaxy s7. It is a fantastic phone and very user friendly. I also love the great customer service that Verizon has and the Tech Coach app is great.,Paulette S,Samsung Galaxy S7,2017-04-24,Love my phone
Still learning but so far I love it. Had a pretty old phone so all the new features are great. Time will tell.,Lisa051161,Samsung Galaxy S7,2017-04-09,Love my new
My prior phone was a Galaxy S4 so a lot of the features were similar or enhanced. Very user friendly.,Happy in Oregon,Samsung Galaxy S7,2017-04-09,Seamless Transition
Love my Galaxy S7 They just keep getting better. love all the new features. Picture quality is . Finger scanning has really improved fr0m my s6. Love my Galaxy's,clamtownman,Samsung Galaxy S7,2017-04-24,SAMSUNG GALAXY'S KEEP GETTING BETTER
"I have had problems finding a phone that will work in my house and this phone is great. Ease of use, pictures, and expandable memory are great.",jans17,Samsung Galaxy S7,2017-04-07,Completely Satisfied with my purchase!
I am still trying to figure out some of the things on my phone but am really happy with it. There are a lot of features I don't need and need to turn off updates to them. I am not that tech savvy so if I can't figure it out I will contact someone to help.,brlysane4evr,Samsung Galaxy S7,2017-04-07,Easy transition
"The lady was very helpful!! The phone is very nice and almost the same as my old phone, the only downside is the have to be back the the micro memory card",Miguel150,Samsung Galaxy S7,2017-04-06,Good
1st one had an issue with battery charging to 100%. Returned it the next day and this one works great. Love the camera! Love that the battery seems to last longer. Got this one on the recommendation of a friend and so glad I did!,Oliver116,Samsung Galaxy S7,2017-04-06,Love it!
Coming form a Samsung Galaxy S4 it was an easy transition to the S7. The camera is exceptional and the other functions are easily used and similar to the S4. The only con that I have is the curved surface and slim design make it very hard to securely hold the phone. I definitely recommend getting a protective case for it.,Gmatt,Samsung Galaxy S7,2017-04-06,Easy transition from my old phone
I like all the features great design great Network that's all that's all I have to say about that I would recommend to a friend,Pemmican,Samsung Galaxy S7,2017-04-06,Great
Phone is great. The guy at Costco that help me exchange the iPhone I had bought a week prior was really helpful. Love this phone work well and is easier to use than the s6.,Sircalls,Samsung Galaxy S7,2017-04-06,"Great features, great for work."
"This phone has a very high quality camera for a mobile device. Naturally, it does not replace a device created solely for picture taking; however, its camera produces high resolution photographs for both everyday use and, to a rather high degree, a more expansive range of photography.",fralando,Samsung Galaxy S7,2017-04-05,Camera
I love my new Galaxy S7 so far. I had the Galaxy S5 before and I love this phone so much more! The content transfer from one phone to the other was super easy and so far everything has been working great!,Newcustomer222,Samsung Galaxy S7,2017-04-05,Great phone so far!
This phone is definitely a better phone than the S6--and I was not disappointed in that one! The speed is impressive and the touchscreen is very fast and accurate. I am also pleased that it comes in gold--my favorite color!,Tawnie22,Samsung Galaxy S7,2017-04-05,Love the Galaxy S7
I upgraded from an S5 and there are significantly better features on the S7. The upgraded operating system makes it more responsive. The smaller size makes it easier to carry.,BDOML 19,Samsung Galaxy S7,2017-04-05,Good Features and upgrades
"I love my phone, it's so quick and fast! I've had nothing but samsung for the last 8 years and they have never failed me",Courtney M,Samsung Galaxy S7,2017-04-05,So easy to switch
"Despite some trouble getting it activated (mostly it was because of the troublesome Experia phone I was upgrading from), it has been great. Features are nice, camera is beautiful and its got everything I wanted. Very happy!!!",JamaKay1,Samsung Galaxy S7,2017-04-04,So far I'm loving it!
The Galaxy 7 has proven to be an easy upgrade from my Samsug S5. The data transfer went well. Tech support has been a added benefit that has help me make the transition and learn where and how to find the settings and apps I needed. The battery gets quite hot at times of heave usage but neve to hot to hold my phone.,Tleno,Samsung Galaxy S7,2017-04-04,Upgrade to a new Samsug S7
"Upgraded from S4 to S7. Appreciate the new found speed and memory as well as the improved photo quality. Sound is better, just an all around better phone.",Milton mom,Samsung Galaxy S7,2017-04-02,Good Phone
Have very good luck with version services. It works a lot of places where some of others don't. I am enjoying my new phone.,Crowder,Samsung Galaxy S7,2017-04-03,Easy
Great features and smooth transition from previous phone to new phone. Plus sales representative very pleasant and knowledgeable and worked with us on the billing.,Debbie Fedele,Samsung Galaxy S7,2017-04-24,Great features and smooth transition from previous phone to new phone.
"The S7 is much faster and better megapixels on the camera than my previous S5. Love it! Still has the swipe feature... excellent! Upgrades are great.. fingerprint password, microphone placement, no more cover for the charging cord.",pandamama,Samsung Galaxy S7,2017-04-02,The 7 is an upgrade from the 5
"Nice sleek phone with many features . Great,camera and like the visual voice plan. Love the gold color...very classy",J bird,Samsung Galaxy S7,2017-04-02,Like the light weight feel. Like the always on display feature. Luke the size of the screen.
Everything on this phone is better. Even the battery life. I guess I should have upgraded my phone a long time ago. I would recommend this phone to anyone.,Spider2275,Samsung Galaxy S7,2017-04-24,Every thing is better than what I had... Pretty awesome phone
"Still working out the kinks to making this new phone ""mine"", but I am loving it so far. It is lighter & love the bigger screen",Marilyn222,Samsung Galaxy S7,2017-04-24,Loving it!
"This phone is very easy to use...I am not good with technology, but I'm pleased with everything so far...There's a couple questions I have but I will go inside the store for help...I'm extremely pleased thus far!",Samifc,Samsung Galaxy S7,2017-04-01,It was an easy transition.
Outstanding performance. Loads all need apps with no difficulty. Great 4G reception. !!!!!!!!!!!!!!!,Davpatjoe84,Samsung Galaxy S7,2017-03-31,Great Phone
Great Phone and Great Service from Verizon in East Hanover. I highly recommend both! Will definitely buy from the again,Steve07052,Samsung Galaxy S7,2017-03-31,Great Phone
New phone so far works great .still too new to see if any problems. Do like it so far . would recommend,Jenn B,Samsung Galaxy S7,2017-03-31,Great phone
No complaints so far. Still learning. Meets or exceeds my expectations. Takes a beating and keeps on running.,Athram,Samsung Galaxy S7,2017-03-31,Love the camera! the phone has been fairly easy to learn new stuff.
"This phone is great. It is sleek, not too big and bulky.It has a great camera which was an important factor for me. System updates, I still have to figure out all its features.",be159,Samsung Galaxy S7,2017-03-31,Great features! Easy transition from another carrier
I find it uses more GB faster then my previous phone. I've had to add more GB within 1 week of purchase. Much happier with battery life.,Carol2017,Samsung Galaxy S7,2017-03-31,Very easy to use.
Verizon wireless is a great company with great coverage. My husband drives for a living and goes through some rough coverage areas and we can still talk somewhat clearly,Cady764,Samsung Galaxy S7,2017-03-31,Its easy to use
"I was one of about five people in the world still using a Nokia Windows phone -- I really liked that phone. Phones have come a long way in 4 years. I don't want to really find out, but I am glad it is water resistant.",pogo 2,Samsung Galaxy S7,2017-03-31,Pretty Easy Transition
"Love the phone especially since my Galaxy S6 took a lot of abuse from dropping the phone, etc. Very easy transition to the S7. Camera is excellent, plus the ability to expand the storage with a micro SD card is a nice feature.",htxtreme,Samsung Galaxy S7,2017-03-31,Easy upgrade from my Galaxy S6
The phone is aesthetically pleasing. It is very user friendly. I only wish the battery lasted longer.,Beautiful phone,Samsung Galaxy S7,2017-03-31,Love it!
"I am a late adopter, updating from an S3 Mini. I love the added features and speed. It was an easy transition to switch phones with all the additions being intuitive and easy to discover. I am still discovering and delighted when I find another feature that makes life easier.",vivianpaints,Samsung Galaxy S7,2017-03-31,should have done this sooner
I previously used a Galaxy 4 so this was easy to learn and use right away. The camera is a thousand times better than the G4.,Shar64,Samsung Galaxy S7,2017-03-31,Very satisfied customer
"I love the battery life,camera,storage,and Verizon network. Since I got a new phone it seem like my connection got even better.",Ray0207,Samsung Galaxy S7,2017-03-30,Great phone. I love it
I like all the features that i can use as in the colorful backgrounds of texts. very easy to use. i like that the phone is very slim not heavy. so many new things that im finding just exploring the phone,Pinero,Samsung Galaxy S7,2017-03-30,"its easy to use, i had the galaxy s3. and its almost set up the same so very easy"
Works great and fast and meets my satisfaction. O always been a Samsung fan and this is by far my favorite product,Jah13,Samsung Galaxy S7,2017-03-30,Review
Love the fingerprint and love the screen and love that I can do different themes on it and then virtual reality is amazing on it,Meighanb27,Samsung Galaxy S7,2017-03-30,I love my s7
Phone has a lot of great features..camera..easy to use once you get to know the phone. The only option I don't have is adding a picture from the text window..you have to go to gallery. Then pick one to send.,Butters65,Samsung Galaxy S7,2017-03-30,Excellent phone galaxy s7
I just received my Galaxy S 7 yesterday. Upgraded from a HTC 9. Which I hated from day one. So far I'm loving it. So much more clearer and takes great pictures. So far so good!!!,Rocksters88,Samsung Galaxy S7,2017-03-29,Great phone! Loving it so far.
Have always been pleased with my service and Reliability. When I lost my job Verizon always helped me with pmt arrangements.,VikingFan1,Samsung Galaxy S7,2017-03-29,Customer
"It was easy to set up and use all of the features. Using the camera is much easier than my previous phone. Many of the features were the same as my old phone, but with many improvements. I would like it if music could be easily shared from my laptop computer files, but no phone today can do that.",jkgrinch,Samsung Galaxy S7,2017-03-29,Enjoy the phone--easy to use.
"This phone is like other Android devices, easy to use and wasnt hard to switch brands. The camera is a lot better than I expected which is a huge plus.",EMTME22,Samsung Galaxy S7,2017-03-29,Easy to use
"Needed a good camera to take pictures of snakes. I don't have a home phone, so I need a reliable cell phone.",KATWIL55P,Samsung Galaxy S7,2017-03-28,Great camera.
"This phone is even better than my last Samsung. Much more responsive, much better graphics, easier to use. Wider and stronger and I can take it out in the rain!!!",Bogie3,Samsung Galaxy S7,2017-03-28,quick and responsive
Great phone! Love the service with Verizon.. Much better than previous carrier. Also I was very surprised to find out that customer support technicians are actually based here in the US and not oversees. Big plus. Thanks,Nixkin,Samsung Galaxy S7,2017-03-28,New Galaxy S7
Really liked my galaxy S5 phone and the Galaxy S7 was a great transition phone for a newer phone. Does everything as my S5 with similar setup but better hardware and great phone.,Kov33,Samsung Galaxy S7,2017-03-27,Great Transition from Galaxy S5 to S7
"I upgraded to the s7 after having the Core Prime for about a year and half. The transition couldn't have been any easier, and I am happy to have a great quality phone with plenty of room for the apps I need. I am planning to get a 128 gb memory card so that I can put all of my music, podcasts, and audiobooks on the phone too. The price was a bit daunting, but if this phone lasts 3 years, I can justify the price.",HelenaR,Samsung Galaxy S7,2017-03-27,"My first ""real"" smartphone"
"I liked my old phone, a Droid Turbo 2 better from the start, but I hope this phone's battery will last more than 1 year. It's a good phone, I just really loved my motorola phones and the galaxy is a bit different.",Ren8675309,Samsung Galaxy S7,2017-03-27,It's good
Love all about it> Everything is is easy to use and understand . Functions are user friendly. Great phone,Lou phone,Samsung Galaxy S7,2017-03-27,Lou Review
Kissed my iPhone 5c goodbye and never looked back. I'm enjoying a bigger screen and better camera. So nice.,Pietcrew,Samsung Galaxy S7,2017-03-27,Love
Phone has a lot of nice features that make it a good upgrade from my Galaxy S4. Battery life is better and the camera is great.,Bob902,Samsung Galaxy S7,2017-03-27,Great upgrade from my Galaxy S4
Super glad i made the switch. I love the new phone and new service. Too many years paying too much! Love the customer service as well.,why need a nickname,Samsung Galaxy S7,2017-03-26,Awesome phone! love it!
"Easy to use ,very handy,good features, great size ,beautiful pictures, a large storage, waterproof,great phone.",Perez26,Samsung Galaxy S7,2017-03-26,Perfect size
Was very happy that everything that I actually wanted to keep on my old phone transferred so easy to the new one. AWESOME pictures as well!!!,SparkleNDiva,Samsung Galaxy S7,2017-03-26,"An easy switch, no regrets"
Great features and Beautiful too! Love the camera and battery life is great. Would recomend this phone to everyone.,juturna4,Samsung Galaxy S7,2017-03-26,Great features and Beautiful too!
"I previously had a S6. One of the new features this phone has is the memory card for pictures, makes it super easy to transfer your vacation pictures. It is a little bit smaller then my last phone, which I like..easier to handle! There is nothing I don't like about this phone.",cab17,Samsung Galaxy S7,2017-04-24,Love my Galaxy! Very easy switch over from old phone!
My wife absolutely loves her new phone and is very happy with it.No complaints at all. A great product.,bab1951,Samsung Galaxy S7,2017-03-27,Great features. My wife loves it!
Sharp HD videos from internet sites. light weight. Great camera. good battery life. Quick charge. Beautiful videos.,Leroy K,Samsung Galaxy S7,2017-03-25,Excellent phone
"I had my previous phone for 3 and a half years and I was hesitant to change it, but I wanted to upgrade and and I am so glad I did. The battery life is amazing and the overall ease of using this phone made the transition enjoyable.",Jamieivey,Samsung Galaxy S7,2017-04-24,Love my S7
"The phone is easy to handle and it has great features , I talk and text , a lot, so it serves my purpose.",silky smooth,Samsung Galaxy S7,2017-03-23,"great customer service , love the phone."
"To whom it may concern, The Galaxy S7 is a great new phone with many features that I love. Have a great day, Glassh3art.",Glassh3art,Samsung Galaxy S7,2017-03-25,This is a great new phone.
I am so happy with my new Samsung Galaxy S7 and the Verizon service. The features are convenient and easy to use. This phone is everything it was advertised and then some!,S7 User,Samsung Galaxy S7,2017-03-23,I love my new phone
"I've always chosen Apple products for my smart phone before but I am currently using the Verizon Galaxy S7. It was really big decision for me. You know why? Reasonable price with great promotion now! Fortunately, I'm satisfied with Galaxy S7. It has really fast speed, quick respond, nice compatibility and perfect quality of camera. If you have a chance to get great promotion, try to use it. I will keep using this android phone until any mobile revolution is happened.",verygoodom,Samsung Galaxy S7,2017-04-24,Big Change from iPhone to Galaxy S7
Awesome phone love the lighting fast speed and camera. Makes the work i do much easier and faster. Much love. Have know video or pictures i want to share at this time.,Cummins power,Samsung Galaxy S7,2017-03-23,Much improved over my old phone
"Great phone, no problems at the present.Check back with me in a couple of months to see if there is any change.",1rile,Samsung Galaxy S7,2017-03-23,"Great phone, features and all."
"I had had the S4 before getting a new phone, to say I needed and update is an understatement! One of my favorite features is definitely the wireless charging, even through my Otterbox case. Plus, when I called to activate it, customer service champ Eric reviewed my plan and updated me to the Verizon 5 gigs rollover data plan. The phone calls are crystal clear and the video quality is incredible (not a professional though, can't speak to that expertise). Loving it!",Artemis241,Samsung Galaxy S7,2017-03-23,Love this new phone!
"This Galaxy 7 is by far and away this the easiest cell phone I have ever owned and/or operated. The features are terrific, the functionality is great and overall I am delighted with my experience so far.",theowl1,Samsung Galaxy S7,2017-03-24,Myphone
"I have had a Samsung phone since before the Galaxy line existed. I just switched from Sprint after having their service since 1988. A meteor hit me in the head which is why I finally switched to Verizon. The clarity is night and day different, and I had a Samsung S7 with Sprint. Night and day. That's all I can say.",USAVol,Samsung Galaxy S7,2017-04-24,Nice phone
"Great phone! Does what I need, so far, much better than what I had before. I like it a lot! Glad I switched!",LB in HPT,Samsung Galaxy S7,2017-03-22,I like my new phone!
Purchased a LG G4 18 mos. ago and It died prematurely. Opted for the S7 and very happy. Unlike the G4 this phone runs all day on a charge and performs flawlessly. Can't ask for much more.,Nocreek,Samsung Galaxy S7,2017-03-22,Back to a Great Brand
"The phone is small, simple to use and great. Speed of the phone is wonderful. The lay out is the same as normal but very functional.",Lonebear,Samsung Galaxy S7,2017-04-24,Samsung still keeps it great and easy
"Phone is great, fast, with good battery life. Camera is amazing, and audio is clear. Very happy with the S7",David726,Samsung Galaxy S7,2017-03-22,Samsung S7
Very happy so far. The phone was not meant to be my PDA and I don't waste my life on it but it was easy to get use to it after turning in a S3.,Djrandall9,Samsung Galaxy S7,2017-03-22,Samsung Galaxy S7
I love my new phone. I get service everywhere and it's perfect for me. Picture quality is amazing. I highly recommend it,Ceairah,Samsung Galaxy S7,2017-03-22,I love my new phone is perfect
"I would prefer a review after the first 2 payments at least. I am satisfied with the product I've purchased but the service, I need a little bit of more time to have a recommendation for others.",Hpoialii,Samsung Galaxy S7,2017-03-22,I have just started.
I love my new phone and the service that comes with Verizon. The transition to a new phone was for the most part seamless.,Freddie489,Samsung Galaxy S7,2017-03-22,Love me new phone
"I had a Droid Maxx before and liked it. It was my first smart phone. Had it for two years. I'm 60 years old. I like this new phone much more. Better camera, lots of storage, more features. I'm not super techie. But I do know my way around technology and I would recommend this phone.",Capt Tom,Samsung Galaxy S7,2017-03-20,S7
"I prefer my phones not too large and not too small and the Galaxy S7 is a happy medium when it comes to screen size. The battery life and camera are both top notch. Internal storage seems average given other options on the market, but the memory is expandable via SD card.",cmucodemonkey10,Samsung Galaxy S7,2017-03-20,Excellent hardware
