sub_area,count,log_price.mean,log_price.sd,log_price_per_log_fullsq.mean,log_price_per_log_fullsq.sd,kremlin_km.mean,kremlin_km.sd,invest_prop,weird_prop,Number,Okrug,Area.Total,Population,Density,Area.Residential,Density_Real_Inv,sqrt_kremlin_km.mean,cluster
Ajeroport,123,16.0262269854512,0.420204290479025,0.308112539595115,1.11671449542963,7.22565719128455,0.938568522069656,0.588945710308708,0.19672131147541,5,N,4.58,78943,17236.46,1939.7,25.9,-0.808488270986047,1
Akademicheskoe,211,16.1306326817428,0.47062384849734,0.0240066071782181,0.182596127893657,7.07751864159716,0.575794376153192,0.618340750692214,0.241706161137441,1,SW,5.83,109063,18707.2,2467,22.7,-0.829058649667591,2
Alekseevskoe,100,15.9672474606518,0.461665384167064,0.750164287347899,0.226120283248183,7.03982540743,0.638397424843768,0.437561252333652,0.126315789473684,2,NE,5.29,80327,15184.69,1607.9,20.5,-0.834326966723504,2
Altuf'evskoe,68,15.6767871558414,0.305125802472205,0.890804002977282,1.73491317909262,13.9587930741176,0.327713775643028,0.618340750692214,0.102941176470588,3,NE,3.25,57194,17598.15,839.3,15.5,-0.0300976504238616,3
Arbat,15,16.3544112450854,0.63515390509142,0.953249546975152,1.20540008266923,1.80023862633333,0.425154647899109,0.618340750692214,0.466666666666667,4,Central,2.11,34012,16119.43,731,26,-1.80837467793193,1
Babushkinskoe,123,15.8499655207463,0.388773308310263,0.568311082101096,0.197940131469778,12.7678076257724,0.694553954473248,0.265600266090141,0.108108108108108,6,NE,5.07,88217,17399.8,1586.3,18.5,-0.151109273716401,2
Basmannoe,98,16.1787876111779,0.461770988849823,0.0937902361089467,1.36141879280791,3.79393443182653,1.36011400815502,0.618340750692214,0.173469387755102,7,Central,8.37,110042,13147.19,1991.8,18.4,-1.35825876404435,1
Begovoe,60,16.1034121926396,0.414924484300451,0.464118618292972,1.97949715529417,4.29126976558333,0.648307736888542,0.618340750692214,0.15,8,N,5.56,42735,7686.15,791.1,18.8,-1.26636328850977,3
Beskudnikovskoe,166,15.7868980635254,0.379994136746342,0.323205065700194,-0.333091032971882,12.7976980918072,0.919661446922561,0.618340750692214,0.114457831325301,9,N,3.3,77768,23566.06,1391.7,18.4,-0.148004784325216,2
Bibirevo,230,15.7825079594558,0.264300614161605,0.263891960357203,-0.977883631168759,15.4697746756522,0.458643472974492,0.586900837934203,0.0964912280701754,10,NE,6.45,159903,24791.16,2521.8,15.8,0.11622194102538,4
Birjulevo Vostochnoe,268,15.6065387462318,0.223241658819162,0.243836452518385,-0.866076255045501,18.0064926897388,1.05801015467012,0.483430677290302,0.0852713178294574,11,S,14.77,151946,10287.47,2122.2,14.7,0.34663160257775,4
Birjulevo Zapadnoe,115,15.5127807019295,0.21833082676796,0.374700253225328,-1.55597181250009,18.285648747913,0.689383192551638,0.586900837934203,0.105263157894737,12,S,8.51,88257,10370.98,1183.2,13.2,0.370966447635154,4
Bogorodskoe,305,15.7056428297827,0.33088021982429,0.881451963202956,0.802183050616033,8.95275183685574,0.477815344851112,0.511651210677325,0.097972972972973,13,E,10.24,107629,10510.64,1744.1,16.9,-0.582672551549117,2
