"city_matched","label","State","Population_city","hosp_count","mean_rating","median_rating","ACCESS2_city","hcoverage_city","BINGE_city","BPHIGH_city","BPMED_city","CANCER_city","CASTHMA_city","CHD_city","CHECKUP_city","CHOLSCREEN_city","COLONSCREEN_city","COPD_city","COREM_city","COREW_city","CSMOKING_city","DIABETES_city","HIGHCHOL_city","KIDNEY_city","LPA_city","MAMMOUSE_city","MHLTH_city","OBESITY_city","PAPTEST_city","SLEEP_city","STROKE_city","long","lati","PlaceName"
"abilene","Abilene, TX","TX",117063,2,4,4,24.7,75.3,16.2,31.6,60.6,6,8.9,6.3,67.3,72.6,58.5,6.7,31.6,30.9,19.6,10.9,34.4,3.3,27.7,74.5,11.6,33.7,76.3,35.4,3.1,-99.7383043723,32.4546510898,"Abilene"
"akron","Akron, OH","OH",199110,6,3,3,17.6,82.4,14.8,36.2,66.9,5.7,11.6,7.5,70.1,72.9,56.6,9.4,28.8,26.9,26.8,13,33,3.3,31,70.1,15.3,37.3,74.7,44.1,3.9,-81.5219213688,41.0801444942,"Akron"
"alameda","Alameda, CA","CA",73812,1,2,2,10.7,89.3,15,24.3,51.5,5.7,7.9,4.5,66,74,67.5,4.3,33.5,30.1,11.9,8.1,31.3,2.2,18.7,80.2,9.8,18.7,81.7,32.3,2.2,-122.266489842,37.7650849031,"Alameda"
"albany","Albany, GA","GA",77434,2,1,1,29.5,70.5,10.9,45.7,69.3,5.7,11.6,7.2,75.8,72.8,60,9.2,29.1,25.6,23.7,15.9,35.5,3.8,33.1,78.7,16.2,40.4,78.6,46.9,5,-84.1763240815,31.5776036766,"Albany"
"albany","Albany, NY","NY",97856,3,2,2,14.8,85.2,15.5,33.4,62.4,5.8,10.9,6,73.8,78.2,62.4,7.1,31.7,28.6,19,10.9,33.8,2.2,26.1,76.6,13.2,31.1,80.8,39.7,3.3,-73.7986826267,42.6663969604,"Albany"
"albuquerque","Albuquerque, NM","NM",545852,5,3,3,17,83,14.5,25.9,54.3,6.1,9.8,5.3,61.1,70.1,63.9,5.4,32.7,32.6,18.8,9.3,29.2,2.9,20.4,75,11.6,25.5,80.4,32.8,2.6,-106.647447696,35.1055025771,"Albuquerque"
"alexandria","Alexandria, VA","VA",139966,2,3,3,12.3,87.7,15.1,27.5,61.4,5.7,8.3,4.7,72.9,80,72,4.3,38.8,37.7,13,8.1,30.9,2.2,17.6,83.4,8.4,23.3,87.6,34.5,2.3,-77.0867762661,38.8187351557,"Alexandria"
"alhambra","Alhambra, CA","CA",83089,2,4,4,17.9,82.1,12,26.2,51.1,4.5,6.8,4.6,67,73.1,55.9,4,22.4,25.3,12.2,10.9,35.3,2.3,24.8,79.7,10.1,18.1,73.7,38.4,2.3,-118.135514119,34.0839734383,"Alhambra"
"allen","Allen, TX","TX",84246,2,3,3,13,87,18.7,27.1,58.2,6.1,7.4,4.6,71.4,78.5,67.5,4.2,35.5,38.1,12,7.8,30.2,2.7,18.8,80,7.9,24.2,83,32.1,2.1,-96.6735373763,33.1087043234,"Allen"
"allentown","Allentown, PA","PA",118032,3,2,2,25.8,74.2,15.4,33.6,63.1,5.9,10.9,7.2,67.1,69.2,56.6,8,33.2,28.6,24.3,13.2,33.6,3,32.3,74.1,15.7,36.6,76.5,42.3,3.5,-75.4755373968,40.596099618,"Allentown"
