"Hospital.Name","Hospital.Type","Address","label","State","ZIP.Code","Emergency.Services","Hospital.overall.rating","count","city_matched","Population2010","Geolocation","ACCESS2_AdjPrev","ARTHRITIS_AdjPrev","BINGE_AdjPrev","BPHIGH_AdjPrev","BPMED_AdjPrev","CANCER_AdjPrev","CASTHMA_AdjPrev","CHD_AdjPrev","CHECKUP_AdjPrev","CHOLSCREEN_AdjPrev","COLON_SCREEN_AdjPrev","COPD_AdjPrev","COREM_AdjPrev","COREW_AdjPrev","CSMOKING_AdjPrev","DENTAL_AdjPrev","DIABETES_AdjPrev","HIGHCHOL_AdjPrev","KIDNEY_AdjPrev","LPA_AdjPrev","MAMMOUSE_AdjPrev","MHLTH_AdjPrev","OBESITY_AdjPrev","PAPTEST_AdjPrev","PHLTH_AdjPrev","SLEEP_AdjPrev","STROKE_AdjPrev","TEETHLOST_AdjPrev","owner_tri","PlaceName","f_address.x","long.x","lati.x","f_address.y","long.y","lati.y"
"ST VINCENT'S EAST","Acute Care Hospitals","50 MEDICAL PARK EAST DRIVE","Birmingham, AL","AL",35235,"true",2,1,"birmingham",212237,"(33.52756637730, -86.7988174678)",21.4,32.6,11.4,45.9,70.5,6.1,11.4,7.6,77.3,74.4,62.7,9.4,30.3,27.9,22,49.1,16.1,35.4,3.3,31.7,79.7,17,39,80.1,18.3,46.9,5,25.9,"Non-profit","Birmingham","50 MEDICAL PARK EAST DRIVE Birmingham AL 35235",-86.6685679,33.590939,"50 MEDICAL PARK EAST DRIVE Birmingham AL 35235",-86.6685679,33.590939
"CALLAHAN EYE HOSPITAL","Acute Care Hospitals","1720 UNIVERSITY BLVD","Birmingham, AL","AL",35233,"true",NA,1,"birmingham",212237,"(33.52756637730, -86.7988174678)",21.4,32.6,11.4,45.9,70.5,6.1,11.4,7.6,77.3,74.4,62.7,9.4,30.3,27.9,22,49.1,16.1,35.4,3.3,31.7,79.7,17,39,80.1,18.3,46.9,5,25.9,"Non-profit","Birmingham","1720 UNIVERSITY BLVD Birmingham AL 35233",-86.8009016,33.503925,"1720 UNIVERSITY BLVD Birmingham AL 35233",-86.8009016,33.503925
"BAPTIST MEDICAL CENTER SOUTH","Acute Care Hospitals","2105 EAST SOUTH BOULEVARD","Montgomery, AL","AL",36116,"true",3,1,"montgomery",205764,"(32.34726453330, -86.2677059552)",18.5,31.4,12.2,40.6,70.3,6.4,10.8,7.2,75.2,75.1,63.3,8.6,32.1,27.7,21.3,57.1,13.3,36.9,3.1,27.9,80.2,15.5,36.8,83,16.2,41.3,4.1,21.2,"Government","Montgomery","2105 EAST SOUTH BOULEVARD Montgomery AL 36116",-86.2710331,32.3269304,"2105 EAST SOUTH BOULEVARD Montgomery AL 36116",-86.2710331,32.3269304
"JACKSON HOSPITAL & CLINIC INC","Acute Care Hospitals","1725 PINE STREET","Montgomery, AL","AL",36106,"true",3,1,"montgomery",205764,"(32.34726453330, -86.2677059552)",18.5,31.4,12.2,40.6,70.3,6.4,10.8,7.2,75.2,75.1,63.3,8.6,32.1,27.7,21.3,57.1,13.3,36.9,3.1,27.9,80.2,15.5,36.8,83,16.2,41.3,4.1,21.2,"Non-profit","Montgomery","1725 PINE STREET Montgomery AL 36106",-86.2847299,32.366567,"1725 PINE STREET Montgomery AL 36106",-86.2847299,32.366567
"ST VINCENT'S BIRMINGHAM","Acute Care Hospitals","810 ST VINCENT'S DRIVE","Birmingham, AL","AL",35205,"true",3,1,"birmingham",212237,"(33.52756637730, -86.7988174678)",21.4,32.6,11.4,45.9,70.5,6.1,11.4,7.6,77.3,74.4,62.7,9.4,30.3,27.9,22,49.1,16.1,35.4,3.3,31.7,79.7,17,39,80.1,18.3,46.9,5,25.9,"Non-profit","Birmingham","810 ST VINCENT'S DRIVE Birmingham AL 35205",-86.7879606,33.5079693,"810 ST VINCENT'S DRIVE Birmingham AL 35205",-86.7879606,33.5079693
"UNIVERSITY OF ALABAMA HOSPITAL","Acute Care Hospitals","619 SOUTH 19TH STREET","Birmingham, AL","AL",35233,"true",3,1,"birmingham",212237,"(33.52756637730, -86.7988174678)",21.4,32.6,11.4,45.9,70.5,6.1,11.4,7.6,77.3,74.4,62.7,9.4,30.3,27.9,22,49.1,16.1,35.4,3.3,31.7,79.7,17,39,80.1,18.3,46.9,5,25.9,"Government","Birmingham","619 SOUTH 19TH STREET Birmingham AL 35233",-86.8061144,33.512337,"619 SOUTH 19TH STREET Birmingham AL 35233",-86.8061144,33.512337
"HUNTSVILLE HOSPITAL","Acute Care Hospitals","101 SIVLEY RD","Huntsville, AL","AL",35801,"true",3,1,"huntsville",180105,"(34.69896926710, -86.6387042882)",16.3,29.4,12.3,36.7,66.9,6.5,9.6,6.7,70.8,76.2,65.8,7.5,39.7,36.9,21.3,60.5,10.7,35.8,2.6,24.9,80,14,32,83.5,13.9,39.7,3.2,14.7,"Government","Huntsville","101 SIVLEY RD Huntsville AL 35801",-86.581799,34.721046,"101 SIVLEY RD Huntsville AL 35801",-86.581799,34.721046
"UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER","Acute Care Hospitals","2451 FILLINGIM STREET","Mobile, AL","AL",36617,"true",3,1,"mobile",195111,"(30.67762486480, -88.1184482714)",19.1,31.8,12.8,43,69.3,6.5,10.7,7.6,72.4,73.2,62.7,8.7,34.3,32.2,22,52.6,13.8,37.6,3.1,27.4,80.1,15.8,37.6,81.9,16.3,42.2,4.1,24.1,"Government","Mobile","2451 FILLINGIM STREET Mobile AL 36617",-88.1037819,30.708036,"2451 FILLINGIM STREET Mobile AL 36617",-88.1037819,30.708036
"PROVIDENCE HOSPITAL","Acute Care Hospitals","6801 AIRPORT BOULEVARD","Mobile, AL","AL",36608,"true",2,1,"mobile",195111,"(30.67762486480, -88.1184482714)",19.1,31.8,12.8,43,69.3,6.5,10.7,7.6,72.4,73.2,62.7,8.7,34.3,32.2,22,52.6,13.8,37.6,3.1,27.4,80.1,15.8,37.6,81.9,16.3,42.2,4.1,24.1,"Non-profit","Mobile","6801 AIRPORT BOULEVARD Mobile AL 36608",-88.1374679,30.676033,"6801 AIRPORT BOULEVARD Mobile AL 36608",-88.1374679,30.676033
"D C H REGIONAL MEDICAL CENTER","Acute Care Hospitals","809 UNIVERSITY BOULEVARD EAST","Tuscaloosa, AL","AL",35401,"true",2,1,"tuscaloosa",90468,"(33.23360839510, -87.5268004073)",18.5,32.3,12.1,40,69,6.5,10.9,7.4,74.3,74.4,64.2,9.1,36,33.7,23.2,56.4,13.6,38.7,2.9,28.6,79.8,15.9,38.5,81,16.6,41.4,4.1,20.6,"Government","Tuscaloosa","809 UNIVERSITY BOULEVARD EAST Tuscaloosa AL 35401",-87.5256602,33.2062779,"809 UNIVERSITY BOULEVARD EAST Tuscaloosa AL 35401",-87.5256602,33.2062779
"PRINCETON BAPTIST MEDICAL CENTER","Acute Care Hospitals","701 PRINCETON AVENUE SOUTHWEST","Birmingham, AL","AL",35211,"true",3,NA,"birmingham",212237,"(33.52756637730, -86.7988174678)",21.4,32.6,11.4,45.9,70.5,6.1,11.4,7.6,77.3,74.4,62.7,9.4,30.3,27.9,22,49.1,16.1,35.4,3.3,31.7,79.7,17,39,80.1,18.3,46.9,5,25.9,"Non-profit","Birmingham","701 PRINCETON AVENUE SOUTHWEST Birmingham AL 35211",-86.8429109,33.501216,"701 PRINCETON AVENUE SOUTHWEST Birmingham AL 35211",-86.8429109,33.501216
"GRANDVIEW MEDICAL CENTER","Acute Care Hospitals","3690 GRANDVIEW PARKWAY","Birmingham, AL","AL",35243,"true",2,NA,"birmingham",212237,"(33.52756637730, -86.7988174678)",21.4,32.6,11.4,45.9,70.5,6.1,11.4,7.6,77.3,74.4,62.7,9.4,30.3,27.9,22,49.1,16.1,35.4,3.3,31.7,79.7,17,39,80.1,18.3,46.9,5,25.9,"Proprietary","Birmingham","3690 GRANDVIEW PARKWAY Birmingham AL 35243",-86.722736825,33.43307555,"3690 GRANDVIEW PARKWAY Birmingham AL 35243",-86.722736825,33.43307555
"MOBILE INFIRMARY MEDICAL CENTER","Acute Care Hospitals","5 MOBILE INFIRMARY CIRCLE","Mobile, AL","AL",36652,"true",2,NA,"mobile",195111,"(30.67762486480, -88.1184482714)",19.1,31.8,12.8,43,69.3,6.5,10.7,7.6,72.4,73.2,62.7,8.7,34.3,32.2,22,52.6,13.8,37.6,3.1,27.4,80.1,15.8,37.6,81.9,16.3,42.2,4.1,24.1,"Non-profit","Mobile","5 MOBILE INFIRMARY CIRCLE Mobile AL 36652",-88.0798395,30.6963935,"5 MOBILE INFIRMARY CIRCLE Mobile AL 36652",-88.0798395,30.6963935
"CRESTWOOD MEDICAL CENTER","Acute Care Hospitals","ONE HOSPITAL DR SE","Huntsville, AL","AL",35801,"true",3,1,"huntsville",180105,"(34.69896926710, -86.6387042882)",16.3,29.4,12.3,36.7,66.9,6.5,9.6,6.7,70.8,76.2,65.8,7.5,39.7,36.9,21.3,60.5,10.7,35.8,2.6,24.9,80,14,32,83.5,13.9,39.7,3.2,14.7,"Proprietary","Huntsville","ONE HOSPITAL DR SE Huntsville AL 35801",-86.572207,34.6935826,"ONE HOSPITAL DR SE Huntsville AL 35801",-86.572207,34.6935826
"BROOKWOOD MEDICAL CENTER","Acute Care Hospitals","2010 BROOKWOOD MEDICAL CENTER DRIVE","Birmingham, AL","AL",35209,"true",3,NA,"birmingham",212237,"(33.52756637730, -86.7988174678)",21.4,32.6,11.4,45.9,70.5,6.1,11.4,7.6,77.3,74.4,62.7,9.4,30.3,27.9,22,49.1,16.1,35.4,3.3,31.7,79.7,17,39,80.1,18.3,46.9,5,25.9,"Proprietary","Birmingham","2010 BROOKWOOD MEDICAL CENTER DRIVE Birmingham AL 35209",-86.7764088,33.4642365,"2010 BROOKWOOD MEDICAL CENTER DRIVE Birmingham AL 35209",-86.7764088,33.4642365
"SPRINGHILL MEMORIAL HOSPITAL","Acute Care Hospitals","3719 DAUPHIN STREET","Mobile, AL","AL",36608,"true",2,1,"mobile",195111,"(30.67762486480, -88.1184482714)",19.1,31.8,12.8,43,69.3,6.5,10.7,7.6,72.4,73.2,62.7,8.7,34.3,32.2,22,52.6,13.8,37.6,3.1,27.4,80.1,15.8,37.6,81.9,16.3,42.2,4.1,24.1,"Proprietary","Mobile","3719 DAUPHIN STREET Mobile AL 36608",-88.1227742,30.6890178,"3719 DAUPHIN STREET Mobile AL 36608",-88.1227742,30.6890178
"BAPTIST MEDICAL CENTER EAST","Acute Care Hospitals","400 TAYLOR ROAD","Montgomery, AL","AL",36117,"true",5,1,"montgomery",205764,"(32.34726453330, -86.2677059552)",18.5,31.4,12.2,40.6,70.3,6.4,10.8,7.2,75.2,75.1,63.3,8.6,32.1,27.7,21.3,57.1,13.3,36.9,3.1,27.9,80.2,15.5,36.8,83,16.2,41.3,4.1,21.2,"Government","Montgomery","400 TAYLOR ROAD Montgomery AL 36117",-86.1712351,32.3650563,"400 TAYLOR ROAD Montgomery AL 36117",-86.1712351,32.3650563
