username,thumbnail,nfollowers,subfolder
RouzVega,https://static-cdn.jtvnw.net/jtv_user_pictures/rouzvega-profile_image-5383755ece949482-300x300.jpeg,"58,290 followers",/channel/rouzvega
manuelferraratv,https://static-cdn.jtvnw.net/jtv_user_pictures/manuelferraratv-profile_image-4372907f78e12196-300x300.jpeg,"58,248 followers",/channel/manuelferraratv
ESPORTNOW,https://static-cdn.jtvnw.net/jtv_user_pictures/esportnow-profile_image-e55e02269095de47-300x300.png,"58,188 followers",/channel/esportnow
Princess_PwnZ,https://static-cdn.jtvnw.net/jtv_user_pictures/princess_pwnz-profile_image-adffd4d84723f9cf-300x300.png,"58,171 followers",/channel/princess_pwnz
Tempo_Storm,https://static-cdn.jtvnw.net/jtv_user_pictures/tempo_storm-profile_image-42699717dd05c7e3-300x300.png,"58,102 followers",/channel/tempo_storm
Frodan,https://static-cdn.jtvnw.net/jtv_user_pictures/frodan-profile_image-babd3547ba88f459-300x300.jpeg,"58,050 followers",/channel/frodan
scudpunk,https://static-cdn.jtvnw.net/jtv_user_pictures/scudpunk-profile_image-d82e4ddcf3a63a78-300x300.png,"58,006 followers",/channel/scudpunk
jennyeatsbabies,https://static-cdn.jtvnw.net/jtv_user_pictures/jennyeatsbabies-profile_image-c0fb2fac2670f3af-300x300.png,"57,996 followers",/channel/jennyeatsbabies
StressLevelZero,https://static-cdn.jtvnw.net/jtv_user_pictures/stresslevelzero-profile_image-50fed1f5f91f4b80-300x300.jpeg,"57,995 followers",/channel/stresslevelzero
ScufJumpn,https://static-cdn.jtvnw.net/jtv_user_pictures/scufjumpn-profile_image-38039d93ae918b03-300x300.png,"57,931 followers",/channel/scufjumpn
ruhub_dotapit,https://static-cdn.jtvnw.net/jtv_user_pictures/ruhub_dotapit-profile_image-0178a8afbd5bbfd8-300x300.png,"57,880 followers",/channel/ruhub_dotapit
minerva,https://static-cdn.jtvnw.net/jtv_user_pictures/minerva-profile_image-737f01eff9d2f6d3-300x300.png,"57,849 followers",/channel/minerva
Mithrain,https://static-cdn.jtvnw.net/jtv_user_pictures/mithrain-profile_image-8189b323189ae5b5-300x300.png,"57,814 followers",/channel/mithrain
tonkaaaaP,https://static-cdn.jtvnw.net/jtv_user_pictures/tonkaaaap-profile_image-c114b110bc6dc92c-300x300.jpeg,"57,786 followers",/channel/tonkaaaap
Blazifyy,https://static-cdn.jtvnw.net/jtv_user_pictures/blazifyy-profile_image-3af1228ec47be9df-300x300.png,"57,734 followers",/channel/blazifyy
Behzinga,https://static-cdn.jtvnw.net/jtv_user_pictures/behzinga-profile_image-3d4b390bea5900df-300x300.png,"57,594 followers",/channel/behzinga
羅傑,https://static-cdn.jtvnw.net/jtv_user_pictures/roger9527-profile_image-e6cccadfeba28124-300x300.jpeg,"57,549 followers",/channel/roger9527
CarcinogenSDA,https://static-cdn.jtvnw.net/jtv_user_pictures/carcinogensda-profile_image-cd54b1d486b74a70-300x300.png,"57,423 followers",/channel/carcinogensda
兔頭,https://static-cdn.jtvnw.net/jtv_user_pictures/tim885885-profile_image-898411048b8a849c-300x300.jpeg,"57,376 followers",/channel/tim885885
Grimnax,https://static-cdn.jtvnw.net/jtv_user_pictures/grimnax-profile_image-ad1e9c330a8adb15-300x300.jpeg,"57,330 followers",/channel/grimnax
Thorlar,https://static-cdn.jtvnw.net/jtv_user_pictures/thorlar-profile_image-4bd4d7b82e71afc3-300x300.jpeg,"57,311 followers",/channel/thorlar
vikared,https://static-cdn.jtvnw.net/jtv_user_pictures/vikared-profile_image-420414c57df275b8-300x300.jpeg,"57,261 followers",/channel/vikared
