,mother_node,title_steam,app_id,user_rating,game_spcs,percent,reivew_users,keywords_list,genre_list,no_dlc,dlc_av,rank_no,current,all_time,24_peak,time_diff,YEAR,price,DATE,unique,Indie,Action_g,Adventure_g,Strategy,Simulation,RPG,Casual,Early Access,Sports,Violent,Racing,Singleplayer,Multiplayer,Great Soundtrack,Atmospheric,Story Rich,Open World,2D,Co-op,Sci-fi,Adventure_k,Fantasy,Puzzle,First-Person,Shooter,Difficult,Funny,Classic,Sandbox,Horror,Female Protagonist,FPS,Pixel Graphics,Comedy,Survival,Third Person,Anime,Platformer,Action_k,Turn-Based,Exploration,total_key,agreement,retention
0, - Red Obsidian Remnant, - Red Obsidian Remnant,610960,Very Positive,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud",93.0,163.0,"Early Access, Rogue-like, Action, Indie, Adventure, RPG","Indie, Adventure, RPG, Action, Early Access",0.0,0.0,3567,9.0,290.0,127.0,17 days 00:00:00.000000000,2017.0,8.99,2017-04-20,Rogue-like,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.833333333333,3.10344827586
1,#Archery,#Archery,493790,,"Single-player,Local Multi-Player,Steam Achievements,Steam Trading Cards,Steam Leaderboards",,,"Early Access, Indie, Sports, VR","Indie, Early Access, Sports",0.0,0.0,5477,1.0,7.0,2.0,38 days 00:00:00.000000000,2017.0,9.99,2017-03-30,VR,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.75,14.2857142857
2,$1 Ride,$1 Ride,508290,,"Single-player,Steam Trading Cards",51.0,37.0,"Indie, Casual, Action","Action, Casual, Indie",0.0,0.0,7793,7.0,862.0,70.0,283 days 00:00:00.000000000,2016.0,0.49,2016-07-28,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0,0.812064965197
3,(Tale of Wuxia),(Tale of Wuxia),377530,Mostly Positive,"Single-player,Steam Trading Cards,Steam Cloud",78.0,1340.0,"RPG, Strategy, Adventure, Turn-Based, Martial Arts, Casual, Simulation, Dating Sim, Multiple Endings, Singleplayer, CRPG, Story Rich","Casual, Strategy, Adventure, RPG, Simulation",0.0,0.0,2045,40.0,963.0,196.0,374 days 00:00:00.000000000,2016.0,16.99,2016-04-28,"CRPG, Dating Sim, Singleplayer, Martial Arts, Turn-Based, Story Rich, Multiple Endings",0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.0,0.416666666667,4.15368639668
4,(The Gate of Firmament),(The Gate of Firmament),427030,Mostly Positive,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud",78.0,698.0,"RPG, Historical, Singleplayer, Story Rich, Romance, CRPG, Anime",RPG,0.0,0.0,3328,6.0,348.0,20.0,437 days 00:00:00.000000000,2016.0,14.99,2016-02-25,"CRPG, Singleplayer, Romance, Anime, Historical, Story Rich",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.0,0.142857142857,1.72413793103
5,- Arcane preRaise -,- Arcane preRaise -,603780,,"Single-player,Steam Achievements,Steam Trading Cards,Captions available,Partial Controller Support,Steam Cloud",,,"Casual, Adventure, RPG, Strategy, Indie, Fantasy, Story Rich, Female Protagonist, Character Customization, JRPG, RPGMaker","Indie, Strategy, Adventure, RPG, Casual",9.0,1.0,5299,47.0,105.0,105.0,5 days 00:00:00.000000000,2017.0,2.99,2017-05-02,"Character Customization, Fantasy, RPGMaker, Story Rich, Female Protagonist, JRPG",1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.0,0.454545454545,44.7619047619
6,/reality,/reality,562280,Positive,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",90.0,10.0,"Indie, Adventure, Visual Novel, Singleplayer, Choices Matter, Sci-fi, Anime, Fantasy, Story Rich, Multiple Endings, Female Protagonist, Interactive Fiction, Philisophical, Controller, Nonlinear","Indie, Adventure",0.0,0.0,4739,1.0,10.0,1.0,19 days 00:00:00.000000000,2017.0,11.99,2017-04-18,"Nonlinear, Sci-fi, Singleplayer, Philisophical, Visual Novel, Interactive Fiction, Choices Matter, Controller, Fantasy, Anime, Story Rich, Female Protagonist, Multiple Endings",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,15.0,0.133333333333,10.0
7,001 Game Creator,001 Game Creator,347400,Mostly Positive,"Steam Achievements,Partial Controller Support,Stats,Includes level editor",78.0,64.0,"Game Development, Design & Illustration, Utilities, Web Publishing, Software Training, Video Production, Animation & Modeling, Education","Design & Illustration, Video Production, Utilities, Web Publishing, Animation & Modeling, Education, Software Training",1.0,1.0,3263,10.0,25.0,11.0,664 days 00:00:00.000000000,2015.0,59.99,2015-07-13,Game Development,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0.875,40.0
8,10 Second Ninja,10 Second Ninja,271670,Very Positive,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Steam Leaderboards",93.0,258.0,"Indie, Action, Platformer, Ninja, Fast-Paced, Puzzle, 2D, Time Attack, Difficult, Singleplayer","Action, Indie",0.0,0.0,5033,1.0,93.0,3.0,1159 days 00:00:00.000000000,2014.0,9.99,2014-03-05,"Singleplayer, Fast-Paced, Puzzle, 2D, Platformer, Ninja, Time Attack, Difficult",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0.2,1.0752688172
9,100% Orange Juice,100% Orange Juice,282800,Very Positive,"Single-player,Multi-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Valve Anti-Cheat enabled,Stats,Steam Leaderboards",94.0,3667.0,"Anime, Board Game, Cute, Multiplayer, Strategy, Card Game, Indie, Casual, Turn-Based, Great Soundtrack, Female Protagonist, Singleplayer, Difficult, Funny, Memes, Gore","Indie, Strategy",11.0,1.0,1510,169.0,991.0,181.0,1335 days 00:00:00.000000000,2013.0,1.99,2013-09-10,"Cute, Great Soundtrack, Multiplayer, Board Game, Singleplayer, Casual, Funny, Card Game, Gore, Memes, Difficult, Turn-Based, Female Protagonist, Anime",1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,16.0,0.125,17.053481332
10,12 orbits,12 orbits,529950,Very Positive,"Multi-player,Local Multi-Player,Shared/Split Screen,Steam Achievements,Steam Trading Cards,Partial Controller Support",84.0,70.0,"Indie, Casual, Action, Sports, 4 Player Local, Local Multiplayer, Multiplayer, Touch-Friendly, Arcade, Soccer, Team-Based, Abstract, 2D, Competitive, Minimalist, Football, Experimental, Short, Stylized, Fast-Paced","Action, Indie, Casual, Sports",0.0,0.0,6216,3.0,33.0,7.0,195 days 00:00:00.000000000,2016.0,1.99,2016-10-24,"Minimalist, Multiplayer, Touch-Friendly, Arcade, Team-Based, Fast-Paced, Stylized, Abstract, Football, Competitive, 2D, Short, Local Multiplayer, Soccer, 4 Player Local, Experimental",1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.2,9.09090909091
11,140,140,242820,Overwhelmingly Positive,"Single-player,Steam Achievements,Partial Controller Support",95.0,1076.0,"Platformer, Indie, Rhythm, Minimalist, Music, Great Soundtrack, Short, Difficult, Action, Puzzle, 2D, Singleplayer, Colorful","Action, Indie",0.0,0.0,5203,1.0,129.0,5.0,1299 days 00:00:00.000000000,2013.0,4.99,2013-10-16,"Minimalist, Short, Colorful, Singleplayer, Puzzle, Great Soundtrack, 2D, Platformer, Music, Rhythm, Difficult",1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13.0,0.153846153846,0.77519379845
12,16bit Trader,16bit Trader,375460,,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Steam Leaderboards",37.0,335.0,"Simulation, Indie, Casual, Strategy, Adventure, RPG, Trading","Indie, Strategy, Adventure, RPG, Simulation, Casual",0.0,0.0,4166,24.0,1345.0,59.0,703 days 00:00:00.000000000,2015.0,2.99,2015-06-04,Trading,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0.857142857143,1.7843866171
