"gender","country","state","self_employed","family_history","treatment","work_interfere","no_employees","remote_work","tech_company","benefits","care_options","wellness_program","seek_help","anonymity","leave","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence","age"
"female","United States","IL",NA,"No","Yes","Often","6-25","No","Yes","Yes","Not sure","No","Yes","Yes","Somewhat easy","No","No","Some of them","Yes","No","Maybe","Yes","No",37
"male","United States","IN",NA,"No","No","Rarely","More than 1000","No","No","Don't know","No","Don't know","Don't know","Don't know","Don't know","Maybe","No","No","No","No","No","Don't know","No",44
"male","Canada",NA,NA,"No","No","Rarely","6-25","No","Yes","No","No","No","No","Don't know","Somewhat difficult","No","No","Yes","Yes","Yes","Yes","No","No",32
"male","United Kingdom",NA,NA,"Yes","Yes","Often","26-100","No","Yes","No","Yes","No","No","No","Somewhat difficult","Yes","Yes","Some of them","No","Maybe","Maybe","No","Yes",31
"male","United States","TX",NA,"No","No","Never","100-500","Yes","Yes","Yes","No","Don't know","Don't know","Don't know","Don't know","No","No","Some of them","Yes","Yes","Yes","Don't know","No",31
"male","United States","TN",NA,"Yes","No","Sometimes","6-25","No","Yes","Yes","Not sure","No","Don't know","Don't know","Don't know","No","No","Yes","Yes","No","Maybe","Don't know","No",33
"female","United States","MI",NA,"Yes","Yes","Sometimes","1-5","Yes","Yes","No","No","No","No","No","Somewhat difficult","Maybe","Maybe","Some of them","No","No","No","Don't know","No",35
"male","Canada",NA,NA,"No","No","Never","1-5","Yes","Yes","No","Yes","No","No","Yes","Don't know","No","No","No","No","No","No","No","No",39
"female","United States","IL",NA,"Yes","Yes","Sometimes","100-500","No","Yes","Yes","Yes","No","No","No","Very difficult","Maybe","No","Yes","Yes","No","Maybe","No","No",42
"male","Canada",NA,NA,"No","No","Never","26-100","No","Yes","Don't know","No","Don't know","Don't know","Don't know","Don't know","No","No","Yes","Yes","Maybe","Maybe","Yes","No",23
"male","United States","OH",NA,"No","Yes","Sometimes","6-25","Yes","Yes","Don't know","No","No","No","Don't know","Don't know","No","No","Some of them","Yes","No","No","Don't know","No",31
"male","Bulgaria",NA,NA,"No","No","Never","100-500","Yes","Yes","Don't know","Not sure","No","No","Don't know","Don't know","No","No","Yes","Yes","Yes","Yes","Don't know","No",29
"female","United States","CA",NA,"Yes","Yes","Sometimes","26-100","No","No","Yes","Yes","No","No","Don't know","Somewhat difficult","Yes","Yes","Yes","Yes","Maybe","Maybe","No","Yes",42
"male","United States","CT",NA,"Yes","No","Never","500-1000","No","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","No","No","Yes","Yes","No","No","Don't know","No",36
"male","Canada",NA,NA,"No","No","Never","6-25","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Somewhat easy","No","No","Some of them","Some of them","Maybe","Yes","Yes","No",27
"female","United States","IL",NA,"Yes","Yes","Rarely","26-100","No","Yes","Yes","Not sure","No","No","Don't know","Somewhat easy","No","No","Yes","Some of them","Maybe","Maybe","Don't know","No",29
"male","United Kingdom",NA,NA,"No","Yes","Sometimes","26-100","Yes","Yes","Don't know","No","Don't know","Don't know","Don't know","Very easy","Maybe","No","Some of them","No","Maybe","Maybe","No","No",23
"male","United States","TN",NA,"No","Yes","Sometimes","6-25","No","Yes","Yes","Yes","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","Yes","No","No","No","No",32
"male","United States","MD","Yes","Yes","No","Sometimes","1-5","Yes","Yes","Yes","Not sure","Yes","Don't know","Yes","Very easy","No","No","Yes","Yes","No","Yes","Yes","Yes",46
"male","France",NA,"Yes","Yes","No",NA,"6-25","Yes","Yes","No","No","Yes","No","Yes","Somewhat easy","No","No","Some of them","Some of them","Maybe","Maybe","Don't know","No",36
"male","United States","NY","No","Yes","Yes","Sometimes","100-500","No","Yes","Yes","Yes","No","No","No","Somewhat difficult","Maybe","No","Some of them","Some of them","No","No","No","No",29
"male","United States","NC","Yes","No","No","Never","1-5","Yes","Yes","No","No","No","No","Yes","Somewhat difficult","No","No","Some of them","Some of them","No","Maybe","Yes","No",31
"male","United States","MA","No","No","Yes","Often","26-100","Yes","Yes","Yes","Yes","No","No","Don't know","Don't know","Maybe","No","Some of them","Yes","No","Maybe","No","No",46
"male","United States","IA","No","No","Yes","Never","More than 1000","No","No","Don't know","No","No","Don't know","Don't know","Don't know","Maybe","No","No","No","No","Yes","Don't know","No",41
"male","United States","CA","No","Yes","Yes","Rarely","26-100","No","Yes","Yes","Not sure","Don't know","Yes","Yes","Don't know","No","No","Yes","Yes","No","Yes","Don't know","No",33
"male","United States","TN","No","Yes","Yes","Sometimes","More than 1000","No","No","Yes","Yes","No","Don't know","No","Very easy","Yes","No","Some of them","Yes","No","Yes","No","No",35
"male","United States","TN","No","No","No",NA,"1-5","No","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","Maybe","Maybe","Some of them","No","No","No","Don't know","No",33
"female","United States","CA","No","Yes","Yes","Rarely","6-25","Yes","Yes","Yes","Yes","Don't know","Don't know","Don't know","Don't know","No","No","Yes","Yes","Maybe","Maybe","Yes","No",35
"male","United States","OH","No","No","Yes","Sometimes","26-100","Yes","Yes","Don't know","Not sure","No","Don't know","Don't know","Somewhat difficult","No","No","Some of them","No","No","No","No","No",34
"male","United Kingdom",NA,"No","No","No","Sometimes","6-25","No","Yes","No","No","No","No","Don't know","Very difficult","Yes","Maybe","Some of them","No","No","Maybe","No","No",37
"male","United Kingdom",NA,"No","No","No","Never","6-25","Yes","Yes","No","No","No","No","Don't know","Don't know","Yes","Yes","Some of them","Some of them","No","Maybe","No","No",32
"male","United States","PA","Yes","Yes","No","Rarely","1-5","Yes","Yes","No","Yes","No","No","Don't know","Somewhat difficult","Yes","No","No","No","No","No","No","Yes",31
"male","United Kingdom",NA,"No","Yes","Yes","Sometimes","500-1000","Yes","Yes","Don't know","No","No","No","Yes","Somewhat easy","Maybe","No","Some of them","Yes","No","Yes","Don't know","No",30
"male","United States","WA","No","Yes","Yes","Sometimes","26-100","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","Maybe","No","Some of them","Some of them","Maybe","Yes","Don't know","No",42
"female","United States","WI","No","No","Yes","Sometimes","1-5","No","Yes","Yes","Yes","No","No","Don't know","Don't know","Maybe","No","Some of them","No","No","Maybe","Yes","No",40
"male","United States","NY","No","No","Yes","Rarely","6-25","No","Yes","No","Yes","No","No","Don't know","Very easy","No","No","Yes","Yes","Maybe","Maybe","Don't know","No",27
"male","Canada",NA,"No","No","No","Rarely","1-5","No","Yes","No","No","No","No","Don't know","Very easy","Yes","Maybe","Some of them","No","No","No","Don't know","No",29
"male","Portugal",NA,"No","No","No",NA,"100-500","No","Yes","No","Yes","No","No","Don't know","Somewhat easy","Maybe","No","Some of them","Some of them","No","Maybe","No","No",38
"male","United States","IN","No","No","No",NA,"100-500","No","Yes","Yes","Yes","No","Don't know","Don't know","Don't know","No","No","Some of them","Yes","No","Maybe","Don't know","No",50
"male","United States","TX","No","No","Yes","Rarely","More than 1000","Yes","Yes","Yes","Yes","No","Yes","Yes","Very easy","No","No","Yes","Yes","Maybe","Maybe","Yes","No",35
"male","United Kingdom",NA,"No","No","Yes","Sometimes","6-25","No","Yes","No","No","No","No","Don't know","Don't know","Maybe","Maybe","Some of them","No","No","Yes","No","Yes",24
"male","United States","MI","No","No","No",NA,"More than 1000","Yes","Yes","Yes","Not sure","Don't know","Yes","Don't know","Somewhat difficult","Yes","Yes","Some of them","No","No","Maybe","Don't know","No",35
"male","Canada",NA,"No","Yes","Yes","Sometimes","1-5","No","Yes","No","Yes","No","No","Yes","Very difficult","Maybe","No","Some of them","No","No","No","Yes","No",27
"male","Netherlands",NA,"No","No","No","Often","6-25","No","Yes","No","Not sure","No","No","Don't know","Somewhat difficult","Yes","Maybe","No","Some of them","No","No","No","No",18
"male","United States","IN","No","No","Yes","Sometimes","26-100","No","Yes","Don't know","No","No","No","Don't know","Don't know","No","No","No","No","No","Maybe","Don't know","No",30
"female","United States","TX","No","Yes","Yes","Sometimes","26-100","No","Yes","Yes","Yes","No","Yes","Yes","Somewhat easy","No","No","Some of them","Yes","No","No","Yes","No",38
"male","United Kingdom",NA,"No","No","No",NA,"26-100","No","Yes","Don't know","Not sure","No","No","Don't know","Don't know","No","Maybe","Some of them","Yes","Maybe","Yes","Don't know","No",28
"male","United States","TN","No","No","No",NA,"6-25","No","Yes","No","No","No","No","Don't know","Don't know","No","No","Yes","Yes","Maybe","Yes","Don't know","No",34
"male","Canada",NA,"Yes","No","No","Sometimes","1-5","No","Yes","No","Yes","Yes","No","Don't know","Don't know","No","No","Yes","Yes","No","No","Yes","No",26
"male","United States","IL","No","Yes","Yes","Rarely","26-100","No","Yes","Yes","No","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","Yes","No","No","Don't know","No",30
"male","United States","TX","No","Yes","Yes","Often","6-25","No","Yes","No","Yes","No","No","Yes","Very difficult","Maybe","No","No","No","No","Maybe","Don't know","No",22
"male","United States","UT","No","No","No",NA,"100-500","Yes","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Maybe","Don't know","No",33
"male","United States",NA,"No","No","No",NA,"100-500","Yes","Yes","Don't know","No","Don't know","Don't know","Don't know","Don't know","Maybe","Maybe","Some of them","Some of them","Maybe","Maybe","Don't know","No",31
"male","United States","TN","No","No","No","Never","1-5","Yes","Yes","Don't know","Not sure","No","No","Don't know","Don't know","Maybe","No","Some of them","Yes","No","No","Don't know","No",32
"male","Switzerland",NA,"No","No","No",NA,"100-500","No","Yes","No","No","No","No","Don't know","Don't know","No","No","No","No","No","Maybe","Don't know","No",28
"male","United States","NY","No","Yes","Yes","Rarely","26-100","No","Yes","Yes","Yes","No","No","Yes","Don't know","Maybe","No","No","No","No","No","Don't know","No",27
"male","United States","TN","No","Yes","No",NA,"6-25","Yes","Yes","Don't know","No","No","No","Don't know","Somewhat easy","No","No","Yes","Yes","No","No","Yes","No",32
"male","United States","NY","No","Yes","Yes","Sometimes","26-100","Yes","Yes","Don't know","No","No","No","Don't know","Don't know","No","Maybe","Some of them","Yes","Yes","Yes","No","No",24
"male","United States","TN","No","No","No",NA,"26-100","No","No","No","No","No","No","Yes","Somewhat easy","No","No","Some of them","Yes","Maybe","Yes","Don't know","No",26
"male","Canada",NA,"No","Yes","Yes","Often","6-25","Yes","Yes","Don't know","No","No","No","No","Somewhat difficult","Yes","No","No","No","No","Maybe","Don't know","No",33
"male","United States","IA","No","Yes","Yes","Sometimes","More than 1000","No","No","Yes","No","No","Don't know","Don't know","Don't know","Yes","Maybe","Some of them","No","No","Maybe","Don't know","Yes",44
"female","Poland",NA,"No","No","Yes","Sometimes","26-100","Yes","Yes","Don't know","Not sure","Yes","Yes","Yes","Very easy","No","No","Yes","Yes","Maybe","Yes","Yes","No",26
"male","United Kingdom",NA,"No","No","No","Never","100-500","No","Yes","Yes","Not sure","No","Yes","Don't know","Somewhat easy","No","No","Yes","Yes","Maybe","Maybe","Yes","No",27
"male","France",NA,"No","No","No",NA,"26-100","No","Yes","No","No","No","No","Don't know","Very easy","Yes","No","No","No","No","No","No","Yes",26
"male","Canada",NA,"No","No","No","Sometimes","6-25","No","Yes","Don't know","No","No","No","Don't know","Somewhat easy","No","No","Some of them","Yes","No","Maybe","Don't know","No",35
"male","United States","CA","No","Yes","No","Sometimes","More than 1000","Yes","Yes","Yes","Yes","Yes","Yes","Don't know","Don't know","Yes","Maybe","Some of them","No","No","No","No","Yes",40
"female","Australia",NA,"No","Yes","Yes","Often","1-5","Yes","Yes","No","Not sure","No","No","Don't know","Very easy","No","No","Some of them","Yes","No","Maybe","Yes","No",23
"male","United States","TX","No","No","No","Sometimes","100-500","Yes","Yes","Yes","No","Don't know","Yes","Don't know","Don't know","Maybe","No","Some of them","Some of them","Maybe","Yes","Yes","No",36
"female","United States","NM","No","No","No",NA,"26-100","Yes","No","Don't know","No","Don't know","Don't know","Don't know","Don't know","Maybe","No","Some of them","No","No","Maybe","Don't know","No",31
"male","United States","NY","Yes","No","No","Rarely","1-5","Yes","Yes","No","No","No","No","Don't know","Don't know","Maybe","No","Some of them","No","No","No","Don't know","No",34
"male","France",NA,"No","No","No","Never","26-100","No","Yes","No","No","No","No","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","No","Don't know","No",28
"male","Canada",NA,"No","No","No","Never","6-25","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Somewhat easy","No","No","Some of them","Yes","No","No","Don't know","No",34
"trans","United States","MA","No","No","No","Rarely","More than 1000","No","Yes","Yes","Yes","No","No","Yes","Somewhat difficult","Maybe","No","Yes","Yes","No","No","No","No",23
"male","United Kingdom",NA,"No","No","No",NA,"26-100","No","Yes","No","No","No","Don't know","Yes","Somewhat easy","No","No","Some of them","Yes","Maybe","Yes","Yes","No",38
"male","United States","CA","No","No","No","Never","More than 1000","No","Yes","Don't know","Not sure","Yes","Don't know","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","Maybe","Yes","No",33
"male","United Kingdom",NA,"No","No","No",NA,"1-5","No","Yes","No","Yes","No","No","No","Somewhat difficult","Yes","No","No","No","No","Maybe","No","No",19
"male","United States","WA","No","No","No",NA,"More than 1000","Yes","Yes","Yes","Yes","Yes","Yes","Don't know","Don't know","No","No","Yes","Yes","Maybe","Yes","Yes","No",25
"male","United States","WA","Yes","Yes","No","Sometimes","1-5","Yes","Yes","No","No","No","No","Yes","Somewhat difficult","No","No","Yes","Yes","Maybe","Maybe","Yes","No",31
"male","United States","UT","No","Yes","Yes","Sometimes","26-100","Yes","Yes","No","No","No","No","Don't know","Somewhat difficult","Yes","No","Some of them","No","No","Yes","No","No",32
"male","Germany",NA,"No","No","No","Never","6-25","Yes","Yes","Don't know","No","Don't know","Don't know","Don't know","Very easy","No","No","Some of them","Some of them","Maybe","Yes","Yes","No",28
"male","United States","NY","No","Yes","No","Sometimes","100-500","Yes","Yes","Yes","Yes","No","Yes","Don't know","Don't know","No","No","Yes","Some of them","Maybe","Maybe","Yes","No",38
"male","United Kingdom",NA,"No","No","No","Never","26-100","No","Yes","Yes","Not sure","Yes","Don't know","Don't know","Very easy","No","No","Some of them","Yes","Maybe","Maybe","Yes","No",23
"male","Canada",NA,"No","No","No","Never","26-100","No","No","No","No","No","No","Don't know","Don't know","No","No","Some of them","Yes","No","No","No","No",30
"female","United States","NY","Yes","No","Yes","Often","1-5","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","Maybe","Maybe","Some of them","Yes","No","Maybe","Yes","No",27
"male","United States","CA","No","Yes","No","Never","More than 1000","No","Yes","No","No","No","No","Don't know","Don't know","Yes","No","No","No","No","Maybe","No","No",33
"male","United States","TX","No","No","No",NA,"26-100","No","Yes","Don't know","Not sure","No","No","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Maybe","No","No",31
"male","United Kingdom",NA,"Yes","No","Yes","Often","6-25","No","Yes","No","No","No","No","Don't know","Very difficult","Maybe","No","Some of them","No","No","Maybe","No","Yes",39
"female","United States","OR","No","Yes","Yes","Rarely","500-1000","Yes","Yes","Yes","Not sure","No","Don't know","Don't know","Don't know","Yes","Maybe","Some of them","Some of them","No","No","Don't know","No",34
"female","United States","FL","No","No","Yes","Sometimes","26-100","No","Yes","Yes","Yes","No","No","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","Maybe","No","Yes",29
"male","United States","IL","No","No","No",NA,"500-1000","No","Yes","Don't know","No","No","Don't know","Don't know","Don't know","No","No","Some of them","Some of them","No","No","Don't know","No",32
"male","United States","NY","No","No","No","Never","500-1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","No","Some of them","Yes","No","No","Yes","No",31
"male","United States","TX","No","No","Yes","Sometimes","26-100","No","Yes","No","Yes","No","No","Yes","Very difficult","No","No","Yes","Yes","Yes","Yes","No","No",40
"male","United States","OH","No","No","No",NA,"26-100","No","Yes","Don't know","No","No","No","Don't know","Somewhat easy","Maybe","No","Some of them","No","No","Maybe","Don't know","No",34
"trans","Russia",NA,"No","No","No",NA,"26-100","Yes","Yes","Yes","Yes","No","No","Yes","Somewhat easy","No","No","Yes","Yes","Yes","Yes","Don't know","No",18
"female","Canada",NA,"No","No","Yes","Sometimes","26-100","No","Yes","Yes","Yes","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","Yes","No","Maybe","Don't know","No",25
"male","United States","MN","No","No","No","Never","26-100","No","Yes","Don't know","No","No","Don't know","Don't know","Don't know","No","No","Yes","Yes","Maybe","Maybe","No","No",29
"male","United States","MO","No","Yes","No","Rarely","26-100","No","Yes","Don't know","Not sure","No","Don't know","Don't know","Somewhat easy","Maybe","Maybe","Some of them","No","No","Maybe","Don't know","No",24
"male","Mexico",NA,"No","Yes","Yes","Sometimes","6-25","No","Yes","Don't know","No","No","No","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Yes","No","No",31
"male","United States","AZ","No","No","Yes","Sometimes","6-25","No","Yes","No","Yes","No","No","Don't know","Somewhat easy","Maybe","No","Some of them","No","No","Maybe","No","No",33
"male","United States","IN","No","No","Yes","Often","1-5","No","Yes","No","Yes","No","No","Yes","Somewhat easy","No","No","Yes","Yes","Maybe","Maybe","Yes","No",30
"female","Canada",NA,"No","Yes","Yes","Sometimes","26-100","No","No","No","Yes","No","No","No","Very difficult","Yes","No","No","No","No","Maybe","No","Yes",26
"female","United States","MA","No","No","No","Never","100-500","No","Yes","Yes","Not sure","Don't know","Don't know","Don't know","Don't know","Maybe","Maybe","No","Some of them","No","No","Don't know","No",44
"male","United States","NY","No","Yes","No",NA,"26-100","No","Yes","Don't know","No","Don't know","Don't know","Don't know","Very easy","No","No","Some of them","Yes","No","No","Don't know","No",25
"male","United States","WI","No","Yes","Yes","Sometimes","26-100","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","No","Some of them","Yes","Maybe","Maybe","Yes","No",33
"male","United States","NY","No","No","No","Never","More than 1000","No","Yes","Yes","Not sure","Yes","Don't know","Don't know","Somewhat easy","No","No","Some of them","Yes","No","No","Don't know","No",29
"male","United States","MO","No","Yes","No","Rarely","6-25","No","Yes","Yes","Not sure","No","No","Yes","Somewhat easy","No","No","Some of them","Yes","No","No","Don't know","No",35
"male","United States","OR","No","Yes","Yes","Sometimes","26-100","Yes","Yes","Don't know","Not sure","No","No","Don't know","Somewhat easy","No","No","Some of them","Yes","No","Maybe","No","No",35
"male","Brazil",NA,"No","Yes","Yes","Rarely","6-25","No","Yes","No","No","No","No","No","Don't know","Maybe","No","Yes","Yes","No","No","Don't know","Yes",28
"male","United States","TN","No","Yes","No","Never","6-25","Yes","Yes","Yes","No","No","No","Don't know","Don't know","Maybe","No","No","No","No","No","Don't know","No",34
"male","United States","WA","No","No","Yes","Sometimes","26-100","No","Yes","Yes","No","Yes","Yes","Yes","Somewhat difficult","Maybe","No","Some of them","Yes","No","Maybe","Yes","No",32
"male","United States","NY","No","No","Yes","Sometimes","500-1000","No","Yes","Yes","Yes","No","Don't know","Yes","Don't know","Yes","No","No","No","No","Yes","No","No",22
"male","United States","CA","No","No","Yes","Sometimes","26-100","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","No","Some of them","Some of them","No","Maybe","Yes","No",28
"male","United States","MO","No","Yes","Yes","Rarely","6-25","Yes","Yes","Yes","Yes","No","Yes","Yes","Very easy","No","No","Yes","Yes","Yes","Yes","Yes","No",45
"male","United States","NY","No","No","No","Never","100-500","No","Yes","Yes","Yes","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","No","Don't know","No",32
"male","United States","TX","No","No","No",NA,"More than 1000","No","Yes","Don't know","No","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","No","No","Maybe","Don't know","No",28
"male","United Kingdom",NA,"No","No","No","Never","6-25","No","Yes","Don't know","No","No","Don't know","Don't know","Very easy","No","No","Some of them","Some of them","No","No","Don't know","Yes",26
"male","United Kingdom",NA,"Yes","No","No","Often","1-5","Yes","No","No","Yes","No","No","Yes","Very difficult","Yes","No","Some of them","Yes","No","Maybe","No","No",21
"male","Canada",NA,"No","No","No","Rarely","6-25","No","No","Yes","Yes","Yes","Yes","Yes","Very easy","Maybe","No","Some of them","Yes","No","No","Don't know","No",27
"male","United States","CT","No","No","Yes","Rarely","1-5","Yes","Yes","No","No","No","No","Yes","Very easy","No","No","Some of them","No","No","No","Don't know","No",18
"male","United States","CO","No","No","No",NA,"26-100","Yes","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Maybe","Don't know","No",35
"male","United States","GA","No","No","No","Never","More than 1000","No","Yes","Yes","Yes","No","Yes","Don't know","Don't know","Yes","Yes","No","No","No","No","Don't know","No",29
"male","United States","DC","No","No","No",NA,"26-100","Yes","Yes","Don't know","No","No","No","Don't know","Very easy","No","No","Some of them","Yes","No","No","Don't know","No",25
"male","United States","MN","No","Yes","Yes","Sometimes","6-25","Yes","Yes","Don't know","No","Don't know","Don't know","Yes","Very easy","No","No","Yes","Yes","No","Maybe","Yes","No",33
"male","United States","WA","No","No","No","Often","6-25","No","Yes","Yes","No","No","No","Yes","Don't know","Maybe","No","No","No","No","No","Don't know","No",36
"male","Canada",NA,"No","No","Yes","Never","100-500","No","No","Yes","Not sure","No","No","Don't know","Very difficult","Maybe","No","Some of them","Yes","No","Maybe","No","Yes",27
"male","United States","WA","No","Yes","No","Never","500-1000","No","Yes","Yes","No","Yes","Yes","Yes","Don't know","Yes","No","Some of them","No","No","Yes","Don't know","No",27
"male","United Kingdom",NA,"No","No","No",NA,"6-25","No","Yes","No","No","No","No","Don't know","Don't know","No","No","Some of them","Some of them","No","No","Don't know","No",27
"male","United States","OR","No","No","Yes","Rarely","100-500","No","Yes","Yes","Yes","No","Yes","Yes","Don't know","Yes","No","No","Yes","No","No","Don't know","No",32
"male","United Kingdom",NA,"No","Yes","No","Sometimes","6-25","No","Yes","No","No","No","No","Don't know","Somewhat easy","Maybe","Maybe","No","No","No","No","Yes","No",31
"male","Slovenia",NA,"No","No","Yes","Sometimes","6-25","No","Yes","Don't know","No","No","No","Don't know","Somewhat easy","Yes","Yes","Some of them","No","No","No","Don't know","No",19
"male","United States","IL","No","Yes","Yes","Sometimes","More than 1000","No","Yes","Yes","Yes","No","No","Don't know","Very easy","Maybe","No","Yes","Some of them","No","Yes","No","No",33
"male","United States","CA","No","No","No","Rarely","1-5","Yes","Yes","No","Yes","No","No","Don't know","Very difficult","Maybe","No","Yes","Some of them","No","Yes","Don't know","No",32
