title,clue,date,year,answer,day
 ,Some pears, December 28,2016,BOSCS, Wednesday
 ,Joyous wedding dance, December 28,2016,HORA, Wednesday
 ,Lethal injection providers?, December 28,2016,ASPS, Wednesday
 ,"Electrified, as a Christmas tree", December 28,2016,LITUP, Wednesday
 ,"Poet who wrote ""If you want to be loved, be lovable""", December 28,2016,OVID, Wednesday
 ,Many a hockey shot, December 28,2016,SLAP, Wednesday
 ,"Player of Frodo in ""The Lord of the Rings""", December 28,2016,ELIJAHWOOD, Wednesday
 ,Nickname for baseball manager Terry Francona, December 28,2016,TITO, Wednesday
 ,Hence, December 28,2016,ERGO, Wednesday
 ,New England state sch., December 28,2016,URI, Wednesday
 ,Really enjoys, December 28,2016,ISINTO, Wednesday
 ,Thickheaded, December 28,2016,DIM, Wednesday
 ,"""The Good War"" Pulitzer Prize winner", December 28,2016,STUDSTERKEL, Wednesday
 ,[Surely you can't mean ...!], December 28,2016,GASP, Wednesday
 ,Runner-advancing action, December 28,2016,HIT, Wednesday
 ,Land west of Eng., December 28,2016,IRE, Wednesday
 ,"""Yo!""", December 28,2016,HEY, Wednesday
 ,"""Your point being ...?""", December 28,2016,SOO, Wednesday
 ,Beat (off), December 28,2016,FEND, Wednesday
 ,"Pop group suggested by 17-, 25-, 47- and 58-Across", December 28,2016,THECARPENTERS, Wednesday
 ,Renaissance Faire quaff, December 28,2016,MEAD, Wednesday
 ,"Playfully obtuse, maybe", December 28,2016,COY, Wednesday
 ,Dog command, December 28,2016,SIT, Wednesday
 ,Real heel, December 28,2016,CAD, Wednesday
 ,Hesitating sounds, December 28,2016,UHS, Wednesday
 ,Part of a Facebook feed, December 28,2016,NEWS, Wednesday
 ,Boston Celtics coach beginning in 2013, December 28,2016,BRADSTEVENS, Wednesday
 ,"""Like I'm supposed to believe THAT!""", December 28,2016,HAH, Wednesday
 ,Worry after a raccoon attack, December 28,2016,RABIES, Wednesday
 ,"Vehicle for the later years, for short?", December 28,2016,IRA, Wednesday
 ,Gutter cleaner's work area, December 28,2016,EAVE, Wednesday
 ,"""Game over!""", December 28,2016,IWIN, Wednesday
 ,"Detective whose first book was ""I, the Jury""", December 28,2016,MIKEHAMMER, Wednesday
 ,Word with blind or expiration, December 28,2016,DATE, Wednesday
 ,"""___ plaisir""", December 28,2016,AVEC, Wednesday
 ,Maximum, December 28,2016,LIMIT, Wednesday
 ,Looked over, December 28,2016,EYED, Wednesday
 ,Home in the forest, December 28,2016,NEST, Wednesday
 ,Collapse in frustration, December 28,2016,PLOTZ, Wednesday
 ,"Run, as colors", December 28,2016,BLEED, Wednesday
 ,Pumping station, December 28,2016,OILRIG, Wednesday
 ,Bad mark, December 28,2016,STIGMA, Wednesday
 ,1981 thriller whose title character is a St. Bernard, December 28,2016,CUJO, Wednesday
 ,Where you might get rubbed the right way, December 28,2016,SPA, Wednesday
 ,"Text to which one might respond ""im gr8""", December 28,2016,HOWRU, Wednesday
 ,Egg-shaped, December 28,2016,OVOID, Wednesday
 ,Where gymnast Simone Biles won Olympic gold, December 28,2016,RIO, Wednesday
 ,Housing expansions, December 28,2016,ADDITIONS, Wednesday
 ,Moving about, December 28,2016,ASTIR, Wednesday
 ,More sinuous and graceful, December 28,2016,SLINKIER, Wednesday
 ,Dressmaking aids, December 28,2016,PATTERNS, Wednesday
 ,"Wound, as thread", December 28,2016,SPOOLED, Wednesday
 ,Hiking signal, December 28,2016,HUT, Wednesday
 ,Ready to go, December 28,2016,SET, Wednesday
 ,"Guideline for a freelancer, for short", December 28,2016,SPEC, Wednesday
 ,There might be a spat about this, December 28,2016,SHOE, Wednesday
 ,"Lose, as a coat", December 28,2016,SHED, Wednesday
 ,America's Cup competitor, December 28,2016,YACHTSMAN, Wednesday
 ,"One with a phony passport, maybe", December 28,2016,SPY, Wednesday
 ,Big party, December 28,2016,FETE, Wednesday
 ,Quickly detachable, December 28,2016,TEARAWAY, Wednesday
 ,Ate something, December 28,2016,HADABITE, Wednesday
 ,Tudor symbol, December 28,2016,ROSE, Wednesday
 ,Some decorative containers, December 28,2016,TINS, Wednesday
 ,Country singer Martina, December 28,2016,MCBRIDE, Wednesday
 ,It can decrease value, December 28,2016,USE, Wednesday
 ,"""Kapow!""", December 28,2016,WHAMMO, Wednesday
 ,"""I don't want to hear any of your excuses""", December 28,2016,SAVEIT, Wednesday
 ,"Ate by candlelight, say", December 28,2016,DINED, Wednesday
 ,"Minnesota team, for short", December 28,2016,VIKES, Wednesday
 ,Upright, December 28,2016,ERECT, Wednesday
 ,"""Skip it""", December 28,2016,NAH, Wednesday
 ,Dollar alternative, December 28,2016,HERTZ, Wednesday
 ,Oscar winner Jannings, December 28,2016,EMIL, Wednesday
 ,"""Now ___ heard everything""", December 28,2016,IVE, Wednesday
 ,"Finsteraarhorn, e.g.", December 28,2016,ALP, Wednesday
MARRIED COUPLES,Leave a permanent mark on, December 25,2016,ETCH, Sunday
MARRIED COUPLES,"Stows, as a banner", December 25,2016,FURLS, Sunday
MARRIED COUPLES,Ice carving?, December 25,2016,FJORD, Sunday
MARRIED COUPLES,Frequently, December 25,2016,OFT, Sunday
MARRIED COUPLES,Romance writer Roberts, December 25,2016,NORA, Sunday
MARRIED COUPLES,Ultimately succeed, December 25,2016,PANOUT, Sunday
MARRIED COUPLES,"Coin portraying Queen Victoria, once", December 25,2016,RUPEE, Sunday
MARRIED COUPLES,Quaint cry of disapproval, December 25,2016,FIE, Sunday
MARRIED COUPLES,Play by heart?, December 25,2016,DRAMATICPIECENTER, Sunday
MARRIED COUPLES,Monastery title, December 25,2016,FRA, Sunday
MARRIED COUPLES,Sphere, December 25,2016,ORB, Sunday
MARRIED COUPLES,Personal problems, December 25,2016,ISSUES, Sunday
MARRIED COUPLES,Relay segment, December 25,2016,LEG, Sunday
MARRIED COUPLES,Roman emblem of power adopted by Mussolini, December 25,2016,FASCES, Sunday
MARRIED COUPLES,Big name in grills, December 25,2016,WEBER, Sunday
MARRIED COUPLES,Toward the back, December 25,2016,AFT, Sunday
MARRIED COUPLES,Gymnastics event, December 25,2016,VAULT, Sunday
MARRIED COUPLES,Means of death for Judas Iscariot, December 25,2016,NOOSE, Sunday
MARRIED COUPLES,A plus average?, December 25,2016,SYMBOLFORAMPEREGULAR, Sunday
MARRIED COUPLES,Tight-lipped, December 25,2016,MUM, Sunday
MARRIED COUPLES,Took first, December 25,2016,WON, Sunday
MARRIED COUPLES,2007 Peace Prize recipient, December 25,2016,GORE, Sunday
MARRIED COUPLES,Rio greeting, December 25,2016,OLA, Sunday
MARRIED COUPLES,Makes minor observations?, December 25,2016,BABYSITS, Sunday
MARRIED COUPLES,Gum that comes in Fire and Ice varieties, December 25,2016,DENTYNE, Sunday
MARRIED COUPLES,Begot, December 25,2016,BRED, Sunday
MARRIED COUPLES,Letterhead?, December 25,2016,ELL, Sunday
MARRIED COUPLES,"""Star Trek: T.N.G."" counselor", December 25,2016,TROI, Sunday
MARRIED COUPLES,Leeway, December 25,2016,ROOM, Sunday
MARRIED COUPLES,Life force in Eastern medicine, December 25,2016,CHI, Sunday
MARRIED COUPLES,Handle with care?, December 25,2016,ALIASSISTANCE, Sunday
MARRIED COUPLES,Chart of the heavens, December 25,2016,STARMAP, Sunday
MARRIED COUPLES,"River more than 2,700 miles long that crosses the Equator twice", December 25,2016,CONGO, Sunday
MARRIED COUPLES,"Two turtledoves, e.g.", December 25,2016,PAIR, Sunday
MARRIED COUPLES,Cry at a surprise party just before the honoree arrives, December 25,2016,HIDE, Sunday
MARRIED COUPLES,Get a groove on?, December 25,2016,SCORE, Sunday
MARRIED COUPLES,"Drink Gatorade after a workout, say", December 25,2016,HYDRATE, Sunday
MARRIED COUPLES,Calm before the storm?, December 25,2016,SERENITYPHOON, Sunday
MARRIED COUPLES,Blow it, December 25,2016,ERR, Sunday
MARRIED COUPLES,Red-haired biblical twin, December 25,2016,ESAU, Sunday
MARRIED COUPLES,Marco Polo crossed it, December 25,2016,GOBI, Sunday
MARRIED COUPLES,"""Gnarly!""", December 25,2016,RAD, Sunday
MARRIED COUPLES,What a lead runner sets, December 25,2016,PACE, Sunday
MARRIED COUPLES,Learns, December 25,2016,ABSORBS, Sunday
MARRIED COUPLES,Some Bavarian brews, December 25,2016,RYEBEERS, Sunday
MARRIED COUPLES,Under the weather, December 25,2016,ILL, Sunday
MARRIED COUPLES,"""Pronto!""", December 25,2016,ASAP, Sunday
MARRIED COUPLES,Part of a film studio tour, December 25,2016,LOT, Sunday
MARRIED COUPLES,"Disney Channel's ""___ and Maddie""", December 25,2016,LIV, Sunday
MARRIED COUPLES,Grab and go?, December 25,2016,CLUTCHINESEBOARDGAME, Sunday
MARRIED COUPLES,Land bordering Nepal, December 25,2016,TIBET, Sunday
MARRIED COUPLES,"Errands, e.g.", December 25,2016,TRIPS, Sunday
MARRIED COUPLES,A.T.M. expense, December 25,2016,FEE, Sunday
MARRIED COUPLES,Provider of limited coverage?, December 25,2016,THONG, Sunday
MARRIED COUPLES,"Subject to a recall, maybe", December 25,2016,UNSAFE, Sunday
MARRIED COUPLES,Ginger ___, December 25,2016,ALE, Sunday
MARRIED COUPLES,"""You betcha!""", December 25,2016,SUREDO, Sunday
MARRIED COUPLES,Middle X or O, December 25,2016,TAC, Sunday
MARRIED COUPLES,Milne young 'un, December 25,2016,ROO, Sunday
MARRIED COUPLES,Stay ahead of the curve?, December 25,2016,ABIDECEPTIVEPITCH, Sunday
MARRIED COUPLES,"December 31, e.g.", December 25,2016,END, Sunday
MARRIED COUPLES,___ Hawkins dance, December 25,2016,SADIE, Sunday
MARRIED COUPLES,Glossy fabric, December 25,2016,SATEEN, Sunday
MARRIED COUPLES,Baja's opposite, December 25,2016,ALTA, Sunday
MARRIED COUPLES,"Setting for much of ""Lord Jim""", December 25,2016,SEA, Sunday
MARRIED COUPLES,Astrophysicist Neil deGrasse ___, December 25,2016,TYSON, Sunday
MARRIED COUPLES,Stuck-up sort, December 25,2016,PRISS, Sunday
MARRIED COUPLES,Spot for brooding, December 25,2016,NEST, Sunday
MARRIED COUPLES,"Support, as a foundation", December 25,2016,ENDOW, Sunday
MARRIED COUPLES,Dara who swam at five Olympics, December 25,2016,TORRES, Sunday
MARRIED COUPLES,Curmudgeonly, December 25,2016,CRABBY, Sunday
MARRIED COUPLES,Common Christmas entree, December 25,2016,HAM, Sunday
MARRIED COUPLES,Former Saudi king, December 25,2016,FAISAL, Sunday
MARRIED COUPLES,Release from shackles, December 25,2016,UNCUFF, Sunday
MARRIED COUPLES,Way up a bunny slope, December 25,2016,ROPETOW, Sunday
MARRIED COUPLES,"San ___ Obispo, Calif.", December 25,2016,LUIS, Sunday
MARRIED COUPLES,"Thrse, e.g.: Abbr.", December 25,2016,STE, Sunday
MARRIED COUPLES,Make available, December 25,2016,FREEUP, Sunday
MARRIED COUPLES,Bars for swingers?, December 25,2016,JUNGLEGYM, Sunday
MARRIED COUPLES,Go (for), December 25,2016,OPT, Sunday
MARRIED COUPLES,Coral bleaching locale, December 25,2016,REEF, Sunday
MARRIED COUPLES,Drive mad, December 25,2016,DERANGE, Sunday
MARRIED COUPLES,Salty or spicy, December 25,2016,OFFCOLOR, Sunday
MARRIED COUPLES,Event with steeply discounted prices, December 25,2016,FIRESALE, Sunday
MARRIED COUPLES,Interest piquer, December 25,2016,TEASERAD, Sunday
MARRIED COUPLES,Sports team tally: Abbr., December 25,2016,PTS, Sunday
MARRIED COUPLES,Boeing competitor, December 25,2016,AIRBUS, Sunday
MARRIED COUPLES,"Dollar, in slang", December 25,2016,CLAM, Sunday
MARRIED COUPLES,Pittance, December 25,2016,SOU, Sunday
MARRIED COUPLES,One of nine for Tina Fey, December 25,2016,EMMY, Sunday
MARRIED COUPLES,Swedish lake that's the largest in the European Union, December 25,2016,VANERN, Sunday
MARRIED COUPLES,Suffix with beta or cyclo-, December 25,2016,TRON, Sunday
MARRIED COUPLES,Drops, December 25,2016,OMITS, Sunday
MARRIED COUPLES,Metaphor for punishment, December 25,2016,ROD, Sunday
MARRIED COUPLES,Standing, December 25,2016,ERECT, Sunday
MARRIED COUPLES,Luau locale, December 25,2016,BEACH, Sunday
MARRIED COUPLES,"Cupronickel, e.g.", December 25,2016,ALLOY, Sunday
MARRIED COUPLES,Like some uncertain dates, December 25,2016,BLIND, Sunday
MARRIED COUPLES,Poppycock, December 25,2016,TRIPE, Sunday
MARRIED COUPLES,1998 N.L. M.V.P., December 25,2016,SOSA, Sunday
MARRIED COUPLES,Night at the museo?, December 25,2016,NOCHE, Sunday
MARRIED COUPLES,___ the line (obeying), December 25,2016,TOEING, Sunday
MARRIED COUPLES,Canoe builder's bark source, December 25,2016,BIRCH, Sunday
MARRIED COUPLES,"""Quite true""", December 25,2016,ITISSO, Sunday
MARRIED COUPLES,Padlock's place, December 25,2016,HASP, Sunday
MARRIED COUPLES,Find common ground, December 25,2016,AGREE, Sunday
MARRIED COUPLES,What spirits can do, December 25,2016,SOAR, Sunday
MARRIED COUPLES,Toward the back, December 25,2016,AREAR, Sunday
MARRIED COUPLES,Kept for later, December 25,2016,SETBY, Sunday
MARRIED COUPLES,"""A Visit From St. Nicholas"" writer", December 25,2016,MOORE, Sunday
MARRIED COUPLES,Very loud, December 25,2016,AROAR, Sunday
MARRIED COUPLES,Isn't over yet, December 25,2016,PENDS, Sunday
MARRIED COUPLES,Maker of the fragrance Sauvage, December 25,2016,DIOR, Sunday
MARRIED COUPLES,"Wreck, informally", December 25,2016,TRASH, Sunday
MARRIED COUPLES,Russian moolah, December 25,2016,RUBLES, Sunday
MARRIED COUPLES,Triangular road sign, December 25,2016,YIELD, Sunday
MARRIED COUPLES,Big purveyor of sports talk, December 25,2016,ESPNRADIO, Sunday
MARRIED COUPLES,Imagines, December 25,2016,PICTURES, Sunday
MARRIED COUPLES,"Like a machine that prints, scans and faxes", December 25,2016,ALLINONE, Sunday
MARRIED COUPLES,Provider of the fizz in a gin fizz, December 25,2016,CLUBSODA, Sunday
MARRIED COUPLES,Worm or fly, December 25,2016,BAIT, Sunday
MARRIED COUPLES,Blubber, December 25,2016,SOB, Sunday
MARRIED COUPLES,Setting for some aerial maneuvers, December 25,2016,BIGTOP, Sunday
MARRIED COUPLES,"""Well, Did You ___?"" (Cole Porter tune)", December 25,2016,EVAH, Sunday
MARRIED COUPLES,"""Hurry!""", December 25,2016,ACTFAST, Sunday
MARRIED COUPLES,Soy-based frozen dessert brand, December 25,2016,TOFUTTI, Sunday
MARRIED COUPLES,Flight attendant's offering, December 25,2016,TEA, Sunday
MARRIED COUPLES,Fisher of fashion, December 25,2016,EILEEN, Sunday
MARRIED COUPLES,Design feature, December 25,2016,SPEC, Sunday
MARRIED COUPLES,Hawks' hangouts, December 25,2016,AERIES, Sunday
MARRIED COUPLES,"""John Wick"" star", December 25,2016,REEVES, Sunday
MARRIED COUPLES,Mark with spots, December 25,2016,MOTTLE, Sunday
MARRIED COUPLES,Passes, December 25,2016,ENACTS, Sunday
MARRIED COUPLES,Onetime alternative to Facebook Messenger, December 25,2016,GCHAT, Sunday
MARRIED COUPLES,Website with a Watch list, December 25,2016,EBAY, Sunday
MARRIED COUPLES,Vigorously debate (with), December 25,2016,SPAR, Sunday
MARRIED COUPLES,"Man cave, maybe", December 25,2016,DEN, Sunday
MARRIED COUPLES,"Employee badges, e.g.", December 25,2016,IDS, Sunday
MARRIED COUPLES,"It's a ""gift""", December 25,2016,ESP, Sunday
MARRIED COUPLES,Name whose Italian equivalent is Giovanni, December 25,2016,IAN, Sunday
 ,Something fracked in fracking, December 24,2016,SHALE, Saturday
 ,Worms and such, December 24,2016,MALWARE, Saturday
 ,"Attractive young woman, in rap slang", December 24,2016,SHAWTY, Saturday
 ,Connection site?, December 24,2016,EHARMONY, Saturday
 ,Fragrant dressing, December 24,2016,POMADE, Saturday
 ,2006 Justin Timberlake #1 hit, December 24,2016,SEXYBACK, Saturday
 ,Arboreal sci-fi creature, December 24,2016,EWOK, Saturday
 ,Fifth player to hit 600 homers, December 24,2016,SOSA, Saturday
 ,Fruta that's sour, December 24,2016,LIMON, Saturday
 ,Saint often depicted with a lamb, December 24,2016,AGNES, Saturday
 ,Celebration that coincided with Truman turning 61, December 24,2016,VEDAY, Saturday
 ,Japan's ___ Castle, December 24,2016,EDO, Saturday
 ,Cassis cocktail, December 24,2016,KIR, Saturday
 ,Tesla competitor, December 24,2016,EDISON, Saturday
 ,Mission group, December 24,2016,CREW, Saturday
 ,"Slacker's opposite, in modern lingo", December 24,2016,TRYHARD, Saturday
 ,Form W-2 abbr., December 24,2016,FICA, Saturday
 ,Palindromic 1976 greatest hits album, December 24,2016,OLEELO, Saturday
 ,Harmless shooter, December 24,2016,MARBLE, Saturday
 ,"Say yes or no, say", December 24,2016,RSVP, Saturday
 ,What's usually about 12 people?, December 24,2016,JURYBOX, Saturday
 ,"Danish shoe maker with more than 1,000 global stores", December 24,2016,ECCO, Saturday
 ,Senior, December 24,2016,ELDEST, Saturday
 ,HSN competitor, December 24,2016,QVC, Saturday
 ,Sushi bar selection, December 24,2016,AHI, Saturday
 ,"Astronomer who coined the term ""nova""", December 24,2016,BRAHE, Saturday
 ,Bomb with wheels, December 24,2016,EDSEL, Saturday
 ,Capability of whales and dolphins, December 24,2016,SONAR, Saturday
 ,Navy ___, December 24,2016,YARD, Saturday
 ,"Italian ""dear""", December 24,2016,CARA, Saturday
 ,Kind of car commonly seen in cities, December 24,2016,ELEVATOR, Saturday
 ,Evil spirits, December 24,2016,INCUBI, Saturday
 ,Prohibitionists' target, December 24,2016,DEMONRUM, Saturday
 ,Company that owns Paramount, December 24,2016,VIACOM, Saturday
 ,Stuff to mine, December 24,2016,RAWDATA, Saturday
 ,Order setting, December 24,2016,ABBEY, Saturday
 ,Many a cabaret performer, December 24,2016,SHOWGIRL, Saturday
 ,Sandwich often served with Dijon mustard, December 24,2016,HAMONRYE, Saturday
 ,Not out, December 24,2016,AWAKE, Saturday
 ,Firm backing?, December 24,2016,LTD, Saturday
 ,"Observation satellites, so to speak", December 24,2016,EYES, Saturday
 ,Fixes, December 24,2016,MESSES, Saturday
 ,Leading, December 24,2016,AHEADOF, Saturday
 ,Starting point of many a red-eye, December 24,2016,LAX, Saturday
 ,How Stephen Colbert sometimes speaks, December 24,2016,WRYLY, Saturday
 ,Prefix whose last two letters are a prefix meaning the same thing, December 24,2016,AMBI, Saturday
 ,Nomad, December 24,2016,ROAMER, Saturday
 ,Make tough to make out, December 24,2016,ENCODE, Saturday
 ,Address, December 24,2016,SPEAKTO, Saturday
 ,"""Like"" relative", December 24,2016,YKNOW, Saturday
 ,"He wrote ""Venus favors the bold""", December 24,2016,OVID, Saturday
 ,Navy ___, December 24,2016,SEALS, Saturday
 ,Ill will, December 24,2016,ANIMUS, Saturday
 ,Cattle herder, December 24,2016,DROVER, Saturday
 ,"City of 150,000+ between Raleigh and Durham", December 24,2016,CARY, Saturday
 ,"""My ___!""", December 24,2016,HERO, Saturday
 ,___ d'identit, December 24,2016,CARTE, Saturday
 ,Wing covering, December 24,2016,BBQSAUCE, Saturday
 ,Beau, December 24,2016,LOVERBOY, Saturday
 ,Say LIKE THIS!, December 24,2016,EXCLAIM, Saturday
 ,Develop, December 24,2016,PLAYOUT, Saturday
 ,Heckle, December 24,2016,JEER, Saturday
 ,Let up, December 24,2016,EASED, Saturday
 ,Ire, December 24,2016,CHOLER, Saturday
 ,Date night choice, December 24,2016,CINEMA, Saturday
 ,Essential principle of Hinduism, December 24,2016,DHARMA, Saturday
 ,Strike while the iron is hot?, December 24,2016,BRAND, Saturday
 ,Mr. T vehicle, December 24,2016,DCCAB, Saturday
 ,State publicly, December 24,2016,AVOW, Saturday
 ,Temperamental type, December 24,2016,DIVA, Saturday
 ,Chorus syllable, December 24,2016,TRA, Saturday
 ,Projecting point, December 24,2016,NIB, Saturday
 ,One may hold a ship in place, December 23,2016,TRACTORBEAM, Friday
 ,Network initials, December 23,2016,DSL, Friday
 ,Visa option, December 23,2016,CASHADVANCE, Friday
 ,"It resembles an ""n"" when lowercase", December 23,2016,ETA, Friday
 ,"Northeast nickname, with ""the""", December 23,2016,EMPIRESTATE, Friday
 ,"Man buns, e.g.", December 23,2016,FAD, Friday
 ,"Remain stationary while facing the wind, in nautical lingo", December 23,2016,LIETO, Friday
 ,Toy car driver?, December 23,2016,CBATTERY, Friday
 ,"Actress Headey of ""Game of Thrones""", December 23,2016,LENA, Friday
 ,"___ Sea, now four lakes", December 23,2016,ARAL, Friday
 ,A.C.T. subj., December 23,2016,ENG, Friday
 ,Jones for, December 23,2016,CRAVE, Friday
 ,___ metabolism, December 23,2016,BASAL, Friday
 ,Warm spot in the snow, December 23,2016,SKILODGE, Friday
 ,"Crop, e.g.", December 23,2016,RESIZE, Friday
 ,Life partners?, December 23,2016,INMATES, Friday
 ,Square things, December 23,2016,GETEVEN, Friday
 ,Many a listicle, December 23,2016,TOPTEN, Friday
 ,Stereotypical man bun sporters, December 23,2016,HIPSTERS, Friday
 ,Plot elements?, December 23,2016,ACRES, Friday
 ,"Keep score, say", December 23,2016,TALLY, Friday
 ,Understanding, December 23,2016,KEN, Friday
 ,Eponymous Paris suburb, December 23,2016,ORLY, Friday
 ,"Circle of friends at a party, perhaps", December 23,2016,HORA, Friday
 ,Breathers?, December 23,2016,NOSTRILS, Friday
 ,Harrison's vice president, December 23,2016,TYLER, Friday
 ,"Hospital lines, briefly", December 23,2016,IVS, Friday
 ,"Like moderates, politically", December 23,2016,INTHEMIDDLE, Friday
 ,Beaut, December 23,2016,GEM, Friday
 ,Common film background, December 23,2016,GREENSCREEN, Friday
 ,Francis II dissolved it in 1806: Abbr., December 23,2016,HRE, Friday
 ,Game for the gifted?, December 23,2016,SECRETSANTA, Friday
 ,Immune system component, December 23,2016,TCELL, Friday
 ,Strong fiber, December 23,2016,RAMIE, Friday
 ,Tree that can survive forest fires, December 23,2016,ASPEN, Friday
 ,Tony winner Rivera, December 23,2016,CHITA, Friday
 ,Elephant's-ear, December 23,2016,TARO, Friday
 ,Sappho dedicated one to Aphrodite, December 23,2016,ODE, Friday
 ,National park sights, December 23,2016,RVS, Friday
 ,Robin's refuge, December 23,2016,BATCAVE, Friday
 ,MacBook ___, December 20,2016,PRO, Tuesday
 ,Permit, December 23,2016,ENABLE, Friday
 ,Official records, December 23,2016,ACTA, Friday
 ,Swim ___, December 23,2016,MEET, Friday
 ,Like a watchful driver, December 23,2016,DEFENSIVE, Friday
 ,"Copernicus, for one", December 23,2016,STARGAZER, Friday
 ,Disney toon often pictured eating spaghetti, December 23,2016,LADY, Friday
 ,Social group?, December 23,2016,TEASET, Friday
 ,Shakespearean forest, December 23,2016,ARDEN, Friday
 ,Impoverished state, December 23,2016,RAGS, Friday
 ,Shelters for sheep, December 23,2016,COTES, Friday
 ,Sounded kittenish, December 20,2016,MEWED, Tuesday
 ,Something controlled by rigging, December 20,2016,SAIL, Tuesday
 ,Assistance, December 20,2016,AID, Tuesday
 ,Allergy sufferer's lifesaver, December 20,2016,EPIPEN, Tuesday
 ,"Title heroine who says ""I would much rather have been merry than wise""", December 20,2016,EMMA, Tuesday
 ,"___ DeVos, noted school choice advocate", December 23,2016,BETSY, Friday
 ,"Contact, say", December 23,2016,LENS, Friday
 ,"Rama's wife, in Hinduism", December 23,2016,SITA, Friday
 ,Upset, December 23,2016,KNOCKOVER, Friday
 ,"""Let's see what you've got""", December 23,2016,IMPRESSME, Friday
 ,Hidden, December 23,2016,LATENT, Friday
 ,Thread part, December 23,2016,REPLY, Friday
 ,Bass organ, December 23,2016,GILL, Friday
 ,Clear adhesive, December 20,2016,SCOTCHTAPE, Tuesday
 ,Each, December 20,2016,APOP, Tuesday
 ,Trebly, December 20,2016,THRICE, Tuesday
 ,Software fix, December 20,2016,PATCH, Tuesday
 ,Pack (down), December 20,2016,TAMP, Tuesday
 ,Backpackers' routes, December 20,2016,TRAILS, Tuesday
 ,French royal line, December 20,2016,HOUSEOFBOURBON, Tuesday
 ,Mad ___, December 20,2016,LIBS, Tuesday
 ,Omani money, December 20,2016,RIAL, Tuesday
 ,More caustic, December 23,2016,HARSHER, Friday
 ,Pre-Columbian civilization, December 23,2016,TOLTEC, Friday
 ,Hercules slew it, December 23,2016,HYDRA, Friday
 ,Bygone, December 23,2016,OLDEN, Friday
 ,"Filled again, as a flat", December 23,2016,RELET, Friday
 ,"Circus Maximus, e.g.", December 23,2016,ARENA, Friday
 ,Virtually, December 23,2016,NIGH, Friday
 ,Cardamom or turmeric, December 20,2016,SPICE, Tuesday
 ,Ernie in the World Golf Hall of Fame, December 20,2016,ELS, Tuesday
 ,Synagogue singers, December 20,2016,CANTORS, Tuesday
 ,Something that fits in a lock, December 20,2016,OAR, Tuesday
 ,"Add details to, with ""out""", December 20,2016,FLESH, Tuesday
 ,Fixes badly?, December 23,2016,RIGS, Friday
 ,Subject preceder, December 23,2016,INRE, Friday
 ,Little jerks, December 23,2016,TICS, Friday
 ,Suffix indicating a double bond, December 23,2016,ENE, Friday
 ,Boulder setting: Abbr., December 23,2016,MST, Friday
 ,Marie Antoinette lost hers in la Rvolution franaise, December 20,2016,TETE, Tuesday
 ,Get the ball rolling?, December 20,2016,PUTT, Tuesday
 ,Cocktail usually served with an orange slice and a cherry, December 20,2016,TEQUILASUNRISE, Tuesday
 ,Sloping water trough, December 20,2016,SLUICE, Tuesday
 ,Drudge, December 20,2016,PEON, Tuesday
 ,Start of Caesar's boast, December 20,2016,ICAME, Tuesday
 ,French cake, December 20,2016,GATEAU, Tuesday
 ,"Surface-dwelling race in ""The Time Machine""", December 20,2016,ELOI, Tuesday
 ,How this puzzle's three drinks have been served?, December 20,2016,ONTHEROCKS, Tuesday
 ,Booming, December 20,2016,LOUD, Tuesday
 ,Like some fancy basketball passes, December 20,2016,NOLOOK, Tuesday
 ,Purge (of), December 20,2016,RID, Tuesday
 ,Item in a box in the basement, December 20,2016,FUSE, Tuesday
 ,Public squabble, December 20,2016,SCENE, Tuesday
 ,"A, in Andalusia", December 20,2016,UNA, Tuesday
 ,"Word repeated in ""What's ___ is ___""", December 20,2016,PAST, Tuesday
 ,"Decadent, as cake", December 20,2016,RICH, Tuesday
 ,"""Eww!"" inducer", December 20,2016,ODOR, Tuesday
