title,clue,date,year,answer,unique,day
 ,"Actress Rachel of ""The Notebook""", August 31, 2012,MCADAMS,False, Friday
 ,"Newsman who famously defined news as ""something somebody doesn't want printed""", August 31, 2012,HEARST,False, Friday
 ,___ Avenue (Monopoly property landed on the most), August 31, 2012,ILLINOIS,False, Friday
 ,Ascribe, August 31, 2012,IMPUTE,False, Friday
 ,Big mess, August 31, 2012,RATSNEST,False, Friday
 ,Attractive feature, August 31, 2012,TURNON,False, Friday
 ,"Makes copies of, maybe", August 31, 2012,TRACES,False, Friday
 ,Responsibility, August 31, 2012,ONUS,False, Friday
 ,Building material for Great Plains settlers, August 31, 2012,SOD,False, Friday
 ,Decorated one, August 31, 2012,HERO,False, Friday
 ,Cut short, August 31, 2012,CROP,False, Friday
 ,"1980s ""Meet the Press"" host Marvin", August 31, 2012,KALB,False, Friday
 ,Attends to as one might a captured soldier, August 31, 2012,UNARMS,False, Friday
 ,Hit group?, August 31, 2012,MAFIA,False, Friday
 ,Something you'd rather not discuss, August 31, 2012,PRIVATEMATTER,True, Friday
 ,They're written for two-part harmony, August 31, 2012,PEACETREATIES,False, Friday
 ,Amateur geologist's purchase, August 31, 2012,GEIGERCOUNTER,False, Friday
 ,Lawn care item, August 31, 2012,EDGER,False, Friday
 ,"Course of sewers, for short", August 31, 2012,HOMEEC,False, Friday
 ,Retro candy containers, August 31, 2012,TINS,False, Friday
 ,"Drinks bourbon neat, maybe", August 31, 2012,SIPS,False, Friday
 ,Ecuador is a member of it, August 31, 2012,OPEC,False, Friday
 ,"Fifth word of the lyrics to ""American Pie""", August 31, 2012,AGO,False, Friday
 ,Mass event, August 31, 2012,RITE,False, Friday
 ,"Land of ___ (destination in ""The Pilgrim's Progress"")", August 31, 2012,BEULAH,False, Friday
 ,Play maker?, August 31, 2012,WRITER,False, Friday
 ,Heat in one's car, August 31, 2012,ROADRAGE,False, Friday
 ,Oxygen-dependent organism, August 31, 2012,AEROBE,False, Friday
 ,They get canned, August 31, 2012,SARDINES,False, Friday
 ,He's inclined to agree, August 31, 2012,YESMAN,False, Friday
 ,Pot holder?, August 31, 2012,TEACART,False, Friday
 ,Amusement, August 31, 2012,MIRTH,False, Friday
 ,"Saint ___ of Assisi, co-founder of the Order of Poor Ladies", August 31, 2012,CLARE,False, Friday
 ,Missal stand's place, August 31, 2012,ALTAR,False, Friday
 ,Puts off, August 31, 2012,DISCOURAGES,False, Friday
 ,Last monarch of the House of Stuart, August 31, 2012,ANNE,False, Friday
 ,Hangout for Homer, August 31, 2012,MOES,False, Friday
 ,Family nickname, August 31, 2012,SIS,False, Friday
 ,Ask for a donation, August 31, 2012,HITUP,False, Friday
 ,Winged runners, August 31, 2012,EMUS,False, Friday
 ,Mo. when the Civil War began, August 31, 2012,APR,False, Friday
 ,Tries to catch, August 31, 2012,RUNSAFTER,True, Friday
 ,Crime reporters?, August 31, 2012,STOOLIES,False, Friday
 ,"Take orders, possibly", August 31, 2012,TENDBAR,False, Friday
 ,"""Star Wars"" extras", August 31, 2012,STORMTROOPERS,True, Friday
 ,Small biters, August 31, 2012,NOSEEUMS,False, Friday
 ,Dickensian surname, August 31, 2012,CRATCHIT,False, Friday
 ,"Only person to guest-host ""The Tonight Show With Jay Leno""", August 31, 2012,KATIECOURIC,False, Friday
 ,More upscale, August 31, 2012,NICER,False, Friday
 ,State, August 31, 2012,AVER,False, Friday
 ,Like some photo paper, August 31, 2012,MATTE,False, Friday
 ,Gowns that are rarely worn out, August 31, 2012,PEIGNOIRS,False, Friday
 ,A zebra has a short one, August 31, 2012,MANE,False, Friday
 ,Livestock auction info, August 31, 2012,PEDIGREE,False, Friday
 ,Vacation spot, August 31, 2012,GETAWAY,False, Friday
 ,Fabulous singer, August 31, 2012,SIREN,False, Friday
 ,Original scheme, August 31, 2012,PLANA,False, Friday
 ,"Breathless, say", August 31, 2012,EAGER,False, Friday
 ,One beaten by an ape, August 31, 2012,CHEST,False, Friday
 ,"""___ #1's"" (2005 country music album)", August 31, 2012,REBA,False, Friday
 ,Exposed to the elements, August 31, 2012,BARE,False, Friday
 ,13th-century composition, August 31, 2012,EDDA,False, Friday
 ,Certain cat, August 31, 2012,TOM,False, Friday
 ,Small part of a meal, August 31, 2012,OAT,False, Friday
 ,Director Roth, August 23, 2012,ELI,False, Thursday
 ,Biblical word on a wall, August 23, 2012,MENE,False, Thursday
 ,"Something hidden, perhaps", August 23, 2012,AGENDA,False, Thursday
 ,Edna Ferber novel, August 23, 2012,CIMARRON,False, Thursday
 ,Multitude, August 23, 2012,LEGION,False, Thursday
 ,Effrontery, August 23, 2012,CHUTZPAH,False, Thursday
 ,A speedster may do it, August 23, 2012,EIGHTY,False, Thursday
 ,About, August 23, 2012,ORSO,False, Thursday
 ,Lug, August 23, 2012,SCHLEP,False, Thursday
 ,N.L. East city: Abbr., August 23, 2012,ATL,False, Thursday
 ,Bat wood, August 23, 2012,ASH,False, Thursday
 ,"AOL, for one", August 23, 2012,ISP,False, Thursday
 ,Mres' charges, August 23, 2012,BEBES,False, Thursday
 ,Buddyroo, August 23, 2012,PAL,False, Thursday
 ,Gossip, August 23, 2012,YENTA,False, Thursday
 ,Still, August 23, 2012,EVENSO,False, Thursday
 ,___ sleep, August 23, 2012,REM,False, Thursday
 ,Fails to be, August 23, 2012,ISNT,False, Thursday
 ,Title on certain language videos ... with a hint to entering six answers in this puzzle, August 23, 2012,LEARNINGYIDDISH,True, Thursday
 ,Digging, August 23, 2012,INTO,False, Thursday
 ,Cuisine whose staple food is sticky rice, August 23, 2012,LAO,False, Thursday
 ,Competition for truckers, August 23, 2012,ROADEO,False, Thursday
 ,Butterfingers, August 23, 2012,KLUTZ,False, Thursday
 ,Walk-___, August 23, 2012,ONS,False, Thursday
 ,Liquid fat, August 23, 2012,OLEIN,False, Thursday
 ,Gift that's hard to believe, August 23, 2012,ESP,False, Thursday
 ,Kind of card, August 23, 2012,ATM,False, Thursday
 ,Slalom path, August 23, 2012,ESS,False, Thursday
 ,Offer unwanted advice, August 23, 2012,KIBITZ,False, Thursday
 ,"""Now!""", August 23, 2012,ASAP,False, Thursday
 ,So very very, August 23, 2012,ALLTOO,False, Thursday
 ,Shoot the breeze, August 23, 2012,SCHMOOZE,False, Thursday
 ,Genre for Q-Tip, August 23, 2012,HIPHOP,False, Thursday
 ,Bubble makers, August 23, 2012,AERATORS,False, Thursday
 ,Size up, August 23, 2012,ASSESS,False, Thursday
 ,"Concordes, e.g.", August 23, 2012,SSTS,False, Thursday
 ,"Lick, say", August 23, 2012,WET,False, Thursday
 ,Parrot, August 23, 2012,ECHO,False, Thursday
 ,"""A ___ should have a good memory"": Quintilian", August 23, 2012,LIAR,False, Thursday
 ,Some World of Warcraft figures, August 23, 2012,IMPS,False, Thursday
 ,"Villain player in ""Rocky III""", August 23, 2012,MRT,False, Thursday
 ,Go off, August 23, 2012,ERUPT,False, Thursday
 ,"Worthless, as an assistant", August 23, 2012,NOHELP,False, Thursday
 ,Abbr. on a business letter, August 23, 2012,ENCL,False, Thursday
 ,Smart ___, August 23, 2012,ALECS,False, Thursday
 ,Woman with many fans?, August 23, 2012,GEISHA,False, Thursday
 ,Item in a spoon race, August 23, 2012,EGG,False, Thursday
 ,Fed. research org., August 23, 2012,NIH,False, Thursday
 ,Modern address feature, August 23, 2012,DOT,False, Thursday
 ,"""___ advice?""", August 23, 2012,ANY,False, Thursday
 ,Kind of dye, August 23, 2012,AZO,False, Thursday
 ,"___ Joel Osment of ""The Sixth Sense""", August 23, 2012,HALEY,False, Thursday
 ,Part of A.M.A.: Abbr., August 23, 2012,ASSN,False, Thursday
 ,Like some pitched balls, August 23, 2012,INSIDE,False, Thursday
 ,Martial arts instructor, August 23, 2012,SENSEI,False, Thursday
 ,Popular programming language, August 23, 2012,PYTHON,False, Thursday
 ,Locale of some Mayan ruins, August 23, 2012,BELIZE,False, Thursday
 ,Caterers' bookings, August 23, 2012,EVENTS,False, Thursday
 ,Ragged, August 23, 2012,BEATUP,False, Thursday
 ,Sign up, August 23, 2012,ENROL,False, Thursday
 ,.93% of the earth's atmosphere, August 23, 2012,ARGON,False, Thursday
 ,Like some pools, August 23, 2012,TIDAL,False, Thursday
 ,It may be struck in a field, August 23, 2012,OIL,False, Thursday
 ,"It spent 5,519 days in orbit", August 23, 2012,MIR,False, Thursday
 ,Biblical woman who changed her name to Mara, August 23, 2012,NAOMI,False, Thursday
 ,Ski-___, August 23, 2012,DOOS,False, Thursday
 ,Buzzers, August 23, 2012,KAZOOS,False, Thursday
 ,Grabs, August 23, 2012,SEIZES,False, Thursday
 ,Sporty car roofs, August 23, 2012,TTOPS,False, Thursday
 ,Article of female tennis attire, August 23, 2012,SKORT,False, Thursday
 ,Arthur and Benaderet, August 23, 2012,BEAS,False, Thursday
 ,Qty., August 23, 2012,AMT,False, Thursday
 ,Look pregnant, August 23, 2012,SHOW,False, Thursday
 ,Israeli port, August 23, 2012,ACRE,False, Thursday
 ,"""Hey you!""", August 23, 2012,PSST,False, Thursday
