title,clue,date,year,answer,unique,day
 ,"___ Nast, publisher of Vogue", December 16, 2016,CONDE,False, Friday
 ,Baby, December 16, 2016,SPOIL,False, Friday
 ,Voodoo doll action, December 16, 2016,HEX,False, Friday
 ,"""Robin ___"" (old Irish ballad)", December 16, 2016,ADAIR,False, Friday
 ,Bittersweet spread, December 16, 2016,MARMALADE,False, Friday
 ,Company concerned with net profits?, December 16, 2016,SERVICEPROVIDER,True, Friday
 ,Big name in pop, December 16, 2016,COCACOLA,False, Friday
 ,Passover month, December 16, 2016,NISAN,False, Friday
 ,Current positions?, December 16, 2016,ONS,False, Friday
 ,Scandalous '80s initials, December 16, 2016,PTL,False, Friday
 ,Old-fashioned verb suffix, December 16, 2016,ETH,False, Friday
 ,"""Isn't ___ bit like you and me?"" (Beatles lyric)", December 16, 2016,HEA,False, Friday
 ,Black Friday scene, December 16, 2016,MOB,False, Friday
 ,Back on the plane?, December 16, 2016,AFT,False, Friday
 ,"Server of pink champagne on ice, in song", December 16, 2016,HOTELCALIFORNIA,True, Friday
 ,Is perfectly punctual, December 16, 2016,ARRIVESONTHEDOT,True, Friday
 ,Spoke forthrightly, December 16, 2016,LAIDITONTHELINE,False, Friday
 ,Workshop, December 16, 2016,TRAININGSEMINAR,True, Friday
 ,French seasoning, December 16, 2016,SEL,False, Friday
 ,Pre-A.D., December 16, 2016,BCE,False, Friday
 ,"Incline press target, briefly", December 16, 2016,PEC,False, Friday
 ,"""___ Ho"" (""Slumdog Millionaire"" song)", December 16, 2016,JAI,False, Friday
 ,Like Beethoven's Symphony No. 7, December 16, 2016,INA,False, Friday
 ,"Drowned valley, maybe", December 16, 2016,RIA,False, Friday
 ,Full of moxie, December 16, 2016,GUTSY,False, Friday
 ,Sponges, December 16, 2016,TOSSPOTS,False, Friday
 ,Was vindicated, December 16, 2016,HADTHELASTLAUGH,False, Friday
 ,Pasta strip, December 16, 2016,EGGNOODLE,False, Friday
 ,Cross swords, December 16, 2016,ARGUE,False, Friday
 ,Baby, December 16, 2016,WEE,False, Friday
 ,Flower known to attract butterflies, December 16, 2016,PHLOX,False, Friday
 ,"Victimizes, with ""on""", December 16, 2016,PREYS,False, Friday
 ,Maine's ___ Bay, December 16, 2016,CASCO,False, Friday
 ,Classic theater name, December 16, 2016,ODEON,False, Friday
 ,Crack investigators?, December 16, 2016,NARCS,False, Friday
 ,"Agent's handful, say", December 16, 2016,DIVA,False, Friday
 ,Ivanka's younger brother, December 16, 2016,ERIC,False, Friday
 ,Silvery fish, December 16, 2016,SMELT,False, Friday
 ,Like some bulls, December 16, 2016,PAPAL,False, Friday
 ,"Crash-prone ""Catch-22"" pilot", December 16, 2016,ORR,False, Friday
 ,"""It's showtime!""", December 16, 2016,IMON,False, Friday
 ,"""Rent"" showstopper", December 16, 2016,LAVIEBOHEME,True, Friday
 ,Was involved with, December 16, 2016,HADAHANDIN,False, Friday
 ,Setting for paintings by Tintoretto and Hieronymus Bosch, December 16, 2016,EDEN,False, Friday
 ,Gen ___, December 16, 2016,XER,False, Friday
 ,"Manifest, e.g.", December 16, 2016,LIST,False, Friday
 ,Fine and dandy, December 16, 2016,COPACETIC,False, Friday
 ,1937 Shirley Temple title role, December 16, 2016,HEIDI,False, Friday
 ,"""Fooled Around and Fell in Love"" hitmaker of 1976", December 16, 2016,ELVINBISHOP,False, Friday
 ,Postprandial handouts, December 16, 2016,MINTS,False, Friday
 ,Olden, December 16, 2016,OFTHEPAST,True, Friday
 ,"Apple on an iPod, maybe", December 16, 2016,FIONA,False, Friday
 ,Four-bagger, December 16, 2016,TATER,False, Friday
 ,Doesn't proceed, December 16, 2016,HALTS,False, Friday
 ,"""Laborare est ___"" (Masonic motto)", December 16, 2016,ORARE,False, Friday
 ,One calling the shots on court?, December 16, 2016,TRIALJUDGE,False, Friday
 ,In concert, December 16, 2016,ASONE,False, Friday
 ,Word before ball or shot, December 16, 2016,LONG,False, Friday
 ,Collector's item, December 16, 2016,RELIC,False, Friday
 ,Memo abbr., December 16, 2016,ATTN,False, Friday
 ,"___ Balbo, right-hand man to Mussolini", December 16, 2016,ITALO,False, Friday
 ,"""___ Please, We're British"" (1971 stage farce)", December 16, 2016,NOSEX,True, Friday
 ,Compact item, December 16, 2016,ROUGE,False, Friday
 ,He can help after a crash, December 16, 2016,ITGUY,False, Friday
 ,Grate expectations?, December 16, 2016,ASHES,False, Friday
 ,Bunker Hill general, December 16, 2016,GAGE,False, Friday
 ,"Michelle of ""Crouching Tiger, Hidden Dragon""", December 16, 2016,YEOH,False, Friday
 ,Quickly put (together), December 16, 2016,SLAP,False, Friday
 ,Henry VIII's sixth, December 16, 2016,PARR,False, Friday
 ,Fell, December 16, 2016,HEW,False, Friday
 ,Bad cholesterol letters, December 16, 2016,LDL,False, Friday
 ,Bend out of shape, December 8, 2016,WARP,False, Thursday
 ,"""Downton Abbey"" maid", December 8, 2016,EDNA,False, Thursday
 ,Rains lightly, December 8, 2016,MISTS,False, Thursday
 ,Like some accounts, December 8, 2016,ORAL,False, Thursday
 ,Part of a gauge, December 8, 2016,DIAL,False, Thursday
 ,Not knot?, December 8, 2016,UNTIE,False, Thursday
 ,"Singers who go from ""sol"" straight to ""ti""?", December 8, 2016,LADODGERS,False, Thursday
 ,"So yesterday, say", December 8, 2016,STALE,False, Thursday
 ,"Clarice's org. in ""The Silence of the Lambs""", December 8, 2016,FBI,False, Thursday
 ,"""Let's not get too excited now""", December 8, 2016,EASY,False, Thursday
 ,Not so stuffy, December 8, 2016,AIRIER,False, Thursday
 ,Midwest hub, December 8, 2016,OHARE,False, Thursday
 ,Comedians who do material on the Freudian psyche?, December 8, 2016,IDCARDS,False, Thursday
 ,Yearned, December 8, 2016,ACHED,False, Thursday
 ,Dharma teachers, December 8, 2016,LAMAS,False, Thursday
 ,Wunderkind, December 8, 2016,PHENOM,False, Thursday
 ,"Old shirt, perhaps", December 8, 2016,RAG,False, Thursday
 ,Birthplace of Galileo, December 8, 2016,PISA,False, Thursday
 ,"""Young 'uns, yer cuzzins are here"" and others?", December 8, 2016,PAANNOUNCEMENTS,True, Thursday
 ,Shipshape, December 8, 2016,TIDY,False, Thursday
 ,Prefix with -sect, December 8, 2016,TRI,False, Thursday
 ,"Octave's follower, in some poetry", December 8, 2016,SESTET,False, Thursday
 ,Groundbreaking 1990s ABC sitcom, December 8, 2016,ELLEN,False, Thursday
 ,Jerk, December 8, 2016,SCHMO,False, Thursday
 ,Shipping containers on Italy's longest river?, December 8, 2016,POBOXES,False, Thursday
 ,Pitcher of milk?, December 8, 2016,ELSIE,False, Thursday
 ,Dawn-to-dusk, December 8, 2016,ALLDAY,False, Thursday
 ,"Jesus, for one", December 8, 2016,ALOU,False, Thursday
