title,clue,date,year,answer,unique,day
 ,"""This bag is not ___""", April 18, 2013,ATOY,False, Thursday
 ,Figures in statistics, April 18, 2013,MODES,False, Thursday
 ,Film resident of Crab Key Island, April 18, 2013,DRNO,False, Thursday
 ,"Apple, e.g.", April 18, 2013,POME,False, Thursday
 ,Instrument bearing the coat of arms of France's Charles IX, April 18, 2013,AMATI,False, Thursday
 ,Go-between, April 18, 2013,MIDDLEMAN,False, Thursday
 ,Pen pal?, April 18, 2013,FELON,False, Thursday
 ,Futile, April 18, 2013,INVAIN,False, Thursday
 ,Where seawater remains after an ebb, April 18, 2013,TIDALPOOL,True, Thursday
 ,Quick refreshment, April 18, 2013,NAP,False, Thursday
 ,Apricot relative, April 18, 2013,SLOE,False, Thursday
 ,Psalm ender, April 18, 2013,SELAH,False, Thursday
 ,"Eleniak of ""Baywatch""", April 18, 2013,ERIKA,False, Thursday
 ,"""___ Longstocking""", April 18, 2013,PIPPI,False, Thursday
 ,"Earth, e.g.", April 18, 2013,ORB,False, Thursday
 ,Unethical law enforcement practice, April 18, 2013,RACIALPROFILING,True, Thursday
 ,Breathers, April 18, 2013,LULLS,False, Thursday
 ,Strong irritation, April 18, 2013,IRE,False, Thursday
 ,___ charmed life, April 18, 2013,LEADA,False, Thursday
 ,"Home of ""The Nude Maja""", April 18, 2013,PRADO,False, Thursday
 ,"Baseball, in America", April 18, 2013,NATIONALPASTIME,False, Thursday
 ,Way to see the world?, April 18, 2013,ATLAS,False, Thursday
 ,Early 12th-century year, April 18, 2013,MCIV,False, Thursday
 ,Switzerland's ___ Gorge, April 18, 2013,AAR,False, Thursday
 ,Engine's output, April 18, 2013,MECHANICALPOWER,True, Thursday
 ,Illuminated from above, April 18, 2013,TOPLIT,False, Thursday
 ,Divide up, April 18, 2013,ALLOT,False, Thursday
 ,Shelf on a cliff, April 18, 2013,ROCKLEDGE,True, Thursday
 ,Gunk, April 18, 2013,SLIME,False, Thursday
 ,Da capo ___, April 18, 2013,ARIA,False, Thursday
 ,Push, April 18, 2013,TOUT,False, Thursday
 ,Caught on video, April 18, 2013,TAPED,False, Thursday
 ,Long writers' blocks?, April 18, 2013,LEGALPADS,False, Thursday
 ,High points of which five are found going up in this puzzle, April 18, 2013,ALPS,False, Thursday
 ,"Accept, as an error", April 18, 2013,ADMIT,False, Thursday
 ,"Lopez with the 1965 hit ""Lemon Tree""", April 18, 2013,TRINI,False, Thursday
 ,One way to see a movie, April 18, 2013,ONDVD,False, Thursday
 ,"Big-eared ""Star Wars"" character", April 18, 2013,YODA,False, Thursday
 ,First tuba note?, April 18, 2013,OOM,False, Thursday
 ,"Stickup man on ""The Wire""", April 18, 2013,OMAR,False, Thursday
 ,Jay ___ Garage (popular automotive Web site), April 18, 2013,LENOS,False, Thursday
 ,Partners in crime, April 18, 2013,MAFIOSI,False, Thursday
 ,Western ___, April 18, 2013,OMELET,False, Thursday
 ,"""Swans Reflecting Elephants"" artist", April 18, 2013,DALI,False, Thursday
 ,William and Harry attended it, April 18, 2013,ETON,False, Thursday
 ,Turn state's evidence, April 18, 2013,SING,False, Thursday
 ,Kind of colony, April 18, 2013,PENAL,False, Thursday
 ,First part of a form to fill out, April 18, 2013,LINEA,False, Thursday
 ,Ruckuses, April 18, 2013,FLAPS,False, Thursday
 ,Historical name for New Guinea, April 18, 2013,PAPUA,False, Thursday
 ,Water-___, April 18, 2013,SKI,False, Thursday
 ,Margaret Thatcher's middle name, April 18, 2013,HILDA,False, Thursday
 ,U.S.S. ___ (W.W. II battleship), April 18, 2013,IOWA,False, Thursday
 ,TV neigh-sayer?, April 18, 2013,MRED,False, Thursday
 ,River of Iberia, April 18, 2013,EBRO,False, Thursday
 ,Leprechaun's home, April 18, 2013,ERIN,False, Thursday
 ,"Scarce, to Scipio", April 18, 2013,RARA,False, Thursday
 ,"Actor who made his film debut in ""Breakin',"" 1984", April 18, 2013,ICET,False, Thursday
 ,Seorita's silver, April 18, 2013,PLATA,False, Thursday
 ,"""April Theses"" writer", April 18, 2013,LENIN,False, Thursday
 ,Hosp. areas, April 18, 2013,ORS,False, Thursday
 ,Tracked down, April 18, 2013,LOCATED,False, Thursday
 ,"Spoken, as evidence", April 18, 2013,PAROL,False, Thursday
 ,Cry upon walking in the front door, April 18, 2013,IMHOME,False, Thursday
 ,"""Taxi"" worker", April 18, 2013,LATKA,False, Thursday
 ,Like some videos, April 18, 2013,VIRAL,False, Thursday
 ,Perfume ingredient, April 18, 2013,ALDOL,False, Thursday
 ,Exhume, April 18, 2013,DIGUP,False, Thursday
 ,Doesn't strike out in the end, April 18, 2013,STETS,False, Thursday
 ,Flag holder, April 18, 2013,MAST,False, Thursday
 ,"She, in Seville", April 18, 2013,ELLA,False, Thursday
 ,Fast pace, April 18, 2013,CLIP,False, Thursday
 ,Center, April 18, 2013,CORE,False, Thursday
 ,"""Fur Is Dead"" org.", April 18, 2013,PETA,False, Thursday
 ,Smoke, April 18, 2013,CIG,False, Thursday
 ,Disgraced Armstrong, April 10, 2013,LANCE,False, Wednesday
 ,"Energize, informally", April 10, 2013,AMPUP,False, Wednesday
 ,Movie org. that created a top-100 list from which all of this puzzle's quotes come, April 10, 2013,AFI,True, Wednesday
 ,Item in a squirrel's hoard, April 10, 2013,ACORN,False, Wednesday
 ,Duct outflow, April 10, 2013,TEARS,False, Wednesday
 ,One may play something by this, April 10, 2013,EAR,False, Wednesday
 ,Memorable movie line spoken by ... Jack Nicholson, April 10, 2013,HERESJOHNNY,False, Wednesday
 ,Boarding house?: Abbr., April 10, 2013,STA,False, Wednesday
 ,Tito of Latin jazz, April 10, 2013,PUENTE,False, Wednesday
 ,"Ulster, e.g.", April 10, 2013,COAT,False, Wednesday
 ,... Haley Joel Osment, April 10, 2013,ISEEDEADPEOPLE,True, Wednesday
 ,"Hand-held organizer, briefly", April 10, 2013,PDA,False, Wednesday
 ,Aromatherapist's supply, April 10, 2013,OIL,False, Wednesday
 ,Target, April 10, 2013,AIMAT,False, Wednesday
 ,"Flawed, as mdse.", April 10, 2013,IRREG,False, Wednesday
 ,Bern's river, April 10, 2013,AAR,False, Wednesday
 ,... Rene Zellweger, April 10, 2013,YOUHADMEATHELLO,False, Wednesday
 ,... Marlon Brando, April 10, 2013,STELLAHEYSTELLA,True, Wednesday
 ,"Digital communication, for short?", April 10, 2013,ASL,False, Wednesday
 ,Conjure up, April 10, 2013,EVOKE,False, Wednesday
 ,Many Sylvester Stallone characters, April 10, 2013,HEMEN,False, Wednesday
 ,Singer DiFranco, April 10, 2013,ANI,False, Wednesday
 ,Capp and Kaline, April 10, 2013,ALS,False, Wednesday
 ,... Greta Garbo, April 10, 2013,IWANTTOBEALONE,False, Wednesday
 ,Cuckoo, April 10, 2013,DAFT,False, Wednesday
 ,Cheesy treats, April 10, 2013,NACHOS,False, Wednesday
 ,"Snap, Crackle or Pop", April 10, 2013,ELF,False, Wednesday
 ,... Debra Winger (heard but not seen), April 10, 2013,ETPHONEHOME,False, Wednesday
 ,2001 Will Smith biopic, April 10, 2013,ALI,False, Wednesday
 ,Nautical hazard, April 10, 2013,SHOAL,False, Wednesday
 ,Victors' shout, April 10, 2013,WEWON,False, Wednesday
 ,Kinsey topic, April 10, 2013,SEX,False, Wednesday
 ,Adorable one, April 10, 2013,CUTIE,False, Wednesday
 ,Many a deli offering, April 10, 2013,SALAD,False, Wednesday
 ,"""Well, ___-di-dah!""", April 10, 2013,LAH,False, Wednesday
 ,Star pitcher, April 10, 2013,ACE,False, Wednesday
 ,Hammerfest's locale: Abbr., April 10, 2013,NOR,False, Wednesday
 ,Often-filled breakfast food, April 10, 2013,CREPE,False, Wednesday
 ,Come next, April 10, 2013,ENSUE,False, Wednesday
 ,Do penance, April 10, 2013,ATONE,False, Wednesday
 ,Maestro Zubin, April 10, 2013,MEHTA,False, Wednesday
 ,Like French doors, April 10, 2013,PANED,False, Wednesday
 ,Mantel piece, April 10, 2013,URN,False, Wednesday
 ,"""Gangnam Style"" rapper", April 10, 2013,PSY,False, Wednesday
 ,There was always a point to what he wrote, April 10, 2013,AESOP,False, Wednesday
 ,Like some attractions, April 10, 2013,FATAL,False, Wednesday
 ,Steamed, April 10, 2013,IRATE,False, Wednesday
 ,"President Bartlet of ""The West Wing""", April 10, 2013,JED,False, Wednesday
 ,"Mustard, for one: Abbr.", April 10, 2013,COL,False, Wednesday
 ,Mad magazine's Usual Gang of ___, April 10, 2013,IDIOTS,False, Wednesday
 ,"Barber who composed ""Adagio for Strings""", April 10, 2013,SAMUEL,False, Wednesday
 ,Some laureates, April 10, 2013,POETS,False, Wednesday
 ,"Pizza slice, often", April 10, 2013,EIGHTH,False, Wednesday
 ,___ visit (drops in), April 10, 2013,PAYSA,True, Wednesday
 ,Calder Cup rink org., April 10, 2013,AHL,False, Wednesday
 ,"What ""America's Got,"" on NBC", April 10, 2013,TALENT,False, Wednesday
 ,"Texter's ""As I see it ...""", April 10, 2013,IMHO,False, Wednesday
 ,Stink, April 10, 2013,REEK,False, Wednesday
 ,Martha a k a the Big Mouth, April 10, 2013,RAYE,False, Wednesday
 ,Rocker Gregg who married Cher, April 10, 2013,ALLMAN,False, Wednesday
 ,Alternative form of a gene, April 10, 2013,ALLELE,False, Wednesday
 ,Dappled horses, April 10, 2013,ROANS,False, Wednesday
 ,Shipboard crane, April 10, 2013,DAVIT,False, Wednesday
 ,Shoebox letters, April 10, 2013,EEE,False, Wednesday
 ,Tiny soldier, April 10, 2013,ANT,False, Wednesday
 ,Gray matter output, April 10, 2013,IDEAS,False, Wednesday
 ,2008 Pixar robot, April 10, 2013,WALLE,False, Wednesday
 ,Tack on, April 10, 2013,AFFIX,False, Wednesday
 ,"Baked, so to speak", April 10, 2013,ONPOT,False, Wednesday
 ,Religion founded in Persia, April 10, 2013,BAHAI,False, Wednesday
 ,Where to learn anglais, April 10, 2013,ECOLE,False, Wednesday
 ,"Philip of ""Kung Fu""", April 10, 2013,AHN,False, Wednesday
 ,Bygone theater chain, April 10, 2013,LOEWS,False, Wednesday
 ,"Milo of ""The Verdict""", April 10, 2013,OSHEA,False, Wednesday
 ,Key to the left of F1, April 10, 2013,ESC,False, Wednesday
 ,"Ascension Day, e.g.: Abbr.", April 10, 2013,THU,False, Wednesday
 ,Avian pal of Eeyore, April 10, 2013,OWL,False, Wednesday
 ,Extinct flightless bird, April 10, 2013,MOA,False, Wednesday
 ,The ___ [fittingly], April 10, 2013,END,False, Wednesday
 ,Sidewalk stand offerings, April 11, 2013,ADES,False, Thursday
 ,"Pin, say", April 11, 2013,ATTACH,False, Thursday
 ,Pale wood, April 11, 2013,ASH,False, Thursday
 ,"Ruler of Gallia and Britannia, once", April 11, 2013,ROMA,False, Thursday
 ,G.M.C. truck, April 11, 2013,SIERRA,False, Thursday
 ,Oven cleaner component, April 11, 2013,LYE,False, Thursday
 ,Not yet out of the running, April 11, 2013,INIT,False, Thursday
 ,"With 61-Across, some beachwear ... which literally can be found five times in this puzzle", April 11, 2013,WRAPAROUND,False, Thursday
 ,Passing remarks?, April 11, 2013,EULOGIES,False, Thursday
 ,Long-lasting living room illuminator, April 11, 2013,GASLOG,False, Thursday
 ,Squealer's place, April 11, 2013,STY,False, Thursday
 ,Judge's repeated cry, April 11, 2013,ORDER,False, Thursday
 ,Hue, April 11, 2013,SHADE,False, Thursday
 ,Vote, April 11, 2013,POLL,False, Thursday
 ,Mrs. Gorbachev, April 11, 2013,RAISA,False, Thursday
 ,Went off one's rocker?, April 11, 2013,STOOD,False, Thursday
 ,Greek consonants, April 11, 2013,PSIS,False, Thursday
 ,"Alternative to an ellipsis, maybe", April 11, 2013,ETC,False, Thursday
 ,Lose heart, April 11, 2013,DESPAIR,False, Thursday
 ,"""War and Peace"" heroine", April 11, 2013,NATASHA,False, Thursday
 ,Opposite of 31-Across, April 11, 2013,SAT,False, Thursday
 ,Digging too deep, April 11, 2013,NOSY,False, Thursday
 ,A lot, April 11, 2013,OFTEN,False, Thursday
 ,"Archie Bunker, e.g.", April 11, 2013,BIGOT,False, Thursday
 ,"Self-referential, in modern lingo", April 11, 2013,META,False, Thursday
 ,"James Woods's voice role in ""Hercules""", April 11, 2013,HADES,False, Thursday
 ,Like South Korea vis--vis North Korea, April 11, 2013,FREER,False, Thursday
 ,College degs., April 11, 2013,BAS,False, Thursday
 ,Compacts produced until 2004, April 11, 2013,ALEROS,False, Thursday
 ,"City with the slogan ""Step Into the Real Texas""", April 11, 2013,AMARILLO,False, Thursday
 ,See 18-Across, April 11, 2013,SUNGLASSES,False, Thursday
 ,Way of thinking, April 11, 2013,VIEW,False, Thursday
 ,"""I really didn't need to hear all that,"" in texts", April 11, 2013,TMI,False, Thursday
 ,Pump option, April 11, 2013,DIESEL,False, Thursday
 ,Villa d'___, April 11, 2013,ESTE,False, Thursday
 ,Suffix with govern, April 11, 2013,ESS,False, Thursday
 ,Queen of mystery, April 11, 2013,ELLERY,False, Thursday
 ,Sprat relative, April 11, 2013,SHAD,False, Thursday
 ,"Neighbor of Perseus, in the night sky", April 11, 2013,ARIES,False, Thursday
 ,Coffee go-with, April 11, 2013,DONUT,False, Thursday
 ,Adviser on dos and don'ts, April 11, 2013,EMILYPOST,False, Thursday
 ,1974 Peace Nobelist, April 11, 2013,SATO,False, Thursday
 ,Spiraling, April 11, 2013,ASWIRL,False, Thursday
 ,Spent, April 11, 2013,TIRED,False, Thursday
 ,Quick promos, April 11, 2013,TEASERS,False, Thursday
 ,Dada pioneer, April 11, 2013,ARP,False, Thursday
 ,Climber's handhold, April 11, 2013,CRAG,False, Thursday
 ,Hound, April 11, 2013,HARASS,False, Thursday
 ,"Gene Vincent's ""Be-Bop-___""", April 11, 2013,ALULA,False, Thursday
 ,Council of clergy, April 11, 2013,SYNOD,False, Thursday
 ,"Privacy provider, of a sort", April 11, 2013,HEDGE,False, Thursday
 ,Dept. of Labor division, April 11, 2013,OSHA,False, Thursday
 ,"""A Woman Called ___"" (Ingrid Bergman's final film)", April 11, 2013,GOLDA,False, Thursday
 ,Wet, April 11, 2013,RAINY,False, Thursday
 ,Alley ___, April 11, 2013,OOP,False, Thursday
 ,"""When ___ good time?""", April 11, 2013,ISA,False, Thursday
 ,Radical '60s org., April 11, 2013,SDS,False, Thursday
 ,Subject of a 1773 Act of Parliament, April 11, 2013,TEA,False, Thursday
 ,Trial print, April 11, 2013,PROOF,False, Thursday
 ,Form, April 11, 2013,ESTABLISH,False, Thursday
 ,"With 36-Down, jail, slangily", April 11, 2013,THE,False, Thursday
 ,See 35-Down, April 11, 2013,CAN,False, Thursday
 ,Suffix with govern, April 11, 2013,ING,False, Thursday
 ,"""___ is human ...""", April 11, 2013,TOERR,False, Thursday
 ,Away from the bow, April 11, 2013,AFT,False, Thursday
 ,Thringen thoroughfare, April 11, 2013,STRASSE,False, Thursday
 ,It may come off the shelf, April 11, 2013,BERG,False, Thursday
 ,Wagner opera heroine, April 11, 2013,ISOLDE,False, Thursday
 ,Insubstantial, April 11, 2013,MEASLY,False, Thursday
 ,Something you might make if you're behind schedule?, April 11, 2013,HASTE,False, Thursday
 ,Some reuners, April 11, 2013,ALUMS,False, Thursday
 ,Patron saint of France, April 11, 2013,DENIS,False, Thursday
 ,Arab sovereign: Var., April 11, 2013,EMEER,False, Thursday
 ,Prince Valiant's love, April 11, 2013,ALETA,False, Thursday
 ,Scattered, April 11, 2013,SOWED,False, Thursday
 ,Windmill arm, April 11, 2013,SAIL,False, Thursday
 ,Saint of a children's rhyme, April 11, 2013,IVES,False, Thursday
 ,Soissons seasoning, April 11, 2013,SEL,False, Thursday
 ,Org. founded by Dr. Nathan Smith Davis, April 17, 2013,AMA,False, Wednesday
 ,Rig part, April 17, 2013,CAB,False, Wednesday
 ,Orbital high point, April 17, 2013,APOGEE,False, Wednesday
 ,Minnesota neighbor, April 17, 2013,MANITOBA,False, Wednesday
 ,Triple-A ball and such, April 17, 2013,MINORS,False, Wednesday
 ,"Downloaded the new version, say", April 17, 2013,UPGRADED,False, Wednesday
 ,Last Oldsmobiles made, April 17, 2013,ALEROS,False, Wednesday
 ,Department store superevent, April 17, 2013,CLEARANCESALE,False, Wednesday
 ,"Russell of ""Felicity""", April 17, 2013,KERI,False, Wednesday
 ,Component of some bills, April 17, 2013,TAX,False, Wednesday
 ,Brett on the gridiron, April 17, 2013,FAVRE,False, Wednesday
 ,Went out with, April 17, 2013,SAW,False, Wednesday
 ,Reflexologist's place, April 17, 2013,SPA,False, Wednesday
 ,Items thrown in Three Stooges shorts, April 17, 2013,PIES,False, Wednesday
 ,Like photographable copy, April 17, 2013,CAMERAREADY,True, Wednesday
 ,E.P.A.-banned substance, April 17, 2013,DDT,False, Wednesday
 ,"""So that's it!""", April 17, 2013,OHO,False, Wednesday
 ,Words from Wordsworth, April 17, 2013,ODE,False, Wednesday
 ,Italian III, April 17, 2013,TRE,False, Wednesday
 ,Big stink, April 17, 2013,ADO,False, Wednesday
 ,Title for King or Jackson: Abbr., April 17, 2013,REV,False, Wednesday
 ,Part of a stack at a bank, April 17, 2013,DEPOSITSLIP,False, Wednesday
 ,Settled up, April 17, 2013,PAID,False, Wednesday
 ,Smidge, April 17, 2013,DAB,False, Wednesday
 ,"More, musically", April 17, 2013,PIU,False, Wednesday
 ,Floor it, April 17, 2013,SPEED,False, Wednesday
 ,Early second-century year, April 17, 2013,CVI,False, Wednesday
 ,"Richie's mom, to the Fonz", April 17, 2013,MRSC,False, Wednesday
 ,"""These allegations are completely false!,"" e.g.", April 17, 2013,BLANKETDENIAL,True, Wednesday
 ,Three-time title role for Matt Damon, April 17, 2013,BOURNE,False, Wednesday
 ,"Zimbabwe, once", April 17, 2013,RHODESIA,False, Wednesday
 ,Reassuring postaccident remark, April 17, 2013,IMFINE,False, Wednesday
 ,"Mall cop's job ... or a word that can precede the starts of 19-, 32-, 43- and 58-Across", April 17, 2013,SECURITY,False, Wednesday
 ,Hoofing it, April 17, 2013,ONFOOT,False, Wednesday
 ,"""Yikes!""", April 17, 2013,EEK,False, Wednesday
 ,"Primes, e.g.: Abbr.", April 17, 2013,NOS,False, Wednesday
 ,In a frenzy, April 17, 2013,AMUCK,False, Wednesday
 ,Bat wood, April 17, 2013,MAPLE,False, Wednesday
 ,Management course topic, April 17, 2013,ANGER,False, Wednesday
 ,Musical ending, April 17, 2013,CODA,False, Wednesday
 ,Has ___ for (is naturally skilled at), April 17, 2013,ABENT,False, Wednesday
 ,"Extreme form, as of an illness", April 17, 2013,BADCASE,False, Wednesday
 ,Second of a Latin 101 trio, April 17, 2013,AMAS,False, Wednesday
 ,Rice dish, April 17, 2013,PILAF,False, Wednesday
 ,"400 meters, maybe", April 17, 2013,ONELAP,False, Wednesday
 ,"""1876"" novelist", April 17, 2013,GOREVIDAL,False, Wednesday
 ,Ranch addition?, April 17, 2013,ERO,False, Wednesday
 ,Slalom figure, April 17, 2013,ESS,False, Wednesday
 ,Bluffer's declaration, April 17, 2013,IRAISE,False, Wednesday
 ,Roofer's material, April 17, 2013,TAR,False, Wednesday
 ,"Some Yanks in Paris, e.g.", April 17, 2013,EXPATS,False, Wednesday
 ,___-wip (dessert topping), April 17, 2013,REDDI,False, Wednesday
 ,"Bar, legally", April 17, 2013,ESTOP,False, Wednesday
 ,"Youngest 600-homer man, informally", April 17, 2013,AROD,False, Wednesday
 ,Got one's feet wet?, April 17, 2013,WADED,False, Wednesday
 ,Sopping wet, April 17, 2013,ADRIP,False, Wednesday
 ,U.S.M.C. part, April 17, 2013,CORPS,False, Wednesday
 ,Oodles, April 17, 2013,AHEAP,False, Wednesday
 ,Cinephile, April 17, 2013,MOVIEBUFF,True, Wednesday
 ,"Prepare to fly home from vacation, say", April 17, 2013,REPACK,False, Wednesday
 ,Himalayan legend, April 17, 2013,YETI,False, Wednesday
 ,"""Heads,"" to a numismatist", April 17, 2013,OBVERSE,False, Wednesday
 ,Gordon ___ (Sting's real name), April 17, 2013,SUMNER,False, Wednesday
 ,Texas border city, April 17, 2013,DELRIO,False, Wednesday
 ,"""Hawaii Five-O"" nickname", April 17, 2013,DANNO,False, Wednesday
 ,"""... ___ wed""", April 17, 2013,ITHEE,False, Wednesday
 ,"""Mr. Mojo ___"" (repeated Doors lyric)", April 17, 2013,RISIN,False, Wednesday
 ,"Japanese colonel in ""The Bridge on the River Kwai""", April 17, 2013,SAITO,False, Wednesday
 ,Potters' supplies, April 17, 2013,CLAYS,False, Wednesday
 ,Classic depilatory brand, April 17, 2013,NEET,False, Wednesday
 ,Tie up at harbor, April 17, 2013,DOCK,False, Wednesday
 ,End of a professor's address?, April 17, 2013,EDU,False, Wednesday
 ,"Obit, essentially", April 17, 2013,BIO,False, Wednesday
 ,"Every, in an Rx", April 17, 2013,OMN,False, Wednesday
"""MY TREAT""",Parrot, April 14, 2013,ECHO,False, Sunday
"""MY TREAT""",Jumping-on-a-mattress sound, April 14, 2013,BOING,False, Sunday
"""MY TREAT""",What hist. and econ. majors get, April 14, 2013,BAS,False, Sunday
"""MY TREAT""",Pel's given name, April 14, 2013,EDSON,False, Sunday
"""MY TREAT""","Jesus, for one", April 14, 2013,ALOU,False, Sunday
"""MY TREAT""",Some navels, April 14, 2013,INNIES,False, Sunday
"""MY TREAT""",It starts every March in N.Y.C., April 14, 2013,EDT,False, Sunday
"""MY TREAT""",New Age pianist, April 14, 2013,YANNI,False, Sunday
"""MY TREAT""","""Bummer!""", April 14, 2013,RATS,False, Sunday
"""MY TREAT""",One paying a flat rate, April 14, 2013,TENANT,False, Sunday
"""MY TREAT""",Mountain-climbing hazard, April 14, 2013,LOOSEROCK,False, Sunday
"""MY TREAT""",Actress Lorna, April 14, 2013,LUFT,False, Sunday
"""MY TREAT""",Contracted agreement, April 14, 2013,TIS,False, Sunday
"""MY TREAT""",No longer fit in, April 14, 2013,OUTGROW,False, Sunday
"""MY TREAT""","""Kitchy-___!""", April 14, 2013,KOO,False, Sunday
"""MY TREAT""",Lead-in to meter, April 14, 2013,ODO,False, Sunday
"""MY TREAT""",2012 film title character who was computer-generated, April 14, 2013,TED,False, Sunday
"""MY TREAT""",Italian Renaissance composer Giovanni, April 14, 2013,GABRIELI,True, Sunday
"""MY TREAT""",Provoke, April 14, 2013,SPUR,False, Sunday
"""MY TREAT""",It's high in West Africa, April 14, 2013,BIRTHRATE,False, Sunday
"""MY TREAT""",Some rechargeables, April 14, 2013,AAS,False, Sunday
"""MY TREAT""",Worldly figure?, April 14, 2013,SPHERE,False, Sunday
"""MY TREAT""",Odor-___, April 14, 2013,EATERS,False, Sunday
"""MY TREAT""",Naval flier, April 14, 2013,ENSIGN,False, Sunday
"""MY TREAT""","Reach, as new heights", April 14, 2013,SOARTO,False, Sunday
"""MY TREAT""","Sufficient, in ""Macbeth""", April 14, 2013,ENOW,False, Sunday
"""MY TREAT""",Other-worldly?, April 14, 2013,EXOTIC,False, Sunday
"""MY TREAT""",Govt. agent, April 14, 2013,FED,False, Sunday
"""MY TREAT""",Surveillance org., April 14, 2013,CIA,False, Sunday
"""MY TREAT""","Join, in a way", April 14, 2013,WELD,False, Sunday
"""MY TREAT""",Lasagna cheese, April 14, 2013,RICOTTA,False, Sunday
"""MY TREAT""","""Love Me, I'm a Liberal"" singer", April 14, 2013,OCHS,False, Sunday
"""MY TREAT""",Party org., April 14, 2013,DNC,False, Sunday
"""MY TREAT""","""The Matrix"" hero", April 14, 2013,NEO,False, Sunday
"""MY TREAT""",Lb. and oz., April 14, 2013,WTS,False, Sunday
"""MY TREAT""",Linguist Chomsky, April 14, 2013,NOAM,False, Sunday
"""MY TREAT""","""Say that again?""", April 14, 2013,WHAT,False, Sunday
"""MY TREAT""",Chicago mayor Emanuel, April 14, 2013,RAHM,False, Sunday
"""MY TREAT""",Sitting area?, April 14, 2013,TUSH,False, Sunday
"""MY TREAT""",Broadway title role for Audrey Hepburn, April 14, 2013,GIGI,False, Sunday
"""MY TREAT""",TriBeCa neighbor, April 14, 2013,SOHO,False, Sunday
"""MY TREAT""","""The ___ Love"" (R.E.M. hit)", April 14, 2013,ONEI,False, Sunday
"""MY TREAT""","""Of course, seor!""", April 14, 2013,SISI,False, Sunday
"""MY TREAT""",___ Balls (bygone snack cakes), April 14, 2013,SNO,False, Sunday
"""MY TREAT""",Sevilla cheer, April 14, 2013,OLE,False, Sunday
"""MY TREAT""",Topper, April 14, 2013,CAP,False, Sunday
"""MY TREAT""",Blackbird, April 14, 2013,MERL,False, Sunday
"""MY TREAT""",Archer's wood source, April 14, 2013,YEWTREE,False, Sunday
"""MY TREAT""",Panther figurine material, April 14, 2013,ONYX,False, Sunday
"""MY TREAT""",51-Across forerunner, April 14, 2013,OSS,False, Sunday
"""MY TREAT""",Carrier to Amsterdam, April 14, 2013,KLM,False, Sunday
"""MY TREAT""",More spine-tingling, April 14, 2013,EERIER,False, Sunday
"""MY TREAT""",OPEC nation currency, April 14, 2013,RIAL,False, Sunday
"""MY TREAT""",Circus tent, April 14, 2013,BIGTOP,False, Sunday
"""MY TREAT""","Burns in the kitchen, maybe", April 14, 2013,SCALDS,False, Sunday
"""MY TREAT""",Pontiac's tribe, April 14, 2013,OTTAWA,False, Sunday
"""MY TREAT""","""I know the answer!""", April 14, 2013,OHOHOH,False, Sunday
"""MY TREAT""",Writer Santha Rama ___, April 14, 2013,RAU,False, Sunday
"""MY TREAT""","Response to ""I promise I will""", April 14, 2013,YOUBETTER,False, Sunday
"""MY TREAT""",Words of denial, April 14, 2013,NOTI,False, Sunday
"""MY TREAT""",Where cruisers cruise, April 14, 2013,OPENSEAS,False, Sunday
"""MY TREAT""",Free, April 14, 2013,RID,False, Sunday
"""MY TREAT""",Pkg. insert, April 14, 2013,ENC,False, Sunday
"""MY TREAT""",Phone pad letters, April 14, 2013,PRS,False, Sunday
"""MY TREAT""",Pushy types?, April 14, 2013,NUDGERS,False, Sunday
"""MY TREAT""",Dutch painter Vermeer, April 14, 2013,JAN,False, Sunday
"""MY TREAT""",Collection of Norse tales, April 14, 2013,EDDA,False, Sunday
"""MY TREAT""",Aunt of 1960s TV, April 14, 2013,BEETAYLOR,True, Sunday
"""MY TREAT""",Knitter's stash, April 14, 2013,SKEINS,False, Sunday
"""MY TREAT""",Dry as a bone, April 14, 2013,ARID,False, Sunday
"""MY TREAT""","""The pleasure ___ mine""", April 14, 2013,ISALL,False, Sunday
"""MY TREAT""",Fragrant necklace, April 14, 2013,LEI,False, Sunday
"""MY TREAT""",Estevez of Hollywood, April 14, 2013,EMILIO,False, Sunday
"""MY TREAT""",Rice-A-___, April 14, 2013,RONI,False, Sunday
"""MY TREAT""",Apartment rental sign, April 14, 2013,TOLET,False, Sunday
"""MY TREAT""",Benefits agcy., April 14, 2013,SSA,False, Sunday
"""MY TREAT""","""They are,"" in Spanish class", April 14, 2013,ESTAN,False, Sunday
"""MY TREAT""",Org. for some good drivers, April 14, 2013,LPGA,False, Sunday
"""MY TREAT""",Ring site, April 14, 2013,EARLOBE,False, Sunday
"""MY TREAT""",Lady Bird Johnson's real first name, April 14, 2013,CLAUDIA,False, Sunday
"""MY TREAT""","1984 ""educational"" Van Halen song", April 14, 2013,HOTFORTEACHER,True, Sunday
"""MY TREAT""",Bump, April 14, 2013,OUST,False, Sunday
"""MY TREAT""",1998 Grammy-nominated song by the Verve, April 14, 2013,BITTERSWEETSYMPHONY,True, Sunday
"""MY TREAT""",New York native, April 14, 2013,ONEIDA,False, Sunday
"""MY TREAT""",Quaint stopovers, April 14, 2013,INNS,False, Sunday
