title,clue,date,year,answer,unique,day
 ,Flower stalk, August 25, 2014,STEM,False, Monday
 ,"Secy., e.g.", August 25, 2014,ASST,False, Monday
 ,Blue Ribbon brewer, August 25, 2014,PABST,False, Monday
 ,Pledge drive bag, August 25, 2014,TOTE,False, Monday
 ,Sport with mallets, August 25, 2014,POLO,False, Monday
 ,Mail carrier's rounds, August 25, 2014,ROUTE,False, Monday
 ,Baja's opposite, August 25, 2014,ALTA,False, Monday
 ,Univ. instructor, August 25, 2014,PROF,False, Monday
 ,St. ___ fire, August 25, 2014,ELMOS,False, Monday
 ,Muzzle-loading firearm, August 25, 2014,BLUNDERBUSS,False, Monday
 ,"Sandwich with toasted bread, for short", August 25, 2014,BLT,False, Monday
 ,Surgical instrument holders, August 25, 2014,TRAYS,False, Monday
 ,Lipton alternative, August 25, 2014,TETLEY,False, Monday
 ,Lemon-peeling utensil, August 25, 2014,ZESTER,False, Monday
 ,All wound up, August 25, 2014,TENSE,False, Monday
 ,"Following behind, as a trailer", August 25, 2014,INTOW,False, Monday
 ,Rec room feature, August 25, 2014,GAMETABLE,False, Monday
 ,Sch. in Lower Manhattan, August 25, 2014,NYU,False, Monday
 ,"""Oops!""", August 25, 2014,MYBAD,False, Monday
 ,"""All you can ___""", August 25, 2014,EAT,False, Monday
 ,TV news employee, August 25, 2014,CAMERAMAN,False, Monday
 ,Topple, August 25, 2014,UPEND,False, Monday
 ,Smiles proudly, August 25, 2014,BEAMS,False, Monday
 ,New moon and full moon, August 25, 2014,PHASES,False, Monday
 ,Self-confidence, August 25, 2014,APLOMB,False, Monday
 ,All-American Soap Box Derby city, August 25, 2014,AKRON,False, Monday
 ,"""The dog ate my homework,"" probably", August 25, 2014,LIE,False, Monday
 ,Promotional ballpark giveaways, August 25, 2014,BOBBLEHEADS,True, Monday
 ,Site for washing instructions, August 25, 2014,LABEL,False, Monday
 ,Burden, August 25, 2014,ONUS,False, Monday
 ,Roof problem, August 25, 2014,LEAK,False, Monday
 ,"Occupied, as a restroom", August 25, 2014,INUSE,False, Monday
 ,Riga resident, August 25, 2014,LETT,False, Monday
 ,"The ""E"" in HOMES", August 25, 2014,ERIE,False, Monday
 ,Wanderer, August 25, 2014,NOMAD,False, Monday
 ,Rice-shaped pasta, August 25, 2014,ORZO,False, Monday
 ,Medicinal amount, August 25, 2014,DOSE,False, Monday
 ,Knife wound, August 25, 2014,STAB,False, Monday
 ,"Ring, as a bell in a steeple", August 25, 2014,TOLL,False, Monday
 ,"""___, Brute?""", August 25, 2014,ETTU,False, Monday
 ,Had it in mind, August 25, 2014,MEANTTO,False, Monday
 ,Show up, August 25, 2014,APPEAR,False, Monday
 ,"""Oops!""", August 25, 2014,SORRY,False, Monday
 ,Unpopular roommates, August 25, 2014,SLOBS,False, Monday
 ,Bean curd, August 25, 2014,TOFU,False, Monday
 ,Birthday party staple, August 25, 2014,PRESENT,False, Monday
 ,"""You've got mail!"" company", August 25, 2014,AOL,False, Monday
 ,Big pollinators, August 25, 2014,BUMBLEBEES,False, Monday
 ,"Embezzled, e.g.", August 25, 2014,STOLE,False, Monday
 ,Short-tempered, August 25, 2014,TESTY,False, Monday
 ,Took from a card deck, August 25, 2014,DREW,False, Monday
 ,Jouster's mount, August 25, 2014,STEED,False, Monday
 ,Screener's org., August 25, 2014,TSA,False, Monday
 ,___ oxide (beachgoer's protection), August 25, 2014,ZINC,False, Monday
 ,New Age star from Ireland, August 25, 2014,ENYA,False, Monday
 ,Second-rate prizefighter, August 25, 2014,STUMBLEBUM,False, Monday
 ,"Federal tax enforcer, informally", August 25, 2014,TMAN,False, Monday
 ,"""Y"" facilities", August 25, 2014,GYMS,False, Monday
 ,Litigator's org., August 25, 2014,ABA,False, Monday
 ,Lois at the Daily Planet, August 25, 2014,LANE,False, Monday
 ,"Gate expectations, for short?", August 25, 2014,ETDS,False, Monday
 ,Sensual ballroom dance, August 25, 2014,MAMBO,False, Monday
 ,Fair-hiring inits., August 25, 2014,EEO,False, Monday
 ,Talked pointlessly, August 25, 2014,RAMBLED,False, Monday
 ,"""I'm in trouble now!""", August 25, 2014,UHOH,False, Monday
 ,Like the walls of many dens, August 25, 2014,PANELED,False, Monday
 ,Magician's cry, August 25, 2014,PRESTO,False, Monday
 ,How a daring poker player goes, August 25, 2014,ALLIN,False, Monday
 ,Instrument for Lady Gaga, August 25, 2014,PIANO,False, Monday
 ,Doubleday of baseball lore, August 25, 2014,ABNER,False, Monday
 ,"One who might cry ""Oops!""", August 25, 2014,KLUTZ,False, Monday
 ,Shoestring necktie, August 25, 2014,BOLO,False, Monday
 ,Prefix with dynamic, August 25, 2014,AERO,False, Monday
 ,Locale for a speaker and honorees, August 25, 2014,DAIS,False, Monday
 ,___-Ball, August 25, 2014,SKEE,False, Monday
 ,"Spanish ""that""", August 25, 2014,ESA,False, Monday
SITTIN' SOLVE,Word after say or now, August 17, 2014,WHAT,False, Sunday
SITTIN' SOLVE,"Initiator of a probe, maybe", August 17, 2014,NASA,False, Sunday
SITTIN' SOLVE,Mop, August 17, 2014,SWAB,False, Sunday
SITTIN' SOLVE,"Something five-star hotels provide, informally", August 17, 2014,TLC,False, Sunday
SITTIN' SOLVE,Detective Vance, August 17, 2014,PHILO,False, Sunday
