title,clue,date,year,answer,unique,day
 ,Good ol' boy, December 18, 2013,BUBBA,False, Wednesday
 ,Airport security worker's device, December 18, 2013,WAND,False, Wednesday
 ,"Black, to a bard", December 18, 2013,EBON,False, Wednesday
 ,Composer Copland, December 18, 2013,AARON,False, Wednesday
 ,Outermost Aleutian island, December 18, 2013,ATTU,False, Wednesday
 ,Went like heck, December 18, 2013,TORE,False, Wednesday
 ,Plaque from a governor?, December 18, 2013,AWARDOFTHESTATE,True, Wednesday
 ,"Dredge, say", December 18, 2013,DEEPEN,False, Wednesday
 ,Can't deal with, December 18, 2013,HATES,False, Wednesday
 ,"""Downton Abbey"" airer", December 18, 2013,PBS,False, Wednesday
 ,Title for U2's Bono, December 18, 2013,SIR,False, Wednesday
 ,Brit. military honor, December 18, 2013,DSO,False, Wednesday
 ,Psych 101 topic, December 18, 2013,EGO,False, Wednesday
 ,Sounds from saunas, December 18, 2013,AAHS,False, Wednesday
 ,It's tested in a fire drill, December 18, 2013,ESCAPEPLAN,True, Wednesday
 ,"Blob, e.g.", December 18, 2013,SHAPE,False, Wednesday
 ,Phrase before a future date, December 18, 2013,USEBY,False, Wednesday
 ,Mime's motto?, December 18, 2013,AWAYWITHWORDS,True, Wednesday
 ,"Machine that ""nothing runs like""", December 18, 2013,DEERE,False, Wednesday
 ,Certain dupe, December 18, 2013,XEROX,False, Wednesday
 ,"""Something is rotten in Denmark""", December 18, 2013,ISMELLARAT,False, Wednesday
 ,Drought-ridden, December 18, 2013,SERE,False, Wednesday
 ,"What Charlie rides, in a 1959 hit", December 18, 2013,MTA,False, Wednesday
 ,Capp and Capone, December 18, 2013,ALS,False, Wednesday
 ,"Double-decker, e.g.", December 18, 2013,BUS,False, Wednesday
 ,Municipal grid: Abbr., December 18, 2013,STS,False, Wednesday
 ,Trims, December 18, 2013,PARES,False, Wednesday
 ,Targets of sutures, December 18, 2013,GASHES,False, Wednesday
