entry_type,year,part_of_speech,word,month
new word entry,2014, n.4,case,September
new word entry,2014, adv. and adj.,case-by-case,September
new word entry,2014, adj.2,caseless,September
new word entry,2014, n.,caseness,September
new word entry,2014, n.1,caseworker,September
new word entry,2014, adj. and n.,contrafactive,September
new word entry,2014, adj.,daiwhomly,September
new word entry,2014, adv.,daiwhomly,September
new word entry,2014, n.,dayglow,September
new word entry,2014, n.,Dayton,September
new word entry,2014, n.,dayworker,September
new word entry,2014, n.,fact check,September
new word entry,2014, n.,fact find,September
new word entry,2014, v.,fact-check,September
new word entry,2014, n.,fact-checker,September
new word entry,2014, adj.,fact-checking,September
new word entry,2014, n.,fact-checking,September
new word entry,2014, adj.2,factional,September
new word entry,2014, adj.,factless,September
new word entry,2014, adj.,factorizable,September
new word entry,2014, v.,first foot,September
new word entry,2014, n. and adj.,first string,September
new word entry,2014, adj. and adv.,first-handed,September
new word entry,2014, n.2,firsting,September
new word entry,2014, adj.,grossing,September
new word entry,2014, n. and adj.,haut bourgeois,September
new word entry,2014, adj. and n.,high Arctic,September
new word entry,2014, adj. and n.,high brown,September
new word entry,2014, n.,high centre | high center,September
new word entry,2014, n.,High Churchwoman,September
new word entry,2014, n.,High Dutchman,September
new word entry,2014, n.,high jumping,September
new word entry,2014, n.,High Kirk,September
new word entry,2014, n.,high living,September
new word entry,2014, n.,high muckety-muck,September
new word entry,2014, n.,high stick,September
new word entry,2014, n. and adj.,high voltage,September
new word entry,2014, adj. and n.,high wheel,September
new word entry,2014, v.,high-centre | high-center,September
new word entry,2014, adj.,high-centred | high-centered,September
new word entry,2014, n.,high-centring | high-centering,September
new word entry,2014, n. and adj.,higher class,September
new word entry,2014, n.,higher ground,September
new word entry,2014, adj.,high-fiving,September
new word entry,2014, n.,high-fiving,September
new word entry,2014, adj. and n.,high-full,September
new word entry,2014, adj.1,high-graded,September
new word entry,2014, n.,Highland woman,September
new word entry,2014, adj.,high-living,September
new word entry,2014, n.,high-rider,September
new word entry,2014, adj.,high-riding,September
new word entry,2014, adj.,high-rolling,September
new word entry,2014, n.,highside,September
new word entry,2014, v.,highside,September
new word entry,2014, v.,high-stick,September
new word entry,2014, n.,last call,September
new word entry,2014, n.1,lasting,September
new word entry,2014, n.,Little Bear,September
new word entry,2014, n.,little folk,September
new word entry,2014, n. and adj.,little leaf,September
new word entry,2014, adj. and n.,low Arctic,September
new word entry,2014, n.,lowside,September
new word entry,2014, v.,lowside,September
new word entry,2014, n.,osha,September
new word entry,2014, adj.,oxytonous,September
new word entry,2014, n.,Red Army Fraction,September
new word entry,2014, n. and adj.,upper working class,September
new word entry,2014, adv. and adj.,week by week,September
new word entry,2014, adv.,weekdays,September
new word entry,2014, adv.,weekends,September
new word entry,2014, adv.,weeknights,September
new word entry,2014, n.,workaround,September
new word entry,2014, n.,workerism,September
new word entry,2014, n.,working paper,September
new word entry,2014, n.,workprint,September
new word entry,2014, adj.,wroughted,September
new word entry,2014, adv. and adj.,year over year,September
new word entry,2014, adv.,yernfully,September
new sub-entry,2014, n.4,case,September
new sub-entry,2014, adv. and adj.,case-by-case,September
new sub-entry,2014, adj.2,caseless,September
new sub-entry,2014, n.,caseness,September
new sub-entry,2014, n.1,caseworker,September
new sub-entry,2014, adj. and n.,contrafactive,September
new sub-entry,2014, adj.,daiwhomly,September
new sub-entry,2014, adv.,daiwhomly,September
new sub-entry,2014, n.,dayglow,September
new sub-entry,2014, n.,Dayton,September
new sub-entry,2014, n.,dayworker,September
new sub-entry,2014, n.,fact check,September
new sub-entry,2014, n.,fact find,September
new sub-entry,2014, v.,fact-check,September
new sub-entry,2014, n.,fact-checker,September
new sub-entry,2014, adj.,fact-checking,September
new sub-entry,2014, n.,fact-checking,September
new sub-entry,2014, adj.2,factional,September
new sub-entry,2014, adj.,factless,September
new sub-entry,2014, adj.,factorizable,September
new sub-entry,2014, v.,first foot,September
new sub-entry,2014, n. and adj.,first string,September
new sub-entry,2014, adj. and adv.,first-handed,September
new sub-entry,2014, n.2,firsting,September
new sub-entry,2014, adj.,grossing,September
new sub-entry,2014, n. and adj.,haut bourgeois,September
new sub-entry,2014, adj. and n.,high Arctic,September
new sub-entry,2014, adj. and n.,high brown,September
new sub-entry,2014, n.,high centre | high center,September
new sub-entry,2014, n.,High Churchwoman,September
new sub-entry,2014, n.,High Dutchman,September
new sub-entry,2014, n.,high jumping,September
new sub-entry,2014, n.,High Kirk,September
new sub-entry,2014, n.,high living,September
new sub-entry,2014, n.,high muckety-muck,September
new sub-entry,2014, n.,high stick,September
new sub-entry,2014, n. and adj.,high voltage,September
new sub-entry,2014, adj. and n.,high wheel,September
new sub-entry,2014, v.,high-centre | high-center,September
new sub-entry,2014, adj.,high-centred | high-centered,September
new sub-entry,2014, n.,high-centring | high-centering,September
new sub-entry,2014, n. and adj.,higher class,September
new sub-entry,2014, n.,higher ground,September
new sub-entry,2014, adj.,high-fiving,September
new sub-entry,2014, n.,high-fiving,September
new sub-entry,2014, adj. and n.,high-full,September
new sub-entry,2014, adj.1,high-graded,September
new sub-entry,2014, n.,Highland woman,September
new sub-entry,2014, adj.,high-living,September
new sub-entry,2014, n.,high-rider,September
new sub-entry,2014, adj.,high-riding,September
new sub-entry,2014, adj.,high-rolling,September
new sub-entry,2014, n.,highside,September
new sub-entry,2014, v.,highside,September
new sub-entry,2014, v.,high-stick,September
new sub-entry,2014, n.,last call,September
new sub-entry,2014, n.1,lasting,September
new sub-entry,2014, n.,Little Bear,September
new sub-entry,2014, n.,little folk,September
new sub-entry,2014, n. and adj.,little leaf,September
new sub-entry,2014, adj. and n.,low Arctic,September
new sub-entry,2014, n.,lowside,September
new sub-entry,2014, v.,lowside,September
new sub-entry,2014, n.,osha,September
new sub-entry,2014, adj.,oxytonous,September
new sub-entry,2014, n.,Red Army Fraction,September
new sub-entry,2014, n. and adj.,upper working class,September
new sub-entry,2014, adv. and adj.,week by week,September
