title,clue,date,year,answer,unique,day
 ,Sticks (out), April 29, 2014,JUTS,False, Tuesday
 ,Cocoon contents, April 29, 2014,PUPA,False, Tuesday
 ,More balanced, April 29, 2014,SANER,False, Tuesday
 ,Man's Brest friend?, April 29, 2014,AMIE,False, Tuesday
 ,Atop, April 29, 2014,UPON,False, Tuesday
 ,In ___ (unborn), April 29, 2014,UTERO,False, Tuesday
 ,Agatha Christie title, April 29, 2014,DAME,False, Tuesday
 ,"""Parade ___!""", April 29, 2014,REST,False, Tuesday
 ,Inexperienced in, April 29, 2014,NEWAT,False, Tuesday
 ,Ones coming into view, April 29, 2014,EMERGENTS,False, Tuesday
 ,Trash, April 29, 2014,WASTE,False, Tuesday
 ,Trash, April 29, 2014,DIS,False, Tuesday
 ,2014 TV retiree, April 29, 2014,LENO,False, Tuesday
 ,Splendor, April 29, 2014,POMP,False, Tuesday
 ,"___ Ski Valley, N.M.", April 29, 2014,TAOS,False, Tuesday
 ,Jamie of old TV, April 29, 2014,FARR,False, Tuesday
 ,___ carte, April 29, 2014,ALA,False, Tuesday
 ,Brand in a bathroom cabinet, April 29, 2014,ORALB,False, Tuesday
 ,Big dos, April 29, 2014,AFROS,False, Tuesday
 ,Wrinkly-faced dog, April 29, 2014,PUG,False, Tuesday
 ,Russian money, April 29, 2014,RUBLE,False, Tuesday
 ,"Fell for an April fool, say", April 29, 2014,BIT,False, Tuesday
 ,Prefix with glyphic, April 29, 2014,HIERO,False, Tuesday
 ,"Unagi, in sushi", April 29, 2014,EEL,False, Tuesday
 ,Stay in the fight?, April 29, 2014,TRUCE,False, Tuesday
 ,Kind of verb: Abbr., April 29, 2014,IRREG,False, Tuesday
 ,Suffix with verb-, April 29, 2014,OSE,False, Tuesday
 ,"Miles per hour, e.g.", April 29, 2014,RATE,False, Tuesday
 ,Indonesia joined it in 1962 ... and left in 2008, April 29, 2014,OPEC,False, Tuesday
 ,Be too sweet, April 29, 2014,CLOY,False, Tuesday
 ,Auger, April 29, 2014,BORE,False, Tuesday
