title,clue,date,year,answer,unique,day
 ,Word after which a parent might interrupt a child, August 12, 2015,BUT,False, Wednesday
 ,"Peter Parker's aunt in ""Spider-Man""", August 12, 2015,MAY,False, Wednesday
 ,Branchlet, August 12, 2015,TWIG,False, Wednesday
 ,Grimy abode, August 12, 2015,STY,False, Wednesday
 ,Card game call, August 12, 2015,UNO,False, Wednesday
 ,"""Rules ___ rules""", August 12, 2015,ARE,False, Wednesday
 ,"""Not that!""", August 12, 2015,OHNO,False, Wednesday
 ,"Before, in poetry", August 12, 2015,ERE,False, Wednesday
 ,"Turntable measure, in brief", August 12, 2015,RPM,False, Wednesday
 ,"Wifey, with ""the""", August 12, 2015,MRS,False, Wednesday
 ,Scaly anteater, August 12, 2015,PANGOLIN,False, Wednesday
 ,Unpleasant atmosphere, August 12, 2015,MIASMA,False, Wednesday
 ,Leaves in a hurry, August 12, 2015,JETSOFF,True, Wednesday
 ,Subject-changing word, August 12, 2015,ANYWAY,False, Wednesday
 ,Letters on a wanted sign, August 12, 2015,AKA,False, Wednesday
 ,Cartoonist's work, August 12, 2015,STRIP,False, Wednesday
 ,"Curry of ""The Rocky Horror Picture Show""", August 12, 2015,TIM,False, Wednesday
 ,The Wizard of ___ (nickname of Warren Buffett), August 12, 2015,OMAHA,False, Wednesday
 ,Org. whose resources partly go to waste?, August 12, 2015,EPA,False, Wednesday
 ,Adjective for North Korean leader Kim Jong-un, August 12, 2015,GLORIOUS,False, Wednesday
 ,Picks, August 12, 2015,OPTSFOR,False, Wednesday
 ,Stay longer than, August 12, 2015,OUTLAST,False, Wednesday
 ,Points of entry, August 12, 2015,TOEHOLDS,False, Wednesday
 ,Southeast Asian language, August 12, 2015,LAO,False, Wednesday
 ,Be there for, August 12, 2015,AWAIT,False, Wednesday
 ,Tankard contents, August 12, 2015,ALE,False, Wednesday
 ,Was furious, August 12, 2015,FUMED,False, Wednesday
 ,"""___ bite""", August 12, 2015,ILL,False, Wednesday
 ,"Something just under one's nose, slangily", August 12, 2015,STACHE,True, Wednesday
 ,Not much, August 12, 2015,ALITTLE,False, Wednesday
 ,___ sauce, August 12, 2015,TARTAR,False, Wednesday
 ,Fish also known as a dorado, August 12, 2015,MAHIMAHI,False, Wednesday
 ,Big mouth, August 12, 2015,MAW,False, Wednesday
 ,"Glass of ""This American Life""", August 12, 2015,IRA,False, Wednesday
 ,Have a part, August 12, 2015,ACT,False, Wednesday
 ,City of NW Pennsylvania, August 12, 2015,ERIE,False, Wednesday
 ,15-Across backward, August 12, 2015,ERA,False, Wednesday
 ,Roman equivalent of Rhea, August 12, 2015,OPS,False, Wednesday
 ,Classical start?, August 12, 2015,NEO,False, Wednesday
 ,Match makeup, August 12, 2015,SETS,False, Wednesday
 ,Encouraging word, August 12, 2015,TRY,False, Wednesday
 ,Bill in a bow tie, August 12, 2015,NYE,False, Wednesday
 ,"""The Bridge on the River Kwai"" locale", August 12, 2015,BURMA,False, Wednesday
 ,"Remove from a bulletin board, say", August 12, 2015,UNPIN,False, Wednesday
 ,"*""Same difference""", August 12, 2015,TOMAYTOTOMAHTO,True, Wednesday
 ,"*Musical that includes the song ""Take a Chance on Me""", August 12, 2015,MAMMAMIA,False, Wednesday
 ,Panoply, August 12, 2015,ARRAY,False, Wednesday
 ,Encouraging word, August 12, 2015,YES,False, Wednesday
 ,19th-century Midwest rail hub, August 12, 2015,TOPEKA,False, Wednesday
 ,"*""That sure was funny!""", August 12, 2015,WHATAHOOT,True, Wednesday
 ,Overnight stops on the road, August 12, 2015,INNS,False, Wednesday
 ,"Group with the 1981 #1 album ""Beauty and the Beat""", August 12, 2015,GOGOS,False, Wednesday
 ,Activity on Lent or Yom Kippur ... or a quality of every letter in the answer to each starred clue, August 12, 2015,SELFREFLECTION,True, Wednesday
 ,Start for cycle, August 12, 2015,TRI,False, Wednesday
 ,Nikkei 225 unit, August 12, 2015,YEN,False, Wednesday
 ,Frequently, August 12, 2015,OFT,False, Wednesday
 ,Feature of a soft-serve ice cream cone, August 12, 2015,SWIRL,False, Wednesday
 ,Predicaments, August 12, 2015,JAMS,False, Wednesday
 ,Apple's ___ Touch, August 12, 2015,IPOD,False, Wednesday
 ,Some scores in 34-Down, August 12, 2015,PARS,False, Wednesday
 ,"*""Stop hemming and hawing!""", August 12, 2015,OUTWITHIT,True, Wednesday
 ,Copycat, August 12, 2015,APE,False, Wednesday
 ,See 29-Down, August 12, 2015,GOLF,False, Wednesday
 ,Party with poi, August 12, 2015,LUAU,False, Wednesday
 ,Spanish she-bear, August 12, 2015,OSA,False, Wednesday
 ,"*Where ""they went,"" in old westerns", August 12, 2015,THATAWAY,False, Wednesday
 ,___ power, August 12, 2015,SOLAR,False, Wednesday
 ,Bananagrams game piece, August 12, 2015,TILE,False, Wednesday
 ,Axis foe, August 12, 2015,ALLIES,False, Wednesday
 ,Giant Manning, August 12, 2015,ELI,False, Wednesday
 ,Smallest coins, August 12, 2015,DIMES,False, Wednesday
 ,Rock's All-___ Band, August 12, 2015,STARR,False, Wednesday
 ,Monster encountered by Aeneas, August 12, 2015,HARPY,False, Wednesday
 ,Wipe out, August 12, 2015,ERASE,False, Wednesday
 ,Scale deduction, August 12, 2015,TARE,False, Wednesday
 ,"""Wow!""", August 12, 2015,MAN,False, Wednesday
 ,Hotshot, August 12, 2015,ACE,False, Wednesday
 ,Came across, August 12, 2015,MET,False, Wednesday
 ,Thpeak like thith, August 4, 2015,LISP,False, Tuesday
 ,Word before cow or crop, August 4, 2015,CASH,False, Tuesday
 ,Mental mistake, August 4, 2015,LAPSE,False, Tuesday
 ,Dog food brand, August 4, 2015,ALPO,False, Tuesday
 ,European capital on a fjord, August 4, 2015,OSLO,False, Tuesday
 ,Lady friend in Italy, August 4, 2015,AMICA,False, Tuesday
 ,Sound of a high-five, August 4, 2015,SLAP,False, Tuesday
 ,No longer worth discussing, August 4, 2015,MOOT,False, Tuesday
 ,Laughs heartily, August 4, 2015,ROARS,False, Tuesday
 ,Bracketed word in a quote, August 4, 2015,SIC,False, Tuesday
 ,Fashionable shopping area in New York City, August 4, 2015,FIFTHAVENUE,False, Tuesday
 ,"""Just a moment""", August 4, 2015,ONESEC,False, Tuesday
