submit_date,down_votes,up_votes,meaning,date,phrase
" May 01, 2003",1612,1717,another word for tight,May 2,fye
" December 12, 2003",792,3728,forciby volunteered.  A task that was once voluntary has now been ordered to you.,Apr 11,voluntold
" February 05, 2010",592,1866,When you inadvertently reach for a beer that does not exist.Usually seen when sitting in your favorite chair while watching your favorite sport or tv show.,Apr 18,ghost beer
" March 26, 2017",2665,1993,Unapologetic un-PC alpha male conservative fan of Breitbart news,Mar 28,Breitbastard
" January 24, 2017",862,1676,To masturbate at work while on the clock.,May 1,Beat out a paycheck
" September 16, 2009",587,1259,"In college, one who stays in their room for countless hours on end without ever coming out until they grow long hair and toenails.",Apr 30,room hobbit
" July 09, 2013",843,3186,Slang for America/United States. Interchangeable with Merica.,Apr 29,'Murica
" October 19, 2012",1903,3214,(1) To flip-flop.(2) To black out.,Apr 10,Romnesia
" June 10, 2016",2051,2389,Someone who wears an obvious hairpiece.,Apr 9,TrumpStamp
" August 25, 2007",1114,2420,"A person who gets excited over other people's future or current purchases. Usually an enthusiastic shopper for themselves as well.Can also be used as an adjective and verb.",Apr 8,backseat buyer
" April 06, 2011",654,2048,"Someone who seriously overdoes it with the memes, and they're not even trying to troll. They're just annoying.",Apr 25,memewhore
" December 17, 2009",1171,1311,"when you have an extreme sugar high. way beyond a sugar buzz, and in the morning you usually wake up with a sugar hangover and can't look at another sugary food, (candy) for three days without wanting to throw up.",Apr 17,sugar orgasm
" December 07, 2006",1109,2440,"during intercourse, to hump as fast as you can, like it's a race to bust a nut.. as if you don't care about the other person, you're just here for you.",Apr 16,rabbit fuck
" November 01, 2016",2255,1908,"Stay Sexy, Dont Get Murdered",Apr 15,SSDGM
" October 19, 2015",883,3840,When a person dies while trying to take a selfie from a dangerous position or area.,Mar 27,Selfiecide
" April 05, 2013",7226,8342,"When a city or town specifically zones an area for ""adult"" businesses.",Mar 26,Jizzneyland
" March 23, 2017",2999,2537,A toilet bowl.,Mar 25,trump basket
" May 16, 2008",1544,3125,Excellent health care reserved exclusively for the wealthy.,Mar 24,wealth care
" March 20, 2017",958,2118,From the beginning.,Mar 21,from the giddy up
" February 10, 2009",3559,5055,"1. A new perjorative term for Wall Street executives who raked in huge bonuses while plunging the world into economic chaos. 2. A financial advisor who sells Wall Street products on commission.",Apr 4,Street Creep
" March 01, 2017",1467,1748,A form of armpit odour that resembles a combination of cheese and onion. Usually experienced after hard work or a hot day.,Mar 14,Chunion
"October 14, 2004",120,142,To persuade someone to your way of thinking via violent means.,"
May 9
",Learn
" September 09, 2007",1680,9028,"(adj.) being in a state in which one is utterly and completely unable to distinguish fact from fiction, and is thus obviously and undeniably full of shit.",Mar 7,reality challenged
