title,clue,date,year,answer,unique,day
 ,June honoree, December 11, 2012,DAD,False, Tuesday
 ,Mythical archer, December 11, 2012,CUPID,False, Tuesday
 ,Bon Ami competitor, December 11, 2012,COMET,False, Tuesday
 ,Notre Dame coach Parseghian, December 11, 2012,ARA,False, Tuesday
 ,Illusory pictures, December 11, 2012,OPART,False, Tuesday
 ,Licorice flavorer, December 11, 2012,ANISE,False, Tuesday
 ,Confession in a confessional, December 11, 2012,SIN,False, Tuesday
 ,Standards, December 11, 2012,NORMS,False, Tuesday
 ,Reasons to call an exterminator, December 11, 2012,PESTS,False, Tuesday
 ,Home that usually has a tile roof, December 11, 2012,HACIENDA,False, Tuesday
 ,Fighting ___ (Notre Dame team), December 11, 2012,IRISH,False, Tuesday
 ,Other side, December 11, 2012,ENEMY,False, Tuesday
 ,High-stepping horse, December 11, 2012,PRANCER,False, Tuesday
 ,Uncommon: Sp., December 11, 2012,RARO,False, Tuesday
 ,Professorship, December 11, 2012,CHAIR,False, Tuesday
 ,Western tribe, December 11, 2012,UTE,False, Tuesday
 ,Kind of music not known for its beat, December 11, 2012,NEWAGE,False, Tuesday
 ,Old-time actress Normand, December 11, 2012,MABEL,False, Tuesday
 ,Figure associated with eight answers in this puzzle, December 11, 2012,SAINTNICHOLAS,False, Tuesday
 ,Two ... two ... two mints in one, December 11, 2012,CERTS,False, Tuesday
 ,Sparkles, December 11, 2012,GLEAMS,False, Tuesday
 ,Former Mideast inits., December 11, 2012,UAR,False, Tuesday
 ,Loamy soil, December 11, 2012,LOESS,False, Tuesday
 ,Fusses, December 11, 2012,ADOS,False, Tuesday
 ,Flash: Ger., December 11, 2012,BLITZEN,False, Tuesday
 ,"Commercial prefix meaning ""thrifty""", December 11, 2012,ECONO,False, Tuesday
 ,Like some college walls, December 11, 2012,IVIED,False, Tuesday
 ,"Pale, light lager beer", December 11, 2012,PILSENER,False, Tuesday
 ,Bank department, December 11, 2012,LOANS,False, Tuesday
 ,Office missives, December 11, 2012,MEMOS,False, Tuesday
 ,"Annual hoops event, for short", December 11, 2012,NIT,False, Tuesday
 ,"Fjord, e.g.", December 11, 2012,INLET,False, Tuesday
 ,Swap, December 11, 2012,TRADE,False, Tuesday
 ,"Tokyo, once", December 11, 2012,EDO,False, Tuesday
 ,Part of many a college application, December 11, 2012,ESSAY,False, Tuesday
 ,Sexually attractive woman, December 11, 2012,VIXEN,False, Tuesday
 ,"Battle of Britain victor, for short", December 11, 2012,RAF,False, Tuesday
 ,"100-meter competitor, e.g.", December 11, 2012,DASHER,False, Tuesday
 ,Actress Grande, December 11, 2012,ARIANA,False, Tuesday
 ,Fred Astaire or Ginger Rogers, December 11, 2012,DANCER,False, Tuesday
 ,New York's ___ Island, December 11, 2012,CONEY,False, Tuesday
 ,Well versed in, December 11, 2012,UPON,False, Tuesday
 ,Western buddy, December 11, 2012,PARD,False, Tuesday
 ,"""___ la Douce"" (Billy Wilder film)", December 11, 2012,IRMA,False, Tuesday
 ,Sot's peril, December 11, 2012,DTS,False, Tuesday
 ,"""Mr. Deeds Goes to Town"" director", December 11, 2012,CAPRA,False, Tuesday
 ,___ a million, December 11, 2012,ONEIN,False, Tuesday
 ,"Havana beauty, maybe", December 11, 2012,MISSCUBA,True, Tuesday
 ,Art lovers, December 11, 2012,ESTHETES,False, Tuesday
 ,French possessive, December 11, 2012,TES,False, Tuesday
 ,"""Good as done""", December 11, 2012,IMONIT,False, Tuesday
 ,Sale tag abbr., December 11, 2012,IRR,False, Tuesday
 ,Fragments, December 11, 2012,PIECES,False, Tuesday
 ,"Reunion attendee, maybe: Abbr.", December 11, 2012,REL,False, Tuesday
 ,100 pounds: Abbr., December 11, 2012,CWT,False, Tuesday
 ,"""Be right with you ...""", December 11, 2012,HANGON,False, Tuesday
 ,Quick on one's feet, December 11, 2012,AGILE,False, Tuesday
 ,U.S.N.A. grad: Abbr., December 11, 2012,ENS,False, Tuesday
 ,May honoree, December 11, 2012,MOM,False, Tuesday
 ,___-Lorraine, December 11, 2012,ALSACE,False, Tuesday
