months,oil_urals,cpi,ppi,balance_trade,net_capital_export,deposits_value,deposits_growth,deposits_rate,mortgage_value,mortgage_growth,mortgage_rate,income_per_cap,fixed_basket,rent_price_4+room_bus,rent_price_3room_bus,rent_price_2room_bus,rent_price_1room_bus,rent_price_3room_eco,rent_price_2room_eco,rent_price_1room_eco
2010-01,76.1,,,,,7484970,,,142968,,13.72,30789.2,11443.63,,,,,,,
2010-02,72.97,315.1,337.2,18.114,,7502586,0.002353516,,8016,,13.93,42083.2,11524.14,,,,,,,
2010-03,77.03,317.7,343.9,16.704,,7671661,0.022535563,,23154,,13.64,40617.7,11577.71,,,,,,,
2010-04,82.87,319.8,350.2,16.604,,7797699,0.016429037,,46163,,13.42,49346.7,11626.99,,,,,,,
2010-05,73.05,320.7,361.3,15.654,,8037359,0.030734708,,72265,,13.41,43554,11702.15,,,,,,,
2010-06,74.05,322.3,371.1,13.738,,8176045,0.017255171,,97227,,13.41,45069.3,11732.33,,,,,,,
2010-07,73.62,323.6,359.6,13.635,,8879272,0.018041916,,125900,,13.32,45044.9,11708.46,,,,,,,
2010-08,75.4,324.8,361.8,11.875,,8879272,0.018041916,,157548,,13.16,37027.9,11814.03,,,,,,,
2010-09,77.6,326.6,373.6,9.618,,8879272,0.018041916,,188524,,13.3,38010.1,11920.13,,,,,,,
2010-10,81.49,329.3,368.9,11.883,,8879272,0.018041916,,222960,,13.22,41398.1,12002.06,156.36,76.81,59.66,45.44,40.75,34.56,27.58
2010-11,84.9,330.9,377.1,12.029,,9080705,0.022685756,,260473,,12.75,45299.9,12094.33,135.69,85.6,59.57,47.32,42.07,35.2,28.88
2010-12,89.56,333.6,393.7,11.81,,9250426,0.018690289,,301488,,12.61,74067.4,12225.81,208.43,78.14,59.54,43.29,37.54,33.38,28.61
2011-01,93.82,337.2,397.6,16.494,,9818048,0.061361715,4.5,364634,1.550458844,12.45,29880.2,12728.09,139.41,78.77,63.91,46.24,41.76,34.71,28.14
2011-02,100.96,345.2,406.2,15.641,-0.136524235,9729658,-0.009002808,4.4,19901,1.482659681,12.63,42384.6,12790.55,189.76,82.28,60.75,45.23,44.41,35.48,28.28
2011-03,111.27,347.9,419.8,18.381,0.100395115,9920657,0.019630597,4.2,54280,1.34430336,12.43,46225.2,12882.9,180.12,84.34,53.73,42.98,41.58,34.86,28.04
2011-04,119.33,350,425.5,17.037,0.026078053,10018028,0.009814975,4.1,101913,1.207677144,12.37,49388.7,12988.41,169.97,82.05,58.8,43.22,46.39,35.69,28.27
2011-05,111.14,351.5,433.9,19.27,0.230995273,10230436,0.021202576,4.1,152437,1.10941673,12.12,43718.5,13068.42,157.16,92.99,61.94,41.88,43.71,35.89,27.94
2011-06,111.54,353.2,438.4,16.761,0.220046586,10280337,0.0048777,4.2,204872,1.107151306,12.16,50169.1,13040.16,135.41,80.39,55.47,43.03,44.16,35.22,27.73
2011-07,115.74,354,428.5,17.19,0.260726073,10516464,0.0229688,4,265304,1.10725973,12.09,46582.6,12995.37,146.21,85.09,59.79,51.03,43.41,35.35,28.76
2011-08,109.31,354,420.7,15.459,0.301810526,10618898,0.009740346,4.1,323275,1.051914337,11.84,42688.6,12838.36,136.11,77.93,62.89,47.85,41.8,36.77,29.07
2011-09,111.29,353.2,434.4,15.386,0.599708879,10720911,0.009606741,4,386388,1.049542764,11.92,40311.3,12856.97,155.22,94.02,66.28,51.15,44.25,37.73,30.63
2011-10,108.24,353,436.5,17.199,0.447361777,10920215,0.018590211,4.5,452674,1.030292429,11.57,44388,12922.97,151.68,81.5,63.84,52.25,43.46,38.1,31.11
2011-11,110.43,354.7,440.5,17.629,0.465541608,10876079,-0.004041679,5.5,521529,1.002238236,11.74,46476.2,12959.49,160.58,89.65,66.29,52.5,46.5,38.62,31.53
2011-12,107.9,356.2,444.6,19.066,0.614394581,11061372,0.017036746,5.7,596508,0.97854641,11.4,82685.3,12992.44,144.26,86.41,66.86,51.39,46.44,37.93,30.74
2012-01,109.91,357.8,445.4,21.939,0.330120044,11871363,0.073226992,5.8,697417,0.912649396,11.63,33194,13128.84,187.12,87.09,69.99,52.59,47.71,39.47,31.25
2012-02,119.03,359.5,444.3,21.832,0.395818682,11638442,-0.019620409,5.3,38606,0.939902517,11.83,42644.1,13166.88,139.61,91.68,67.56,51.51,45.53,38.39,31.12
2012-03,122.52,360.9,449,20.858,0.134758718,11793393,0.013313724,5.3,102355,0.885685335,11.92,42565.4,13243.77,149.97,91.74,62.72,53.15,45.31,38.45,31.64
2012-04,117.87,363,458.7,19.639,0.152726419,11984283,0.016186182,5.5,179153,0.757901347,12.09,49417.2,13292.33,145.55,84.45,64.83,50.74,44.25,37.85,30.89
2012-05,109.2,364.1,461.7,19.484,0.011105345,12259615,0.022974424,5.2,264049,0.732184443,12.08,44063.8,13350.32,167.34,81.31,62.18,51.86,44.57,37.96,30.67
