category,appellation,name,variety,price,bottle_size,points,winery,description,alcohol,vintage
Red,Portugal,Casa Ferreirinha 2008 Barca Velha Red (Douro),Portuguese Red,450,750 ml,100,Casa Ferreirinha,This is the latest release of what has long been regarded as Portugal's iconic wine. And it is magnificent. The last vintage was the 2004 and the wait has now shown to be worthwhile. With its immense span and breadth of flavors and rich structure it is a superb manifestation of the great vineyards of the Douro Superior. Big bold fruits and acidity are matched by the tannins and concentration. Hold this for many years or at least wait until 2022.,14%,2008
Red,US,Clos de la Tech 2012 Domaine Du Docteur Rodgers Pinot Noir (Santa Cruz Mountains),Pinot Noir,102,750 ml,96,Clos de la Tech,"This bottling from a winery that uses both the highest of technology and most old school of techniques is incredibly subtle at first, but then come waves of mace, mulberry, forest floor and dried shiitake aromas. The palate starts with sharper herbs and spice, from thyme to nutmeg and allspice, and then the purple flower flavors explode like a bouquet in the mouth. Elderflower touches fly into the finish.",13.50%,2012
Red,US,Limerick Lane 2014 Rocky Knoll Estate Grown Zinfandel (Russian River Valley),Zinfandel,58,750 ml,96,Limerick Lane,"A perennial knockout, this vintage delivers as always, combining 7% Petite Sirah, Mourvdre and Syrah from the estate into the mix. Altogether, it opens in a field of wildflowers aromatic before unfurling tart acidity to keep freshly layered soft, supple tannin and red cherry and berry. Sprinklings of white pepper and clove factor in.",15.20%,2014
White,US,Gary Farrell 2014 Ritchie Vineyard Chardonnay (Russian River Valley),Chardonnay,60,750 ml,96,Gary Farrell,"Dark gold in color, this is a memorably luxurious and vivacious wine, tangy in grapefruit, burnt orange and cardamom. Layered and complex, it evolves as it opens to a lingering tease of butterscotch topped in nutmeg. It is an outstanding vision of an outstanding site, a wine for the ages.",14.30%,2014
White,Germany,Maximin Grnhuser 2015 Abtsberg Beerenauslese Grosse Lage Riesling (Mosel),Riesling,388,375 ml,96,Maximin Grnhuser,"Silken, honeyed layers of sweet-tart peach and mango undulate from the core of this stunning beerenauslese. Its unctuous sweetness is head-spinning, but vibrant lemon-lime acidity and dusty, earthy complexities keep it grounded. It's delicious already but sure to improve through 2050 and beyond.",7.50%,2015
White,Germany,Robert Weil 2015 Kiedrich Grfenberg Beerenauslese Riesling (Rheingau),Riesling,365,375 ml,96,Robert Weil,"Luminous peach and tangerine flavors take center stage in this gorgeously composed sweet Riesling. Lip-smacking honey and candied orange peel flavors are offset by a dazzling streak of citrusy acidity. Despite all the sweetness, the finish is pristinely mineral. It's stunning already but should only improve through 2050.",8.50%,2015
Red,US,Big Basin 2014 Lester Family Vineyard Pinot Noir (Santa Cruz Mountains),Pinot Noir,48,750 ml,95,Big Basin,"Winemaker Bradley Brown manages to capture all of the redwood forest-like spice of this region in his lithe bottlings. This one offers fresh pomegranate and rose petal on the nose, plus woody touches of sandalwood and cedar. Bright acidity kicks off the sip, dropping into pencil shavings, thyme and cola, with dried raspberry fruit that runs from end to end.",13%,2014
Red,US,Shea 2014 Shea Vineyard Block 7 Pinot Noir (Willamette Valley),Pinot Noir,66,750 ml,95,Shea,"It's no exaggeration to say that the 2014 releases from Shea are the best (as an entire group) in the winery's history. Could be maturing of the vines, along with a textbook perfect vintage, but whatever the reasons, these wines are not to be missed. Floral highlights, potent ripe cherry fruit, a dusting of cocoa powder and myriad layers come together in this irresistible, impeccably balanced block selection.",14.80%,2014
White,Germany,Maximin Grnhuser 2015 Abtsberg Auslese 24 Grosse Lage Riesling (Mosel),Riesling,95,375 ml,95,Maximin Grnhuser,"There's a pinpoint-like delicacy to this dazzling auslese. Its pristine pineapple and yellow cherry flavors collapse like silk on the palate, electrified with acidity and a heady floral flair. Its fruit expression is pure and transparent, lingering endlessly on the finish. Beautiful already but should improve through 2040.",7%,2015
Red,US,Shafer 2013 Relentless Syrah (Napa Valley),Syrah,87,750 ml,95,Shafer,"This is a stunning, vibrantly robust and intense wine, big, bold and reductive and blended with 3% Petite Sirah. Floral aromas take on meaty, gamy overtones amidst black licorice, tar and juicy strawberry, the tannins silky and supportive and the finish leathery and spicy.",15.80%,2013
Red,US,The Eyrie Vineyards 2014 Original Vines Estate Pinot Noir (Dundee Hills),Pinot Noir,80,750 ml,95,The Eyrie Vineyards,"These are in fact the original Pinot Noir vines planted in the Willamette Valley, back in the mid-1960s. An explosion of sensory detail quickly opens up the wine, with pollen, sandalwood, sassafras and coffee grounds. Those flavors wrap around blackberry, licorice and cola, continuing to expand and explore the far reaches of the palate. Phylloxera may soon eliminate these vines, so don't wait to acquire a bit of history in a bottle.",13%,2014
Red,US,Dragonette 2013 MJM Syrah (Santa Ynez Valley),Syrah,75,750 ml,95,Dragonette,"There are excellent savory qualities to this bottling, with white pepper, charred lamb, soy and pine resin adding much intrigue to the black currant fruit. The umami character is strong on the sip, with beef jerky, black pepper and wild mushroom broth flavors, but there is also some tangy fruit as well as upright tannins that will keep this wine singing for years. Drink now2028.",15.20%,2013
Red,US,Clos de la Tech 2012 Domaine Lois Louise Cote Sud Pinot Noir (Santa Cruz Mountains),Pinot Noir,82,750 ml,95,Clos de la Tech,"Quite dark in the glass, this bottling from tech power couple T.J. and Valeta Rodgers offers rich aromas of dried Mission fig, elderberry and black cherry, along with clay, loam and purple flowers. There is an impressive, almost muddy thickness to the palate, without being sweet or rich at all, showing flavors thyme, dill, mint and lavender against a core of dark red fruit.",14.30%,2012
White,US,Anaba 2014 Dutton Ranch Chardonnay (Sonoma Coast),Chardonnay,42,750 ml,95,Anaba,"Sublime and gritty in stony, gravelly texture, this wine surprises and awes in its commingling of salty lime, focused acidity and complex tones of apple, pear and fig. Medium-bodied, it unravels slowly in the glass, continuing to pursue different avenues of flavor and intellectual pleasure.",14.10%,2014
White,Germany,Maximin Grnhuser 2015 Herrenberg Auslese 31 Grosse Lage Riesling (Mosel),Riesling,114,375 ml,95,Maximin Grnhuser,"Heady tropical pineapple, melon and mango tones pulse through this palate-clinging auslese. It's lusciously sweet but not cloying, with spine-tingling acidity and pleasantly musky saffron notes that intensify on its long, lean finish. Delicious already, it will continue to improve through 2040.",7%,2015
Fortified,Portugal,Blandy's 1980 White (Madeira),Portuguese White,236,375 ml,95,Blandy's,"Here is a remarkable rarity. The Terrantez grape is the rarest of all the Madeira grapes and also produces the most long-lived wines with examples from the 18th century still drinkable. This much younger wine, with its old-gold color, is the epitome of that tension in some Madeira between sweetness and intense acidity. Lime marmalade and huge concentration mark out this very fine wine.",21%,1980
Fortified,Portugal,Cossart Gordon 1987 Bual (Madeira),Bual,194,375 ml,95,Cossart Gordon,This magnificent wine is rich and intense with toffee and rare spice flavors. It is so concentrated old gold in character and color with acidity that cuts through the sweetness and makes the wine so beautifully concentrated and crisp at the same time. Drink now.,21%,1987
Sparkling,France,Deutz 2006 Cuve William Deutz (Champagne),Champagne Blend,140,750 ml,95,Deutz,"The second of two prestige cuves from Deutz, this shows its high proportion of Pinot Noir with its full-bodied nature. Already mature, it has broadened into a richly complex, toasty, spicy wine. With full-throttle acidity that gives it a taut edge, it's impressive and ready to drink.",12%,2006
Sparkling,France,Deutz 2008 Amour de Deutz Brut (Champagne),Champagne Blend,93,375 ml,95,Deutz,"This wine is rich and surprisingly full-bodied. It comes from a great Champagne vintage, giving it both intensity and an acidity built for longterm aging. This half-bottle version is filling out, showing almond flavors yet retaining its citrus edge. Drink from 2019.",12%,2008
Sparkling,France,Mot & Chandon 2005 Dom Prignon Brut Ros (Champagne),Champagne Blend,380,750 ml,95,Mot & Chandon,"This Champagne is beautifully mature, its ripe fruit and soft texture magnified by toast and yeast. Rich and full bodied, its fine acidity keeps it in great condition. With a crisp aftertaste that gives it a delicious lift, it's ready to drink now.",12.50%,2005
White,US,Rsonance 2015 Hyland Vineyard Chardonnay (McMinnville),Chardonnay,50,750 ml,95,Rsonance,"If anyone can elevate Oregon's already excellent Chardonnays to the next level, it's Jacques Lardire, who makes Rsonance for Louis Jadot after four decades at their winery in Burgundy. This nutty toasty chiseled wine has impeccable breeding, power and elegance. White peach, pear and apple fruit is wrapped in lush barrel flavors of caramel, buttered toast and vanilla wafer, with firm acids for a foundation. Drink now and on through 2025.",13.50%,2015
