quarters,gdp_quart,gdp_quart_growth,balance_trade_growth,average_provision_of_build_contract,average_provision_of_build_contract_moscow
2010-Q1,,,,5,
2010-Q2,9995.8,4.1,14.1,4,
2010-Q3,10977,5,-4.1,5,
2010-Q4,12086.5,3.8,2.2,4.925,
2011-Q1,13249.3,5.1,18.6,4.85,6.02
2011-Q2,12844.3,3.3,18.7,5.65,6.19
2011-Q3,14313.7,3.3,10.1,5.76,6.74
2011-Q4,15663.6,5,18.1,5.96,6.65
2012-Q1,16876.6,5.2,34.4,5.75,6.65
2012-Q2,14925,4.7,33.6,5.82,6.59
2012-Q3,16149,4.2,4.6,5.82,6.75
2012-Q4,17442.1,3.1,7.6,6.07,6
2013-Q1,18410.7,2,8.1,5.91,5.96
2013-Q2,15891.7,0.7,27.9,5.98,6.13
2013-Q3,17015.1,1.2,5.1,6.01,6.56
2013-Q4,18543.5,1.3,10.5,6.14,6.39
2014-Q1,19566.5,2.1,16.8,5.98,6.3
2014-Q2,17138.9,0.6,47.5,6.22,6.18
2014-Q3,18884.6,0.7,21.5,6.29,6.14
2014-Q4,20406.9,0.9,7.2,6.46,6.68
2015-Q1,21514.7,0.4,75.8,6.33,6.59
2015-Q2,18209.7,-2.8,32.9,5.99,7.13
2015-Q3,19284.1,-4.5,18.6,5.97,7.12
2015-Q4,21294.4,-3.7,-3.4,5.87,6.9
2016-Q1,22016.1,-3.8,9.4,5.8,6.92
2016-Q2,18561.3,-1.2,8,5.94,6.22
2016-Q3,19979.4,-0.6,-0.9,6.08,7.83
2016-Q4,19979.4,-0.6,2.6,6.2,7.71
