var,category
Unnamed: 0,int64
timestamp,datetime64[ns]
full_sq,int64
life_sq,float64
floor,float64
max_floor,float64
material,float64
build_year,float64
num_room,float64
kitch_sq,float64
state,float64
product_type,object
sub_area,object
area_m,float64
raion_popul,int64
green_zone_part,float64
indust_part,float64
children_preschool,int64
preschool_quota,float64
preschool_education_centers_raion,int64
children_school,int64
school_quota,float64
school_education_centers_raion,int64
school_education_centers_top_20_raion,int64
hospital_beds_raion,float64
healthcare_centers_raion,int64
university_top_20_raion,int64
sport_objects_raion,int64
additional_education_raion,int64
culture_objects_top_25,object
culture_objects_top_25_raion,int64
shopping_centers_raion,int64
office_raion,int64
thermal_power_plant_raion,object
incineration_raion,object
oil_chemistry_raion,object
radiation_raion,object
railroad_terminal_raion,object
big_market_raion,object
nuclear_reactor_raion,object
detention_facility_raion,object
full_all,int64
male_f,int64
female_f,int64
young_all,int64
young_male,int64
young_female,int64
work_all,int64
work_male,int64
work_female,int64
ekder_all,int64
ekder_male,int64
ekder_female,int64
0_6_all,int64
0_6_male,int64
0_6_female,int64
7_14_all,int64
7_14_male,int64
7_14_female,int64
0_17_all,int64
0_17_male,int64
0_17_female,int64
16_29_all,int64
16_29_male,int64
16_29_female,int64
0_13_all,int64
0_13_male,int64
0_13_female,int64
raion_build_count_with_material_info,float64
build_count_block,float64
build_count_wood,float64
build_count_frame,float64
build_count_brick,float64
build_count_monolith,float64
build_count_panel,float64
build_count_foam,float64
build_count_slag,float64
build_count_mix,float64
raion_build_count_with_builddate_info,float64
build_count_before_1920,float64
build_count_1921-1945,float64
build_count_1946-1970,float64
build_count_1971-1995,float64
build_count_after_1995,float64
ID_metro,int64
metro_min_avto,float64
metro_km_avto,float64
metro_min_walk,float64
metro_km_walk,float64
kindergarten_km,float64
school_km,float64
park_km,float64
green_zone_km,float64
industrial_km,float64
water_treatment_km,float64
cemetery_km,float64
incineration_km,float64
railroad_station_walk_km,float64
railroad_station_walk_min,float64
ID_railroad_station_walk,float64
railroad_station_avto_km,float64
railroad_station_avto_min,float64
ID_railroad_station_avto,int64
public_transport_station_km,float64
public_transport_station_min_walk,float64
water_km,float64
water_1line,object
mkad_km,float64
ttk_km,float64
sadovoe_km,float64
bulvar_ring_km,float64
kremlin_km,float64
big_road1_km,float64
ID_big_road1,int64
big_road1_1line,object
big_road2_km,float64
ID_big_road2,int64
railroad_km,float64
railroad_1line,object
zd_vokzaly_avto_km,float64
ID_railroad_terminal,int64
bus_terminal_avto_km,float64
ID_bus_terminal,int64
oil_chemistry_km,float64
nuclear_reactor_km,float64
radiation_km,float64
power_transmission_line_km,float64
thermal_power_plant_km,float64
ts_km,float64
big_market_km,float64
market_shop_km,float64
fitness_km,float64
swim_pool_km,float64
ice_rink_km,float64
stadium_km,float64
basketball_km,float64
hospice_morgue_km,float64
detention_facility_km,float64
public_healthcare_km,float64
university_km,float64
workplaces_km,float64
shopping_centers_km,float64
office_km,float64
additional_education_km,float64
preschool_km,float64
big_church_km,float64
church_synagogue_km,float64
mosque_km,float64
theater_km,float64
museum_km,float64
exhibition_km,float64
catering_km,float64
ecology,object
green_part_500,float64
prom_part_500,float64
office_count_500,int64
office_sqm_500,int64
trc_count_500,int64
trc_sqm_500,int64
cafe_count_500,int64
cafe_sum_500_min_price_avg,float64
cafe_sum_500_max_price_avg,float64
cafe_avg_price_500,float64
cafe_count_500_na_price,int64
cafe_count_500_price_500,int64
cafe_count_500_price_1000,int64
cafe_count_500_price_1500,int64
cafe_count_500_price_2500,int64
cafe_count_500_price_4000,int64
cafe_count_500_price_high,int64
big_church_count_500,int64
church_count_500,int64
mosque_count_500,int64
leisure_count_500,int64
sport_count_500,int64
market_count_500,int64
green_part_1000,float64
prom_part_1000,float64
office_count_1000,int64
office_sqm_1000,int64
trc_count_1000,int64
trc_sqm_1000,int64
cafe_count_1000,int64
cafe_sum_1000_min_price_avg,float64
cafe_sum_1000_max_price_avg,float64
cafe_avg_price_1000,float64
cafe_count_1000_na_price,int64
cafe_count_1000_price_500,int64
cafe_count_1000_price_1000,int64
cafe_count_1000_price_1500,int64
cafe_count_1000_price_2500,int64
cafe_count_1000_price_4000,int64
cafe_count_1000_price_high,int64
big_church_count_1000,int64
church_count_1000,int64
