,price_doc,timestamp,full_sq,life_sq,floor,max_floor,material,build_year,num_room,kitch_sq,state,product_type,sub_area,kremlin_km
1,5850000,8/20/11,43,27,4,17,1,2015,1,5,2,Investment,Bibirevo,15.15621058
2,6000000,8/23/11,34,19,3,7,1,2014,1,8,3,Investment,Nagatinskij Zaton,8.698054189
3,5700000,8/27/11,43,29,2,17,1,2014,1,5,2,Investment,Tekstil'shhiki,9.067884956
4,13100000,9/1/11,89,50,9,12,1,2014,3,12,3,Investment,Mitino,19.48700542
5,16331452,9/5/11,77,77,4,17,1,2014,3,10,1,Investment,Basmannoe,2.578670647
6,9100000,9/6/11,67,46,14,12,1,2014,2,10,2,Investment,Nizhegorodskoe,5.645795859
7,5500000,9/8/11,25,14,10,17,4,2013,1,9,2,Investment,Sokol'niki,6.468718768
8,2000000,9/9/11,44,44,5,12,1,2014,1,6,1,Investment,Bibirevo,15.77042634
9,5300000,9/10/11,42,27,5,12,1,2014,1,6,2,Investment,Koptevo,10.357535
10,2000000,9/13/11,36,21,9,15,1,1978,1,6,2,Investment,Kuncevo,10.86912007
11,4650000,9/16/11,36,19,12,17,1,2014,1,8,3,Investment,Kosino-Uhtomskoe,17.06679632
12,4800000,9/16/11,38,19,11,17,1,2014,1,7,2,Investment,Zapadnoe Degunino,16.13770406
13,5100000,9/17/11,43,28,4,17,1,2015,1,5,3,Investment,Kuncevo,13.2028609
14,5200000,9/19/11,31,31,4,12,4,2014,1,5,3,Investment,Presnenskoe,4.450091361
15,5000000,9/19/11,31,21,3,12,4,2002,1,5,3,Investment,Lefortovo,5.469215614
16,1850000,9/20/11,51,31,15,17,1,2014,1,10,3,Investment,Mar'ino,14.11860041
17,6300000,9/20/11,47,31,4,9,2,2013,1,6,2,Investment,Kuz'minki,10.31352228
18,5900000,9/20/11,42,28,2,5,1,2014,1,5,2,Investment,Nagornoe,8.927901339
19,7900000,9/22/11,59,33,10,17,1,2006,2,10,3,Investment,Kosino-Uhtomskoe,17.42368658
20,5200000,9/22/11,44,29,4,9,1,2013,1,6,2,Investment,Gol'janovo,11.99140951
21,8200000,9/22/11,74,44,10,12,1,2014,2,10,3,Investment,Vnukovo,27.17480611
22,5200000,9/22/11,39,39,7,17,1,2014,1,9,1,Investment,Juzhnoe Tushino,13.91848212
23,6250000,9/23/11,48,34,6,10,1,2014,1,7,1,Investment,Severnoe Tushino,16.22013333
24,5750000,9/23/11,32,18,3,4,4,2002,1,6,2,Investment,Chertanovo Central'noe,15.20493154
25,6000000,9/23/11,34,19,11,12,1,2014,1,8,3,Investment,Juzhnoe Tushino,15.76595734
26,1050000,9/24/11,45,29,9,17,1,2013,1,7,3,Investment,Fili Davydkovo,10.15250217
27,5000000,9/26/11,35,20,4,9,1,1976,1,8,3,Investment,Otradnoe,12.2453805
28,4700000,9/26/11,38,20,6,17,1,2014,1,8,3,Investment,Novo-Peredelkino,19.68847158
29,8254400,9/26/11,73,38,15,12,1,2014,1,10,1,OwnerOccupier,Bogorodskoe,9.068351888
30,5900000,9/27/11,42,27,3,9,1,2014,1,5,3,Investment,Jaroslavskoe,11.55160025
31,6200000,9/27/11,40,20,12,17,1,2013,1,8,2,Investment,Strogino,14.41586649
32,18300000,9/27/11,81,46,24,24,1,2014,1,10,1,Investment,Hovrino,15.01059889
33,4900000,9/28/11,38,34,2,12,1,2014,1,8,2,Investment,Bibirevo,16.04707598
34,4400000,9/28/11,31,18,4,12,4,2002,1,6,2,Investment,Moskvorech'e-Saburovo,12.33917428
35,3900000,9/28/11,39,19,1,4,1,2014,1,8,2,Investment,Staroe Krjukovo,37.20515244
36,4850000,9/28/11,39,20,1,4,1,2011,1,9,2,Investment,Mar'ino,14.18326607
37,5700000,9/29/11,37,19,9,17,1,2014,1,8,3,Investment,Ljublino,10.69493206
38,4300000,9/30/11,27,27,4,12,1,2014,1,6,1,Investment,Caricyno,14.61997452
