sub_area,okurg_district
Ajeroport,Northern 
Akademicheskoe,South Western 
Alekseevskoe,North Eastern 
Altuf'evskoe,North Eastern 
Arbat,Central 
Babushkinskoe,North Eastern 
Basmannoe,Central 
Begovoe,Northern 
Beskudnikovskoe,Northern 
Bibirevo,North Eastern 
Birjulevo Vostochnoe,Southern 
Birjulevo Zapadnoe,Southern 
Bogorodskoe,Eastern 
Brateevo,Southern 
Butyrskoe,North Eastern 
Caricyno,Southern 
Cheremushki,South Western 
Chertanovo Central'noe,Southern 
Chertanovo Juzhnoe,Southern 
Chertanovo Severnoe,Southern 
Danilovskoe,Southern 
Dmitrovskoe,Northern 
Donskoe,Southern 
Dorogomilovo,Western 
Filevskij Park,Western 
Fili Davydkovo,Western 
Gagarinskoe,South Western 
Gol'janovo,Eastern 
Golovinskoe,Northern 
Hamovniki,Central 
Horoshevo-Mnevniki,North Western 
Horoshevskoe,Northern 
Hovrino,Northern 
Ivanovskoe,Eastern 
Izmajlovo,Eastern 
Jakimanka,Central 
Jaroslavskoe,North Eastern 
Jasenevo,South Western 
Juzhnoe Butovo,South Western 
Juzhnoe Medvedkovo,North Eastern 
Juzhnoe Tushino,North Western 
Juzhnoportovoe,South Eastern 
Kapotnja,South Eastern 
Kon'kovo,South Western 
Koptevo,Northern 
Kosino-Uhtomskoe,Eastern 
Kotlovka,South Western 
Krasnosel'skoe,Central 
Krjukovo,Zelenograd 
Krylatskoe,Western 
Kuncevo,Western 
Kurkino,North Western 
Kuz'minki,South Eastern 
Lefortovo,South Eastern 
Levoberezhnoe,Northern 
Lianozovo,North Eastern 
Ljublino,South Eastern 
Lomonosovskoe,South Western 
Losinoostrovskoe,North Eastern 
Mar'ina Roshha,North Eastern 
Mar'ino,South Eastern 
Marfino,North Eastern 
Matushkino,Zelenograd 
Meshhanskoe,Central 
Metrogorodok,Eastern 
Mitino,North Western 
Molzhaninovskoe,Northern 
Moskvorech'e-Saburovo,Southern 
Mozhajskoe,Western 
Nagatino-Sadovniki,Southern 
Nagatinskij Zaton,Southern 
Nagornoe,Southern 
Nekrasovka,South Eastern 
Nizhegorodskoe,South Eastern 
Novo-Peredelkino,Western 
Novogireevo,Eastern 
Novokosino,Eastern 
Obruchevskoe,South Western 
Ochakovo-Matveevskoe,Western 
Orehovo-Borisovo Juzhnoe,Southern 
Orehovo-Borisovo Severnoe,Southern 
Ostankinskoe,North Eastern 
Otradnoe,North Eastern 
Pechatniki,South Eastern 
Perovo,Eastern 
Pokrovskoe Streshnevo,North Western 
Poselenie Desjonovskoe,Novomoskovsky 
Poselenie Filimonkovskoe,Novomoskovsky 
Poselenie Kievskij,Troitsky 
Poselenie Klenovskoe,Troitsky 
Poselenie Kokoshkino,Novomoskovsky 
Poselenie Krasnopahorskoe,Troitsky 
Poselenie Marushkinskoe,Novomoskovsky 
Poselenie Mihajlovo-Jarcevskoe,Troitsky 
Poselenie Moskovskij,Novomoskovsky 
Poselenie Mosrentgen,Novomoskovsky 
Poselenie Novofedorovskoe,Troitsky 
Poselenie Pervomajskoe,Troitsky 
Poselenie Rjazanovskoe,Novomoskovsky 
Poselenie Rogovskoe,Troitsky 
Poselenie Shhapovskoe,Troitsky 
Poselenie Shherbinka,Novomoskovsky 
Poselenie Sosenskoe,Novomoskovsky 
Poselenie Vnukovskoe,Novomoskovsky 
Poselenie Voronovskoe,Troitsky 
Poselenie Voskresenskoe,Novomoskovsky 
Preobrazhenskoe,Eastern 
Presnenskoe,Central 
Prospekt Vernadskogo,Western 
Ramenki,Western 
Rjazanskij,South Eastern 
Rostokino,North Eastern 
Savelki,Zelenograd 
Savelovskoe,Northern 
Severnoe,North Eastern 
Severnoe Butovo,South Western 
Severnoe Izmajlovo,Eastern 
Severnoe Medvedkovo,North Eastern 
Severnoe Tushino,North Western 
Shhukino,North Western 
Silino,Zelenograd 
Sokol,Northern 
Sokol'niki,Eastern 
Sokolinaja Gora,Eastern 
Solncevo,Western 
Staroe Krjukovo,Zelenograd 
Strogino,North Western 
Sviblovo,North Eastern 
Taganskoe,Central 
Tekstil'shhiki,South Eastern 
Teplyj Stan,South Western 
Timirjazevskoe,Northern 
Troickij okrug,Troitsky  
Troparevo-Nikulino,Western 
Tverskoe,Central 
Veshnjaki,Eastern 
Vnukovo,Western 
Vojkovskoe,Central 
Vostochnoe,Northern 
Vostochnoe Degunino,Northern 
Vostochnoe Izmajlovo,Eastern 
Vyhino-Zhulebino,South Eastern 
Zamoskvorech'e,Central 
Zapadnoe Degunino,Northern 
Zjablikovo,Southern 
Zjuzino,South Western 
