timestamp,full_sq,life_sq,floor,max_floor,material,build_year,num_room,kitch_sq,state,product_type,sub_area,kremlin_km
7/1/15,39,20.7,2,9,1,1998,1,8.9,3,Investment,Juzhnoe Butovo,24.77908165
7/1/15,79.2,64,8,17,1,2016,3,10,1,OwnerOccupier,Poselenie Vnukovskoe,21.72262007
7/1/15,40.5,25.1,3,5,2,1960,2,4.8,2,Investment,Perovo,10.32072754
7/1/15,62.8,36,17,17,1,2016,2,9.6,3,OwnerOccupier,Poselenie Voskresenskoe,26.96046256
7/1/15,40,40,17,17,1,2016,1,10,1,OwnerOccupier,Poselenie Vnukovskoe,21.90579236
7/1/15,48.43,38.78,21,22,1,2015,1,10.3,1,OwnerOccupier,Filevskij Park,6.514713376
7/1/15,38.8,39.2,15,17,1,2016,1,9.8,1,OwnerOccupier,Solncevo,16.95715522
7/1/15,43.1,40.46,5,17,1,2016,1,9.6,1,OwnerOccupier,Poselenie Sosenskoe,20.34154585
7/1/15,45.4,28.5,9,12,5,1972,2,6,2,Investment,Vnukovo,24.44837118
7/1/15,43.3,43.3,7,22,1,2016,1,10,1,OwnerOccupier,Poselenie Vnukovskoe,23.99671721
7/1/15,37.26,25,4,15,4,2017,1,8,1,OwnerOccupier,Nagatinskij Zaton,8.532480294
7/1/15,39.2,10,11,17,4,2015,1,10,1,OwnerOccupier,Poselenie Vnukovskoe,21.90579236
7/1/15,37.04,37.04,14,15,6,2015,1,14,1,OwnerOccupier,Poselenie Vnukovskoe,25.60860086
7/1/15,39.8,18.9,4,17,1,2013,1,9.9,3,Investment,Nekrasovka,19.6854212
7/1/15,69.3,51.46,7,17,1,2016,2,10,1,OwnerOccupier,Poselenie Filimonkovskoe,26.09730228
7/2/15,69.3,64.67,10,17,1,2015,2,11.4,1,OwnerOccupier,Poselenie Sosenskoe,20.19708984
7/2/15,117.4,67.7,10,17,1,2016,3,10,1,OwnerOccupier,Izmajlovo,10.54874495
7/2/15,94.5,61.9,2,12,1,2000,4,10.3,1,Investment,Akademicheskoe,6.581627608
7/2/15,62.5,32.6,7,17,1,2013,2,12.9,2,Investment,Nekrasovka,19.79419822
7/2/15,77.7,52.6,2,5,5,1958,3,8.5,3,Investment,Akademicheskoe,8.012256965
7/2/15,64,64,4,17,1,2016,2,10,1,OwnerOccupier,Poselenie Vnukovskoe,21.90579236
7/2/15,67.2,45.1,14,16,5,1978,3,7.7,2,Investment,Zjuzino,9.523424156
7/2/15,99.88,64,4,9,1,2015,3,9.1,1,OwnerOccupier,Zapadnoe Degunino,15.86904434
7/2/15,79.2,64,6,17,1,2016,3,10,1,OwnerOccupier,Novo-Peredelkino,20.39230629
7/2/15,32.5,18.7,4,9,1,1971,1,6.6,1,Investment,Veshnjaki,13.29599273
7/2/15,65.1,46,11,12,1,1978,3,6.5,3,Investment,Altuf'evskoe,14.17636247
7/2/15,74,41.7,17,17,1,2016,2,12.8,1,OwnerOccupier,Levoberezhnoe,15.48281443
7/2/15,45.8,29.6,6,9,1,1969,2,6.1,3,Investment,Hovrino,14.0331965
7/2/15,32,32,15,17,1,2017,1,10,1,OwnerOccupier,Poselenie Shherbinka,28.15157234
7/2/15,37.8,19.1,13,16,1,1982,1,8.1,3,Investment,Filevskij Park,8.486069543
7/2/15,39.2,21,5,14,1,1991,1,8.6,2,Investment,Mozhajskoe,11.71606685
7/2/15,81.91,60,5,25,4,2016,3,15,1,OwnerOccupier,Mitino,17.94890404
7/2/15,53.82,52.33,3,3,1,2016,2,10,1,OwnerOccupier,Poselenie Novofedorovskoe,51.34968656
7/2/15,39.2,40,5,17,1,2016,1,9.6,1,OwnerOccupier,Poselenie Vnukovskoe,22.37012991
7/2/15,51.7,46.8,5,17,6,2016,2,10,1,OwnerOccupier,Solncevo,16.95715522
7/2/15,53.7,31.6,3,16,1,1977,2,8.2,2,Investment,Levoberezhnoe,16.36532797
7/2/15,57.27,37,4,24,6,2017,2,9,1,OwnerOccupier,Nagatinskij Zaton,8.532480294
7/3/15,44.9,28.3,4,14,1,1972,2,5.7,2,Investment,Babushkinskoe,12.08791901
7/3/15,41.5,20.7,12,14,1,1992,1,8.6,2,Investment,Mitino,17.71852563
7/3/15,39.2,39.2,17,17,1,2017,1,8.6,1,OwnerOccupier,Solncevo,16.95715522
7/3/15,69.42,69.42,1,3,1,2017,1,10,1,OwnerOccupier,Poselenie Novofedorovskoe,50.91185712
7/3/15,55.13,52.3,13,17,1,2016,2,10,1,OwnerOccupier,Nagatinskij Zaton,8.532480294
7/3/15,60.06,55,23,25,4,2016,2,10,1,OwnerOccupier,Poselenie Moskovskij,23.37369741
7/3/15,59.56,34,19,21,1,2016,2,14,1,OwnerOccupier,Filevskij Park,6.514713376
7/3/15,35.82,27.86,14,17,1,2015,1,8,1,OwnerOccupier,Filevskij Park,7.14131138
7/3/15,31.2,18.8,2,5,2,1964,1,6,2,Investment,Preobrazhenskoe,8.39506303
7/3/15,40.21,33,10,16,1,2015,1,9.3,1,OwnerOccupier,Sviblovo,10.51446841
7/3/15,37.9,18.9,11,16,1,1983,1,9.6,3,Investment,Severnoe Medvedkovo,15.82309464
7/3/15,69.79,64,1,17,1,2016,2,10.5,1,OwnerOccupier,Poselenie Moskovskij,16.00085262
7/3/15,38.6,23.2,6,12,5,1969,2,6.2,2,Investment,Vojkovskoe,10.55692343
7/3/15,54.5,32.2,2,17,1,1999,2,9.3,3,Investment,Kon'kovo,13.79869273
7/4/15,37,22.7,6,12,1,1964,2,7.5,2,Investment,Arbat,1.306860657
7/4/15,38.5,38.5,3,17,1,2016,1,8.5,1,OwnerOccupier,Poselenie Vnukovskoe,22.2224338
7/4/15,56.4,56.4,2,12,6,2015,2,9,1,OwnerOccupier,Poselenie Sosenskoe,19.52527113
7/4/15,39.3,20.1,22,22,1,2000,1,10.1,3,Investment,Ljublino,12.18878426
7/4/15,39.2,22.3,10,12,5,1966,2,6.9,2,Investment,Preobrazhenskoe,7.988774995
