,id,title
0,5597,'Politics of Cyprus'
1,14668,'Economy of Iraq'
2,24400,'Pair programming'
3,32783,'Antisemitism and the New Testament'
4,38424,'Bikram Yoga'
5,45425,'Smart growth'
6,85106,'Marian apparition'
7,101659,'Ulu\u1e5fu-Kata Tju\u1e6fa National Park'
8,118771,'Lathrup Village
9,124684,'West Hattiesburg
10,216590,'Female homicides in Ciudad Ju\xe1rez'
11,309525,'Midwest Christian Outreach'
12,314174,'Kajukenbo'
13,326141,'Nikolaj Velimirovi\u0107'
14,362048,'Consequences of Nazism'
15,372416,'Bakkah'
16,381093,'National Day of Mourning (United States protest)'
17,402082,'Dakhla
18,404171,'Sharad Pawar'
19,445059,'Henry Lane Wilson'
20,448506,'Flemish Movement'
21,469368,'Solidarity (U.S.)'
22,474383,'Tourism in Argentina'
23,496501,'Emperor Entertainment Group'
24,519163,'Bengali cuisine'
25,531719,'Charles Ammi Cutter'
26,542380,'Music history of the United States during the colonial era'
27,553989,'Westminster International University in Tashkent'
28,563788,'Tibor Kalman'
29,617451,'Majoritarianism'
30,639319,'You Got Served'
31,641246,'Charles Strouse'
32,648450,"""Rachel's Tomb"""
33,666269,'Debt of developing countries'
34,711700,'Inswinger'
35,767313,'Bispectral index'
36,777630,'Tent city'
37,811932,'Equal Employment Opportunity Commission'
38,900454,'Fiscal imbalance in Canada'
39,901940,'First Vienna Award'
40,982097,'Whitley Bay F.C.'
41,988562,'Rawalpindi District'
42,992608,'Nebo School District'
43,1053641,'Maurizio Cattelan'
44,1100377,'False Creek'
45,1169761,'Diamond v. Chakrabarty'
46,1182645,'James W. W. Birch'
47,1305105,'Klina'
48,1347517,'Kirill Razumovski'
49,1357536,'Maharana Pratap'
50,1364923,'Electronic throttle control'
51,1372503,'Franciscan Sisters of Christian Charity'
52,1374927,'Structural adjustment'
53,1382645,'Montblanc (company)'
54,1419063,'Brad Fraser'
55,1419388,'Ivoirit\xe9'
56,1431179,'Campus police'
57,1447950,"""Prince Ra'ad bin Zeid"""
58,1451441,'Kong Meng San Phor Kark See Monastery'
59,1533101,'Packard Clipper'
60,1576872,'Greater Morocco'
61,1582694,"""Wisden Cricketers' Almanack"""
