Cuisine,Price,Michelin_star_review,Michelin_star,Address,Standard,Review,Retaurant_name,location
Asian,"$50,$74",none,Good standard.,"311 Church St., New York 10013",none,"
			Droves of curious downtowners continue their love affair with this cushy mainstay for Macanese cuisine. With nothing but a red light over a dark door to mark its entrance, make your way into this bi-level beauty, accoutered with heavy velvet drapes, double-height ceilings, and a dimly lit yet sexy bar. The mien is playful, buzz palpable, and first-rate drinks are flowing. Start with the Tuscan kale-and-romaine salad, enticingly smoky with texturally perfect potato ""croutons"" and paprika vinaigrette. Then, move on to a Taipa steamboat (cross between a Chinese hotpot and Portuguese paella) teeming with briny shellfish, fried chicken wings, and linguiça. Sample a slice of their chocolate diablo cake for an indulgent and notably decadent finish.
				","
	Macao Trading Co.
",""":""-74.00387|40.71964"""
Vietnamese,"$13,$24",none,Simple standard.,"86 Mulberry St., New York 10013",none,"
			Fantastic food is the sole focus of this Vietnamese dive. The décor-albeit stark-highlights a semi-tropical theme and the crowd might be touristy, but don't let that deter you as the food is wonderfully authentic and very reasonable. Condiments atop each table serve to enhance even the most humble goi cuon stuffed with grilled pork and vermicelli. Muc chien don is a plate of chewy, crisped squid tossed in salt, pepper, and tailed by cucumbers and red onion for ample tang; while the house special pho xe lua reveals a rich, savory broth full of noodles, brisket, and beef tendon. Combine this with sprouts, chilies, and herbs for a surefire delight. Enjoy dessert with a Vietnamese iced coffee that will give even your great-aunt Grace the shakes.
				","
	Xe Lua
",0.71668|-73.99913|0|3|
American,"$50,$74",none,Good standard. Our best addresses.,"22 Battery Pl., New York 10280",none,"
			Situated on a pier off the Hudson River, this three-story Victorian-a rambunctious New York landmark replete with a prominent clock tower and enormous promenade-is hardly your average watering hole. After all, where else can you slurp bivalves and sip craft beers among pressure gauges from 19th century steamships while taking in a view of the Statue of Liberty? The menu's tempting seafood options include a dozen types of fresh, plump oysters; lobster mac and cheese studded with greens and bacon and served in a cast iron skillet; as well as mini lobster rolls with a citrusy remoulade. While the fare here begs for brews, grown-ups craving quiet conversation, a proper martini, and an ultra-hearty Tomahawk steak should head upstairs to Pier A Harborhouse.
				","
	Pier A
","ction"",""id"":""40.704945"
Chinese,"$13,$24",none,Simple standard.,"13 Doyers St., New York 10013",none,"
			First things first: You don't go to Nom Wah Tea Parlor for the décor or the service. The latter is polite and ultra-speedy, but otherwise forgettable. And the décor offers little more than pleather booths and a diner-style counter. None of this matters, for once the kitchen starts dropping its lip-smacking Chinese-American fare down with aplomb, you'll be in dim sum heaven. Begin with soft and tender shrimp-and-snow pea leaf dumplings, before moving on to unique bean curd skin rolls tucked with savory Chinese pork. Downright terrific pan-fried dumplings are filled with pink shrimp and fragrant chives. Don't leave without sampling the restaurant's ""Original Egg Roll,"" which is basically a massive umami bomb, easily split between four people.
				","
	Nom Wah Tea Parlor
",0.714497|-73.99821|0|3
Thai,"$25,$49",‘Bibs’ are awarded for simple yet skilful cooking for under £28 or €40.,"Bib Gourmand: good quality, good value cooking: ≤ £28 / 40 € (IRE)","85 Ave A., New York 10009",Simple standard.,"
			Tucked along the fringes of Alphabet City, a little taste of authentic Isaan Thai awaits. Originally based out of Bangkok, the New York outpost of Somtum Der offers a cozy little enclave for the East Village set, stylishly accented with bright pops of red, and a welcome glimpse of the kitchen's somtum station. There, you'll spy large glass jars of peanuts, dried red chilies, and spices-the contents of which are ground by mortar and pestle to produce what some claim is the city's best green papaya salad. Order big here, for the portions aren't massive and the food is so terrific you'll inevitably want more. The kitchen is happy to kick things up a notch, spice-wise, but you'll need to request the hotter end of the spectrum for greater authenticity.
				","
	Somtum Der
","ction"",""id"":""40.725124"
Spanish,"$25,$49",‘Bibs’ are awarded for simple yet skilful cooking for under £28 or €40.,"Bib Gourmand: good quality, good value cooking: ≤ £28 / 40 € (IRE)","359 Sixth Ave., New York 10014",Good standard.,"
			With a Spanish soul and tastefully raw space, Chef Seamus Mullen's Tertulia is big-hearted and boasts a surprisingly healthy side to its menu. The narrow room decked with a long wood bar and colorful tiles evokes those casual eateries in Spain, rife with a buzzing open kitchen and chalkboards scribbled with cheeses. The bites here are healthy but equally bright with flavor. Tosta matrimonio is a flax and quinoa crisp topped with black and white anchovies, slow-roasted tomato, and sharp sheep's milk cheese. Also, try bocata de delicata, a satisfying sandwich of slices of charred delicata squash, roasted red peppers, Swiss chard, and cheddar cheese. For a sweet fix try the pastel de almendras, a chocolate-covered almond cake with Pedro Ximénez syrup and a side of peanut butter icecream.
				","
	Tertulia
","ction"",""id"":""40.73216|"
Vietnamese,"$13,$24",none,Simple standard.,"89 Baxter St., New York 10013",none,"
			Thái So'n is by far the best of the bunch in this Vietnamese quarter of Chinatown. It's neither massive nor fancy, but it's bright, clean, and perpetually in business. One peek at the specials on the walls (maybe golden-fried squid strewn with sea salt) will have you begging for a seat in the crammed room. Speedy servers scoot between groups of City Hall suits and Asian locals as they order the likes of cha gio, pork spring rolls with nuoc cham; or goi cuon, fantastic summer rolls filled with poached shrimp and vermicelli. Naturally, pho choices are abundant, but the real star of the show is pho tai-where raw beef shavings are cooked to tender perfection when combined with a scalding hot, savory broth replete with herbs, sprouts, and chewy noodles.
				","
	Thái Soŉ
",0.71687|-73.99939|0|3|
Chinese,"$13,$24",none,Simple standard.,"80 Bayard St., New York 10013",none,"
			If you're drawn to those bare bones sort of places where food quality, beyond-warm service, and value speak for itself, this is your Chinatown slam dunk. Bo Ky's steamed-up windows (from the succulent meats roasting inside) are an invitation to come in and get cracking on a perfect bowl of wonton and noodle soup. Succulent braised duck is a house specialty here. Served with its sweetened dark soy braising liquid and pickled, crunchy daikon, this is a Teochew specialty but with a definite Vietnamese touch. Its textural interplay is as first-rate as the kitchen's other favorite item, namely a crispy fried shrimp-and-scallion roll wrapped in bean curd skin. Spice fiends can turn up the heat at home-their addictive secret-recipe sauces are for sale by the jar!
				","
	Bo Ky
",0.7157|-73.998695|0|3|
American,"$25,$49",none,Good standard.,"19 Greenwich Ave., New York 10014",none,"
			This neighborhood tavern has the kind of food you could nosh on every day-and excellent versions of it, at that. Duck inside and you'll find a deep, narrow space with an elevated back dining room. Up front, a hip and hopping bar set amid a series of two-tops beckons lone diners and cozy lovebirds. Steak plays a big role in this kitchen's menu-and rightfully so, for it's fantastic. But almost everything here, from the seasonal greens to the delicious sides and fresh-from-the-skillet monkey bread, aims to please. A bright, crisp spring pea salad gets a salty hit of pecorino and drizzle of vinaigrette; while a dish named Don Ameche (beautifully-seared filet mignon fanned over sourdough toast spread with creamy chicken liver mousse) is downright brilliant.
				","
	Quality Eats
",""":""-73.999985|40.73455"
Japanese,"$25,$49",none,Good standard.,"231 E. 9th St., New York 10003",none,"
			Irasshaimase! This is the kind of intensely authentic place where welcomes are shouted to guests upon entering. At peak times, wait among Japanese expats and young couples lining the sidewalk. Aim straight for the counter to appreciate the theatrics of it all, where orders are acknowledged with more shouts flying from Japanese servers to chefs. The energy is high, but so are the standards for their expertly grilled meats and vegetables. Kneeling cooks use long wooden paddles to deliver dishes hot off the robata, like gyu tataki, seared beef filet topped with tobiko and scallions on a bed of red onions with ponzu. Technical mastery is clear in a salt-packed sea bream's subtle smoky flavors emphasizing the delicacy of such white, flaky fish.
				","
	Robataya
",""":""-73.98774|40.72965"""
