date,price
5/29/07,657.6
5/30/07,657.1
5/31/07,656.6
6/1/07,662.5
6/4/07,670.75
6/5/07,671.3
6/6/07,669.8
6/7/07,670.85
6/8/07,656.75
6/11/07,652.75
6/12/07,652.8
6/13/07,644.1
6/14/07,650.75
6/15/07,650.6
6/18/07,658
6/19/07,655.1
6/20/07,659.6
6/21/07,654.5
6/22/07,652
6/25/07,651.25
6/26/07,649.55
6/27/07,642.85
6/28/07,645.7
6/29/07,648.5
7/2/07,650.5
7/3/07,657.25
7/4/07,654
7/5/07,655.9
7/6/07,647.75
7/9/07,657
7/10/07,661.15
7/11/07,664
7/12/07,663
7/13/07,667.5
7/16/07,667.25
7/17/07,663.15
7/18/07,667.75
7/19/07,673
7/20/07,676
7/23/07,683.5
7/24/07,682.75
7/25/07,677.25
7/26/07,675.4
7/27/07,663.5
7/30/07,661.5
7/31/07,666.75
8/1/07,660.25
8/2/07,665.35
8/3/07,666.35
8/6/07,674.15
8/7/07,669.25
8/8/07,670.4
8/9/07,670.85
8/10/07,664.5
8/13/07,669.85
8/14/07,667.35
8/15/07,665
8/16/07,664.15
8/17/07,653
8/20/07,658.5
8/21/07,655.5
8/22/07,657.15
8/23/07,662.25
8/24/07,659.75
8/27/07,663.375
8/28/07,667
8/29/07,664.75
8/30/07,666.3
8/31/07,668
9/3/07,672.75
9/4/07,673.5
9/5/07,679.5
9/6/07,683.5
9/7/07,695
9/10/07,704
9/11/07,704.25
9/12/07,711.75
9/13/07,708.1
9/14/07,706.75
9/17/07,710.25
9/18/07,717.7
9/19/07,723.75
9/20/07,727.75
9/21/07,735.35
9/24/07,733.25
9/25/07,727.7
9/26/07,730.55
9/27/07,729.75
9/28/07,737.75
10/1/07,745.25
10/2/07,735.75
10/3/07,733.15
10/4/07,726.75
10/5/07,735.85
10/8/07,736.5
10/9/07,728.8
10/10/07,740.5
10/11/07,747.5
10/12/07,748.5
10/15/07,755.85
10/16/07,761.75
10/17/07,759.75
10/18/07,758.35
10/19/07,768.25
10/22/07,755.6
10/23/07,757.5
10/24/07,757.35
10/25/07,765
10/26/07,775.6
10/29/07,792.5
10/30/07,784
10/31/07,783
11/1/07,792
11/2/07,790.75
11/5/07,802.5
11/6/07,817.55
11/7/07,841.75
11/8/07,832.25
11/9/07,836
11/12/07,817
11/13/07,803.4
11/14/07,808.25
11/15/07,806
11/16/07,790.25
11/19/07,788.5
11/20/07,789.65
11/21/07,796.25
11/22/07,802.25
11/23/07,810.5
11/26/07,836.25
11/27/07,823.25
11/28/07,796.5
11/29/07,807.25
11/30/07,794.75
12/3/07,783.75
12/4/07,790.25
12/5/07,801.75
12/6/07,788.75
12/7/07,799.75
12/10/07,800
12/11/07,806.75
12/12/07,807.5
12/13/07,809
12/14/07,796.25
12/17/07,787
12/18/07,796.25
12/19/07,801.5
12/20/07,799.5
12/21/07,803
12/24/07,810.25
12/25/07,814.3333333
12/26/07,818.4166667
12/27/07,822.5
12/28/07,828.5
12/31/07,836.5
1/1/08,838.625
1/2/08,840.75
1/3/08,865.35
1/4/08,858.75
1/7/08,857.5
1/8/08,873.25
1/9/08,887.85
1/10/08,874.25
1/11/08,893.75
1/14/08,911.5
1/15/08,904.75
1/16/08,881
1/17/08,881.5
1/18/08,872.75
1/21/08,874.25
1/22/08,862
1/23/08,887.8
1/24/08,891.5
1/25/08,921.25
1/28/08,916.5
1/29/08,927.5
