Station ID,Complex ID,GTFS Stop ID,Division,Line,Stop Name,Borough,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,Turnstile Station Name,Stop Number
115,618,L01,BMT,Canarsie,8 Av,M,L,Subway,40.739777,-74.002578,8 AVE,1
116,601,L02,BMT,Canarsie,6 Av,M,L,Subway,40.737335,-73.996786,6 AVE,2
117,602,L03,BMT,Canarsie,Union Sq - 14 St,M,L,Subway,40.734789,-73.99073,14 ST-6 AVE,3
118,118,L05,BMT,Canarsie,3 Av,M,L,Subway,40.732849,-73.986122,3 AV,4
119,119,L06,BMT,Canarsie,1 Av,M,L,Subway,40.730953,-73.981628,1 AV,5
120,120,L08,BMT,Canarsie,Bedford Av,Bk,L,Subway,40.717304,-73.956872,BEDFORD AVE,6
121,629,L10,BMT,Canarsie,Lorimer St,Bk,L,Subway,40.714063,-73.950275,LONGWOOD AVE,7
122,122,L11,BMT,Canarsie,Graham Av,Bk,L,Subway,40.714565,-73.944053,GRAHAM AVE,8
123,123,L12,BMT,Canarsie,Grand St,Bk,L,Subway,40.711926,-73.94067,GRD CNTRL-42 ST,9
124,124,L13,BMT,Canarsie,Montrose Av,Bk,L,Subway,40.707739,-73.93985,MONTROSE AVE,10
125,125,L14,BMT,Canarsie,Morgan Av,Bk,L,Subway,40.706152,-73.933147,MORGAN AVE,11
126,126,L15,BMT,Canarsie,Jefferson St,Bk,L,Subway,40.706607,-73.922913,JEFFERSON ST,12
127,127,L16,BMT,Canarsie,DeKalb Av,Bk,L,Subway,40.703811,-73.918425,DEKALB AV,13
128,630,L17,BMT,Canarsie,Myrtle - Wyckoff Avs,Bk,L,Subway,40.699814,-73.911586,MYRTLE-WYCKOFF,14
129,129,L19,BMT,Canarsie,Halsey St,Q,L,Subway,40.695602,-73.904084,GUN HILL ROAD,15
130,130,L20,BMT,Canarsie,Wilson Av,Bk,L,Subway,40.688764,-73.904046,WILSON AVE,16
131,131,L21,BMT,Canarsie,Bushwick Av - Aberdeen St,Bk,L,Subway,40.682829,-73.905249,BUSHWICK AVE,17
132,621,L22,BMT,Canarsie,Broadway Jct,Bk,L,Elevated,40.678856,-73.90324,BROADWAY-ENY,18
133,133,L24,BMT,Canarsie,Atlantic Av,Bk,L,Elevated,40.675345,-73.903097,ATLANTIC AVE,19
134,134,L25,BMT,Canarsie,Sutter Av,Bk,L,Elevated,40.669367,-73.901975,SUTTER AVE,20
135,135,L26,BMT,Canarsie,Livonia Av,Bk,L,Elevated,40.664038,-73.900571,LIVONIA AVE,21
136,136,L27,BMT,Canarsie,New Lots Av,Bk,L,Elevated,40.658733,-73.899232,NEW LOTS AVE,22
137,137,L28,BMT,Canarsie,E 105 St,Bk,L,At Grade,40.650573,-73.899485,EAST 105 ST,23
