image,imdb_score,link,X,Film,Year,Director.Filmmaker.Name,Location.Display.Text,LATITUDE,LONGITUDE,Borough,Neighborhood,Media,IMDB.LINK,director_name,duration,actor_2_name,gross,genres,actor_1_name,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,plot_keywords,budget,title_year,imdb_score
"https://images-na.ssl-images-amazon.com/images/M/MV5BMjM5MTQxMDk2Ml5BMl5BanBnXkFtZTgwODQ2MDc3NjE@._V1_SY1000_CR0,0,671,1000_AL_.jpg",6.5,?ref_=fn_tt_tt_1,87,Jungle Fever,1991,Spike Lee,Strivers' Row<br>Harlem<br>Manhattan,40.81803961,-73.94421637,Manhattan,Harlem,Film,,NA,NA,NA,NA,Romance,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4NDQ0NjgyNF5BMl5BanBnXkFtZTgwMTE3NTkxMTE@._V1_SY1000_SX675_AL_.jpg,8,http://imdb.com/title/tt0037884/?ref_=fn_tt_tt_1,188,The Lost Weekend,1945,Billy Wilder,Third Ave. from E. 55th to 110th St.<br>Upper East Side to E. Harlem<br>Manhattan,40.759,-73.9685,Manhattan,Upper East Side,Film,http://imdb.com/title/tt0037884/,Billy Wilder,101,Jane Wyman,NA,Drama,Ray Milland,The Lost Weekendâ_,24959,Frank Faylen,4,addiction|alcoholic|alcoholism|paranoia|suicidal thoughts,1250000,1945,8
"https://images-na.ssl-images-amazon.com/images/M/MV5BZTA5MDA4YjQtOWMyMC00N2FkLWEyYjAtN2M2ODBlMzIxYmM2XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SY1000_CR0,0,664,1000_AL_.jpg",7.4,http://imdb.com/title/tt0040366/?ref_=fn_tt_tt_1,57,Force of Evil,1948,Abraham Polonsky,George Washington Bridge<br>Manhattan,40.84936524,-73.94247293,Manhattan,Washington Heights,Film,http://imdb.com/title/tt0040366/,NA,NA,NA,NA,Crime,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://images-na.ssl-images-amazon.com/images/M/MV5BNjg0OTMyNjM4M15BMl5BanBnXkFtZTcwOTQ5MDIzMQ@@._V1_.jpg,8.3,http://imdb.com/title/tt0040636/?ref_=fn_tt_tt_1,189,The Naked City,1948,Jules Dassin,Williamsburg Bridge<br>Brooklyn,40.71132094,-73.96457434,Brooklyn,Brooklyn,Film,http://imdb.com/title/tt0040636/,NA,NA,NA,NA,Drama,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://images-na.ssl-images-amazon.com/images/M/MV5BNjk0YmVlNTQtZDg0NC00MGYyLWFhYTMtMTBlMzFkYjczMDMyXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SY1000_CR0,0,658,1000_AL_.jpg",7.6,http://imdb.com/title/tt0041716/?ref_=fn_tt_tt_1,124,On the Town,1949,"Stanley Donen,Gene Kelly",Little Italy<br>Manhattan,40.71813564,-73.99790883,Manhattan,Lower East Side,Film,http://imdb.com/title/tt0041716/,NA,NA,NA,NA,Comedy,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://images-na.ssl-images-amazon.com/images/M/MV5BMTMyNDM3Mjk2OV5BMl5BanBnXkFtZTcwMjE2MjEyMQ@@._V1_.jpg,8.7,http://imdb.com/title/tt0042114/?ref_=fn_tt_tt_1,182,The Honeymooners,1955,Frank Satenstein,358 Chauncy St.<br>Bensonhurst<br>Brooklyn,40.681501,-73.918753,Brooklyn,Brooklyn,TV,http://www.imdb.com/title/tt0042114/,,30,Art Carney,NA,Comedy,Jackie Gleason,The Honeymoonersâ_            ,3446,Joyce Randolph,4,1950s|bus driver|money scheme|poverty|sewer,NA,NA,8.7
https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0OTU0NTIwN15BMl5BanBnXkFtZTcwMjY0NTEyMQ@@._V1_.jpg,7.7,http://imdb.com/title/tt0046004/?ref_=fn_tt_tt_1,99,Little Fugitive,1953,"Morris Engel,Ruth Orkin,(more)",Coney Island<br>Brooklyn,40.57463602,-73.98080707,Brooklyn,Brooklyn,Film,http://imdb.com/title/tt0046004/,NA,NA,NA,NA,Drama,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://images-na.ssl-images-amazon.com/images/M/MV5BMjFiZDg3MDgtOTdiNC00ZGFiLWIyN2ItNDhkNGI5ZThkOTE3XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg,8.2,http://imdb.com/title/tt0047296/?ref_=fn_tt_tt_1,125,On the Waterfront,1954,Elia Kazan,"Hoboken, New Jersey<br>View of Manhattan",40.74712691,-74.02497768,Manhattan,New York Harbor,Film,http://imdb.com/title/tt0047296/,Elia Kazan,108,Karl Malden,9600000,Romance,Marlon Brando,On the Waterfrontâ_,100890,Rod Steiger,2,death|dock|longshoreman|murder|union,910000,1954,8.2
https://images-na.ssl-images-amazon.com/images/M/MV5BM2FiNjRlMWQtNDk0Ny00OTA0LWI0ZjEtNTM4NmZlZTllZDFlXkEyXkFqcGdeQXVyNjMxMzM3NDI@._V1_.jpg,6.7,http://imdb.com/title/tt0048254/?ref_=fn_tt_tt_1,89,Killer's Kiss,1957,Stanley Kubrick,Rooftops<br>Lower Manhattan,40.70821425,-74.01365876,Manhattan,Lower Manhattan,Film,http://imdb.com/title/tt0048254/,NA,NA,NA,NA,Crime,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://images-na.ssl-images-amazon.com/images/M/MV5BMTY4NDI3NDU0MV5BMl5BanBnXkFtZTgwNTk0MDgyMTE@._V1_.jpg,7.7,http://imdb.com/title/tt0048356/?ref_=fn_tt_tt_1,106,Marty,1955,Delbert Mann,The Bronx,40.839742,-73.880923,The Bronx,The Bronx,Film,http://imdb.com/title/tt0048356/,NA,NA,NA,NA,Romance,NA,NA,NA,NA,NA,NA,NA,NA,NA
