title,clue,date,year,answer,day
 ,Lose one's footing, February 17, 2014,SLIP, Monday
 ,Bruins' sch., February 17, 2014,UCLA, Monday
 ,Sewing machine inventor Howe, February 17, 2014,ELIAS, Monday
 ,Dialogue unit, February 17, 2014,LINE, Monday
 ,Bridge, February 17, 2014,SPAN, Monday
 ,Lone Ranger's sidekick, February 17, 2014,TONTO, Monday
 ,1989 John Hughes movie starring John Candy, February 17, 2014,UNCLEBUCK, Monday
 ,Concluding notations, February 17, 2014,CODAS, Monday
 ,Took to the slopes, February 17, 2014,SKIED, Monday
 ,Accepts punishment unflinchingly, February 17, 2014,TAKESIT, Monday
 ,Contains, February 17, 2014,HAS, Monday
 ,"""There, there ... stop crying""", February 17, 2014,NOMORETEARS, Monday
 ,Vain person's problem, February 17, 2014,EGO, Monday
 ,Letters before an alias, February 17, 2014,AKA, Monday
 ,"35, as a minimum to be U.S. president", February 17, 2014,AGE, Monday
 ,"""___ on your life!""", February 17, 2014,NOT, Monday
 ,Belgrade resident, February 17, 2014,SERB, Monday
 ,Volcanic debris, February 17, 2014,ASH, Monday
 ,"Many a dreadlocks wearer, informally", February 17, 2014,RASTA, Monday
 ,"Paul McCartney/Michael Jackson hit ... or a hint to the starts of 17-, 24-. 57- and 65-Across", February 17, 2014,SAYSAYSAY, Monday
 ,"Like one's voice when one has a cold, maybe", February 17, 2014,NASAL, Monday
 ,Letter after ess, February 17, 2014,TEE, Monday
 ,Biblical garden, February 17, 2014,EDEN, Monday
 ,"""Incidentally,"" in a text", February 17, 2014,BTW, Monday
 ,"The ""L"" in 5-Across", February 17, 2014,LOS, Monday
 ,Spinks foe, February 17, 2014,ALI, Monday
 ,Gobbled up, February 17, 2014,ATE, Monday
 ,Snack that leaves the fingers orange, February 17, 2014,CHEESECURLS, Monday
 ,Puppy's cry, February 17, 2014,YIP, Monday
 ,"1996 Mario Puzo novel, with ""The""", February 17, 2014,LASTDON, Monday
 ,Door fastener, February 17, 2014,LATCH, Monday
 ,Vice ___, February 17, 2014,VERSA, Monday
 ,"""This is just ridiculous!""", February 17, 2014,WHATAJOKE, Monday
 ,Animal cavorting by a stream, February 17, 2014,OTTER, Monday
 ,"""Mona ___""", February 17, 2014,LISA, Monday
 ,Once again, February 17, 2014,ANEW, Monday
 ,Boxer Spinks and others, February 17, 2014,LEONS, Monday
 ,Tater, February 17, 2014,SPUD, Monday
 ,"""Darn it all!""", February 17, 2014,RATS, Monday
 ,Fruit-flavored ice drinks, February 17, 2014,SLUSHES, Monday
 ,Connection, February 17, 2014,LINKAGE, Monday
 ,Front tooth, February 17, 2014,INCISOR, Monday
 ,One-named soccer star, February 17, 2014,PELE, Monday
 ,___ port (computer feature), February 17, 2014,USB, Monday
 ,"Heart of a computer, for short", February 17, 2014,CPU, Monday
 ,Milk: Prefix, February 17, 2014,LACTO, Monday
 ,Turkey's capital, February 17, 2014,ANKARA, Monday
 ,And so on, February 17, 2014,ETCETERA, Monday
 ,Tight's opposite, February 17, 2014,LOOSE, Monday
 ,Mumbai residents, February 17, 2014,INDIANS, Monday
 ,With some speed, February 17, 2014,ATATROT, Monday
 ,Emergency call, February 17, 2014,SOS, Monday
 ,Poet ___ St. Vincent Millay, February 17, 2014,EDNA, Monday
 ,Frat party fixture, February 17, 2014,KEG, Monday
 ,"""Fine by me""", February 17, 2014,OKAY, Monday
 ,"The ""m"" in E = mc^2", February 17, 2014,MASS, Monday
 ,Train stop: Abbr., February 17, 2014,STA, Monday
 ,Troop grp., February 17, 2014,BSA, Monday
 ,It may be tipped as a sign of respect, February 17, 2014,HAT, Monday
 ,Captain's affirmative, February 17, 2014,AYE, Monday
 ,"Best of the best, sportswise", February 17, 2014,ALLSTARS, Monday
 ,Calendar's scope, February 17, 2014,YEAR, Monday
 ,Buy's opposite, February 17, 2014,SELL, Monday
 ,Jimmy Fallon's network, February 17, 2014,NBC, Monday
 ,"Olympian, e.g.", February 17, 2014,ATHLETE, Monday
 ,Solemnly affirm, February 17, 2014,SWEARTO, Monday
 ,Nascar race locale, February 17, 2014,DAYTONA, Monday
 ,"Printout taken to the airport, maybe", February 17, 2014,ETICKET, Monday
 ,"Huey, Dewey and Louie, to Donald", February 17, 2014,NEPHEWS, Monday
 ,"Ref. with about 22,000 pages", February 17, 2014,OED, Monday
 ,Looks of displeasure, February 17, 2014,SCOWLS, Monday
 ,"""La ___ Bonita"" (1987 Madonna hit)", February 17, 2014,ISLA, Monday
 ,Ruhr Valley city, February 17, 2014,ESSEN, Monday
 ,Not cool, February 17, 2014,UNHIP, Monday
 ,Slightly open, February 17, 2014,AJAR, Monday
 ,Remote button abbr., February 17, 2014,VOL, Monday
 ,Sun Devils' sch., February 17, 2014,ASU, Monday
 ,Smidgen, February 17, 2014,TAD, Monday
IT WAS 50 YEARS AGO TODAY,"Cellphones, in Britain", February 9, 2014,MOBILES, Sunday
IT WAS 50 YEARS AGO TODAY,Alone, February 9, 2014,APART, Sunday
IT WAS 50 YEARS AGO TODAY,"13-Down, in Dresden", February 9, 2014,STRASSE, Sunday
IT WAS 50 YEARS AGO TODAY,A debater takes it, February 9, 2014,ONESIDE, Sunday
IT WAS 50 YEARS AGO TODAY,Jazz count?, February 9, 2014,BASIE, Sunday
IT WAS 50 YEARS AGO TODAY,In that direction, February 9, 2014,THITHER, Sunday
IT WAS 50 YEARS AGO TODAY,One favoring a strong central government, February 9, 2014,STATIST, Sunday
IT WAS 50 YEARS AGO TODAY,___ Vista, February 9, 2014,BUENA, Sunday
IT WAS 50 YEARS AGO TODAY,Turns in, February 9, 2014,REDEEMS, Sunday
IT WAS 50 YEARS AGO TODAY,Film terrier, February 9, 2014,TOTO, Sunday
IT WAS 50 YEARS AGO TODAY,"Bar order, with ""the""", February 9, 2014,USUAL, Sunday
IT WAS 50 YEARS AGO TODAY,Sadness, February 9, 2014,GRIEF, Sunday
IT WAS 50 YEARS AGO TODAY,Narrow cut, February 9, 2014,SLIT, Sunday
IT WAS 50 YEARS AGO TODAY,Move in an ungainly way, February 9, 2014,LOLLOP, Sunday
IT WAS 50 YEARS AGO TODAY,"Mine, in Madrid", February 9, 2014,MIO, Sunday
IT WAS 50 YEARS AGO TODAY,Cherished by, February 9, 2014,DEARTO, Sunday
IT WAS 50 YEARS AGO TODAY,Literary inits., February 9, 2014,TSE, Sunday
IT WAS 50 YEARS AGO TODAY,It's below the humerus, February 9, 2014,ULNA, Sunday
IT WAS 50 YEARS AGO TODAY,Trig. function, February 9, 2014,COS, Sunday
IT WAS 50 YEARS AGO TODAY,"""Let ___""", February 9, 2014,ITBE, Sunday
IT WAS 50 YEARS AGO TODAY,___ deferens, February 9, 2014,VAS, Sunday
IT WAS 50 YEARS AGO TODAY,Dweller on the Red Sea, February 9, 2014,YEMENI, Sunday
IT WAS 50 YEARS AGO TODAY,Less than right, February 9, 2014,ACUTE, Sunday
IT WAS 50 YEARS AGO TODAY,Crme de la crme, February 9, 2014,FINEST, Sunday
IT WAS 50 YEARS AGO TODAY,1996-2001 show featuring home videos, February 9, 2014,REALTV, Sunday
IT WAS 50 YEARS AGO TODAY,Actress Gardner, February 9, 2014,AVA, Sunday
IT WAS 50 YEARS AGO TODAY,The People's Champion, February 9, 2014,ALI, Sunday
IT WAS 50 YEARS AGO TODAY,"""The Battleship Potemkin"" locale", February 9, 2014,ODESSA, Sunday
IT WAS 50 YEARS AGO TODAY,An O'Neill, February 9, 2014,OONA, Sunday
IT WAS 50 YEARS AGO TODAY,More appropriate, February 9, 2014,APTER, Sunday
IT WAS 50 YEARS AGO TODAY,Houston sch., February 9, 2014,RICEU, Sunday
IT WAS 50 YEARS AGO TODAY,Followers of exes, February 9, 2014,WYES, Sunday
IT WAS 50 YEARS AGO TODAY,"Detour, e.g.", February 9, 2014,NUISANCE, Sunday
IT WAS 50 YEARS AGO TODAY,Coal distillate, February 9, 2014,TAR, Sunday
IT WAS 50 YEARS AGO TODAY,Announcer's aid, February 9, 2014,EARPHONE, Sunday
IT WAS 50 YEARS AGO TODAY,Plural French word that spells its singular English form in reverse, February 9, 2014,ETATS, Sunday
IT WAS 50 YEARS AGO TODAY,Much of the audience for 6-Down's show on 2/9/64, February 9, 2014,TEENAGERS, Sunday
IT WAS 50 YEARS AGO TODAY,Trounces, February 9, 2014,ROUTS, Sunday
IT WAS 50 YEARS AGO TODAY,"""When ___ younger, so much younger ..."" (""Help!"" lyric)", February 9, 2014,IWAS, Sunday
IT WAS 50 YEARS AGO TODAY,"More modern, in Munich", February 9, 2014,NEUER, Sunday
IT WAS 50 YEARS AGO TODAY,Relative of a convertible, February 9, 2014,TTOP, Sunday
IT WAS 50 YEARS AGO TODAY,Part of a train from a refinery, February 9, 2014,OILCAR, Sunday
IT WAS 50 YEARS AGO TODAY,"Servant, e.g.", February 9, 2014,OBEYER, Sunday
IT WAS 50 YEARS AGO TODAY,"""Why ___ so shy when ...?"" (""It's Only Love"" lyric)", February 9, 2014,AMI, Sunday
IT WAS 50 YEARS AGO TODAY,Snack chip, February 9, 2014,NACHO, Sunday
IT WAS 50 YEARS AGO TODAY,Nest on a cliff, February 9, 2014,AERIE, Sunday
IT WAS 50 YEARS AGO TODAY,Author Umberto, February 9, 2014,ECO, Sunday
IT WAS 50 YEARS AGO TODAY,Dave Clark ___, February 9, 2014,FIVE, Sunday
IT WAS 50 YEARS AGO TODAY,"""___ the time ...""", February 9, 2014,MANYS, Sunday
IT WAS 50 YEARS AGO TODAY,Playwright Fugard, February 9, 2014,ATHOL, Sunday
IT WAS 50 YEARS AGO TODAY,General ___ chicken, February 9, 2014,TSOS, Sunday
IT WAS 50 YEARS AGO TODAY,"Attractive legs, in slang", February 9, 2014,STEMS, Sunday
IT WAS 50 YEARS AGO TODAY,"""Yuck!""", February 9, 2014,BLEH, Sunday
IT WAS 50 YEARS AGO TODAY,"Actor Hemsworth of ""The Hunger Games""", February 9, 2014,LIAM, Sunday
IT WAS 50 YEARS AGO TODAY,Bold, February 9, 2014,GUTSY, Sunday
IT WAS 50 YEARS AGO TODAY,"Stuck, after ""in""", February 9, 2014,ARUT, Sunday
