gross,date_c,name,rate,budget,Director,length,actors,open_week,year,genre
"        $37,371,385        

      ","R,2011-03-18",Paul,"7.0 based on 201,169 user ratings","        $40,000,000        

      ",Greg Mottola,PT104M,"Simon Pegg,Nick Frost,Seth Rogen","         £5,517,121        

      (UK)
      ",2011,"Adventure,Comedy,Sci-Fi"
"        $55,092,830        

      ","PG-13,2011-02-18",I Am Number Four,"6.1 based on 202,302 user ratings","        $60,000,000        

      ",D.J. Caruso,PT109M,"Alex Pettyfer,Timothy Olyphant,Dianna Agron","         $22,755,854        

      (USA)
      ",2011,"Action,Adventure,Sci-Fi"
"        $107,930,000        

      ","R,1994-10-14",Pulp Fiction,"8.9 based on 1,413,929 user ratings","        $8,000,000        

      ",Quentin Tarantino,PT154M,"John Travolta,Uma Thurman,Samuel L. Jackson","         £4,243,233        

      (UK)
      ",1994,"Crime,Drama"
"        $117,528,646        

      ","R,2011-07-08",Horrible Bosses,"6.9 based on 367,874 user ratings","        $35,000,000        

      ",Seth Gordon,PT98M,"Jason Bateman,Charlie Day,Jason Sudeikis","         $28,302,165        

      (USA)
      ",2011,"Comedy,Crime"
"        $67,128,202        

      ","PG,2009-03-13",Race to Witch Mountain,"5.7 based on 45,506 user ratings","        $65,000,000        

      ",Andy Fickman,PT98M,"Dwayne Johnson,Carla Gugino,AnnaSophia Robb","         $24,402,214        

      (USA)
      ",2009,"Action,Adventure,Family"
"        $102,413,606        

      ","PG-13,2014-09-19",The Maze Runner,"6.8 based on 334,571 user ratings","        $34,000,000        

      ",Wes Ball,PT113M,"Dylan O'Brien,Kaya Scodelario,Will Poulter","         $32,512,804        

      (USA)
      ",2014,"Action,Mystery,Sci-Fi"
"        $16,204,793        

      ","R,2009-09-18",Jennifer's Body,"5.1 based on 96,446 user ratings","        $16,000,000        

      ",Karyn Kusama,PT102M,"Megan Fox,Amanda Seyfried,Adam Brody","         $6,868,397        

      (USA)
      ",2009,"Comedy,Horror"
"        $137,850,096        

      ","PG,2009-11-06",A Christmas Carol,"6.8 based on 79,063 user ratings","        $200,000,000        

      ",Robert Zemeckis,PT96M,"Jim Carrey,Gary Oldman,Colin Firth","         £1,917,539        

      (UK)
      ",2009,"Animation,Drama,Family"
"        $5,247        

      ","R,2012-10-25",Universal Soldier: Day of Reckoning,"5.0 based on 16,790 user ratings","        $11,500,000        

      ",John Hyams,PT114M,"Jean-Claude Van Damme,Dolph Lundgren,Scott Adkins","         $3,181        

      (USA)
      ",2012,"Action,Horror,Mystery"
"        $125,305,545        

      ","PG-13,2000-11-03",Charlie's Angels,"5.5 based on 150,357 user ratings","        $93,000,000        

      ",McG,PT98M,"Cameron Diaz,Drew Barrymore,Lucy Liu","         $40,128,550        

      (USA)
      ",2000,"Action,Adventure,Comedy"
"        $15,045,676        

      ","PG-13,2009-11-06",The Box,"5.6 based on 78,686 user ratings","        $16,000,000        

      ",Richard Kelly,PT115M,"Cameron Diaz,James Marsden,Frank Langella","         $7,571,417        

      (USA)
      ",2009,"Drama,Fantasy,Mystery"
"        $40,568,025        

      ","PG-13,1998-10-23",Pleasantville,"7.5 based on 106,852 user ratings","        $40,000,000        

      ",Gary Ross,PT124M,"Tobey Maguire,Jeff Daniels,Joan Allen","         $8,855,063        

      (USA)
      ",1998,"Comedy,Drama,Fantasy"
"        $24,362,501        

      ","R,1999-07-09",Arlington Road,"7.2 based on 72,187 user ratings","        $31,000,000        

      ",Mark Pellington,PT117M,"Jeff Bridges,Tim Robbins,Joan Cusack","         £527,427        

      (UK)
      ",1999,"Crime,Drama,Thriller"
"        $40,064,955        

      ","R,1998-12-25",The Faculty,"6.4 based on 95,345 user ratings","        $15,000,000        

      ",Robert Rodriguez,PT104M,"Jordana Brewster,Clea DuVall,Laura Harris","         $11,633,495        

      (USA)
      ",1998,"Horror,Sci-Fi"
"        $36,283,504        

      ","R,1999-02-26",8MM,"6.5 based on 107,742 user ratings","        $40,000,000        

      ",Joel Schumacher,PT123M,"Nicolas Cage,Joaquin Phoenix,James Gandolfini","         $14,252,888        

      (USA)
      ",1999,"Mystery,Thriller"
,"R,2013-07-19",Eden,"6.7 based on 6,921 user ratings",,Megan Griffiths,PT98M,"Jamie Chung,Beau Bridges,Matt O'Leary",,2012,"Crime,Drama"
"        $1,243,961        

      ","R,2012-11-02","For a Good Time, Call...","6.0 based on 13,955 user ratings","        $850,000        

      ",Jamie Travis,PT85M,"Ari Graynor,Lauren Miller,Justin Long","         $143,935        

      (USA)
      ",2012,Comedy
"        $2,384,044        

      ","NOT RATED,2009-09-04",In the Loop,"7.5 based on 46,123 user ratings","        £612,650        

      ",Armando Iannucci,PT106M,"Tom Hollander,Peter Capaldi,James Gandolfini","         £468,954        

      (UK)
      ",2009,Comedy
"        $3,074,838        

      ","R,2010-03-26",Chloe,"6.3 based on 58,869 user ratings","        $11,000,000        

      ",Atom Egoyan,PT96M,"Julianne Moore,Amanda Seyfried,Liam Neeson","         £135,540        

      (UK)
      ",2009,"Drama,Mystery,Romance"
"        $75,530,832        

      ","R,1999-12-22",Any Given Sunday,"6.8 based on 100,237 user ratings","        $55,000,000        

      ",Oliver Stone,PT162M,"Al Pacino,Dennis Quaid,Cameron Diaz","         $13,584,625        

      (USA)
      ",1999,"Drama,Sport"
"        $161,487,252        

      ","PG-13,1998-11-06",The Waterboy,"6.1 based on 124,951 user ratings","        $20,000,000        

      ",Frank Coraci,PT90M,"Adam Sandler,Kathy Bates,Henry Winkler","         $39,414,071        

      (USA)
      ",1998,"Comedy,Sport"
"        $55,350,897        

      ","PG-13,1998-10-02",What Dreams May Come,"7.0 based on 87,027 user ratings","        $85,000,000        

      ",Vincent Ward,PT113M,"Robin Williams,Cuba Gooding Jr.,Annabella Sciorra","         $15,833,592        

      (USA)
      ",1998,"Drama,Fantasy,Romance"
"        $100,241,322        

      ","R,1999-01-08",Shakespeare in Love,"7.2 based on 183,355 user ratings","        $25,000,000        

      ",John Madden,PT123M,"Gwyneth Paltrow,Joseph Fiennes,Geoffrey Rush","         $224,012        

      (USA)
      ",1998,"Comedy,Drama,History"
"        $17,278,980        

      ","R,1998-01-16",Half Baked,"6.7 based on 50,048 user ratings","        $8,000,000        

      ",Tamra Davis,PT82M,"Dave Chappelle,Guillermo Díaz,Jim Breuer","         $7,772,540        

      (USA)
      ",1998,"Comedy,Crime"
"        $22,905,674        

      ","R,1998-09-11",Rounders,"7.4 based on 126,263 user ratings","        $12,000,000        

      ",John Dahl,PT121M,"Matt Damon,Edward Norton,Gretchen Mol","         $8,459,126        

      (USA)
      ",1998,"Crime,Drama"
"        $77,264,926        

      ","PG,2012-12-25",Parental Guidance,"6.1 based on 21,932 user ratings","        $25,000,000        

      ",Andy Fickman,PT105M,"Billy Crystal,Bette Midler,Marisa Tomei","         $14,554,053        

      (USA)
      ",2012,"Comedy,Family"
"        $72,219,395        

      ","R,1997-10-17",I Know What You Did Last Summer,"5.6 based on 110,385 user ratings","        $17,000,000        

      ",Jim Gillespie,PT101M,"Jennifer Love Hewitt,Sarah Michelle Gellar,Anne Heche","         $15,818,645        

      (USA)
      ",1997,"Horror,Mystery,Thriller"
"        $101,470,202        

      ","R,2013-06-12",This Is the End,"6.6 based on 327,069 user ratings","        $32,000,000        

      ",Evan Goldberg,PT107M,"James Franco,Jonah Hill,Seth Rogen","         $20,719,162        

      (USA)
      ",2013,"Comedy,Fantasy"
"        $57,300,000        

      ","R,1974-12-20",The Godfather: Part II,"9.0 based on 848,565 user ratings","        $13,000,000        

      ",Francis Ford Coppola,PT202M,"Al Pacino,Robert De Niro,Robert Duvall",,1974,"Crime,Drama"
"        $290,158,751        

      ","PG,1980-06-20",Star Wars: Episode V - The Empire Strikes Back,"8.8 based on 902,095 user ratings","        $18,000,000        

      ",Irvin Kershner,PT124M,"Mark Hamill,Harrison Ford,Carrie Fisher","         ITL 609,584,000        

      (Italy)
      ",1980,"Action,Adventure,Fantasy"
"        $64,423,650        

      ","R,2013-06-07",The Purge,"5.7 based on 154,131 user ratings","        $3,000,000        

      ",James DeMonaco,PT85M,"Ethan Hawke,Lena Headey,Max Burkholder","         $34,058,360        

      (USA)
      ",2013,"Horror,Sci-Fi,Thriller"
"        $42,919,096        

      ","PG-13,2013-02-22",Snitch,"6.5 based on 67,954 user ratings","        $15,000,000        

      ",Ric Roman Waugh,PT112M,"Dwayne Johnson,Susan Sarandon,Jon Bernthal","         $13,167,607        

      (USA)
      ",2013,"Action,Drama,Thriller"
"        $26,183,197        

      ","R,2003-04-04",A Man Apart,"6.1 based on 39,779 user ratings","        $36,000,000        

      ",F. Gary Gray,PT109M,"Vin Diesel,Timothy Olyphant,Larenz Tate","         £527,730        

      (UK)
      ",2003,"Action,Crime,Drama"
,"R,2012-09-20",Bait,"5.2 based on 12,353 user ratings","        AUD 30,000,000        

      ",Kimble Rendall,PT93M,"Richard Brancatisano,Xavier Samuel,Chris Betts",,2012,"Action,Horror,Sci-Fi"
"        $112,000,000        

      ","R,1975-11-19",One Flew Over the Cuckoo's Nest,"8.7 based on 723,657 user ratings","        $4,400,000        

      ",Milos Forman,PT133M,"Jack Nicholson,Louise Fletcher,Michael Berryman",,1975,Drama
"        $32,878,486        

      ","PG-13,2007-08-29",Balls of Fury,"5.3 based on 36,719 user ratings",,Robert Ben Garant,PT90M,"Dan Fogler,Christopher Walken,George Lopez","         $14,312,850        

      (USA)
      ",2007,"Comedy,Crime,Sport"
"        $55,682,070        

      ","R,2013-01-25",Hansel & Gretel: Witch Hunters,"6.1 based on 167,566 user ratings","        $50,000,000        

      ",Tommy Wirkola,PT88M,"Jeremy Renner,Gemma Arterton,Peter Stormare","         $19,690,956        

      (USA)
      ",2013,"Action,Fantasy,Horror"
"        $14,373,825        

      ","R,2007-11-30",Awake,"6.5 based on 65,216 user ratings","        $8,600,000        

      ",Joby Harold,PT84M,"Hayden Christensen,Jessica Alba,Terrence Howard","         $5,856,872        

      (USA)
      ",2007,"Crime,Mystery,Thriller"
"        $17,427,926        

      ","R,2008-04-04",The Ruins,"5.9 based on 61,701 user ratings","        $8,000,000        

      ",Carter Smith,PT90M,"Shawn Ashmore,Jena Malone,Jonathan Tucker","         $8,003,241        

      (USA)
      ",2008,Horror
"        $38,536,376        

      ","PG,2011-08-19",Spy Kids: All the Time in the World in 4D,"3.6 based on 16,803 user ratings","        $27,000,000        

      ",Robert Rodriguez,PT89M,"Jessica Alba,Jeremy Piven,Joel McHale","         $11,644,672        

      (USA)
      ",2011,"Action,Adventure,Comedy"
"        $34,522,221        

      ","PG-13,2011-09-30",Courageous,"7.0 based on 16,127 user ratings","        $2,000,000        

      ",Alex Kendrick,PT129M,"Alex Kendrick,Ken Bevel,Kevin Downes","         $9,063,147        

      (USA)
      ",2011,Drama
"        $12,555,230        

      ","R,2012-03-09",Silent House,"5.3 based on 19,206 user ratings","        $2,000,000        

      ",Chris Kentis,PT86M,"Elizabeth Olsen,Adam Trese,Eric Sheffer Stevens","         $6,661,234        

      (USA)
      ",2011,"Drama,Horror,Mystery"
"        $32,983,713        

      ","R,2002-11-22",Friday After Next,"5.8 based on 20,602 user ratings","        $10,000,000        

      ",Marcus Raboy,PT85M,"Ice Cube,Mike Epps,John Witherspoon","         $13,010,767        

      (USA)
      ",2002,"Comedy,Drama"
"        $69,586,544        

      ","PG-13,2002-06-07",Divine Secrets of the Ya-Ya Sisterhood,"6.0 based on 15,811 user ratings","        $27,000,000        

      ",Callie Khouri,PT116M,"Sandra Bullock,Ellen Burstyn,Fionnula Flanagan","         $16,167,412        

      (USA)
      ",2002,Drama
"        $43,532,294        

      ","PG,2006-12-22",We Are Marshall,"7.1 based on 49,145 user ratings","        $65,000,000        

      ",McG,PT131M,"Matthew McConaughey,Matthew Fox,Anthony Mackie","         $8,582,508        

      (USA)
      ",2006,"Drama,Sport"
"        $26,870,825        

      ","PG-13,2006-04-28",Stick It,"6.4 based on 23,391 user ratings",,Jessica Bendinger,PT103M,"Missy Peregrym,Jeff Bridges,Vanessa Lengies","         $10,803,610        

      (USA)
      ",2006,"Comedy,Drama,Sport"
"        $82,931,301        

      ","PG-13,2005-05-13",Monster-in-Law,"5.5 based on 45,859 user ratings","        $60,000,000        

      ",Robert Luketic,PT101M,"Jennifer Lopez,Michael Vartan,Jane Fonda","         £1,312,679        

      (UK)
      ",2005,"Comedy,Romance"
"        $15,071,514        

      ","PG-13,2007-08-17",The Invasion,"5.9 based on 66,964 user ratings","        $80,000,000        

      ",Oliver Hirschbiegel,PT99M,"Nicole Kidman,Daniel Craig,Jeremy Northam","         $5,951,409        

      (USA)
      ",2007,"Sci-Fi,Thriller"
"        $17,508,670        

      ","R,2007-01-26",Notes on a Scandal,"7.4 based on 66,473 user ratings","        $15,000,000        

      ",Richard Eyre,PT92M,"Cate Blanchett,Judi Dench,Andrew Simpson","         $5,090        

      (USA)
      ",2006,"Crime,Drama,Romance"
"        $23,643,531        

      ","PG-13,2006-09-01",The Wicker Man,"3.7 based on 55,376 user ratings","        $40,000,000        

      ",Neil LaBute,PT102M,"Nicolas Cage,Ellen Burstyn,Leelee Sobieski","         £736,316        

      (UK)
      ",2006,"Horror,Mystery,Thriller"
"        $47,860,214        

      ","PG-13,2006-02-03",When a Stranger Calls,"5.0 based on 36,357 user ratings","        $15,000,000        

      ",Simon West,PT87M,"Camilla Belle,Tommy Flanagan,Katie Cassidy","         $21,607,203        

      (USA)
      ",2006,"Horror,Thriller"
,"R,2013-05-17",The Liability,"5.9 based on 6,595 user ratings",,Craig Viveiros,PT82M,"Tim Roth,Jack O'Connell,Peter Mullan",,2012,"Comedy,Crime,Thriller"
"        $2,034        

      ","R,2012-03-02",ATM,"4.7 based on 19,715 user ratings","        $3,000,000        

      ",David Brooks,PT90M,"Alice Eve,Josh Peck,Brian Geraghty","         $2,034        

      (USA)
      ",2012,"Horror,Thriller"
"        $70,236,496        

      ","PG-13,2006-08-09",World Trade Center,"6.0 based on 69,552 user ratings","        $63,000,000        

      ",Oliver Stone,PT129M,"Nicolas Cage,Michael Peña,Maria Bello","         $18,730,762        

      (USA)
      ",2006,"Drama,History,Thriller"
"        $45,267        

      ","R,2013-06-07",Wish You Were Here,"5.9 based on 4,498 user ratings","        AUD 2,500,000        

      ",Kieran Darcy-Smith,PT89M,"Joel Edgerton,Teresa Palmer,Felicity Price","         $25,937        

      (USA)
      ",2012,"Drama,Mystery"
"        $12,899,702        

      ","R,2007-01-26",Volver,"7.6 based on 80,320 user ratings","        €7,450,000        

      ",Pedro Almodóvar,PT121M,"Penélope Cruz,Carmen Maura,Lola Dueñas","         $631,701        

      (Spain)
      ",2006,"Comedy,Crime,Drama"
"        $4,330        

      ","R,2012-05-17",Brake,"6.1 based on 10,317 user ratings","        $500,000        

      ",Gabe Torres,PT92M,"Stephen Dorff,Chyler Leigh,JR Bourne","         $4,330        

      (USA)
      ",2012,Thriller
"        $1,641        

      ","R,2012-08-17",Why Stop Now?,"5.6 based on 6,671 user ratings",,Phil Dorling,PT85M,"Jesse Eisenberg,Melissa Leo,Tracy Morgan","         $1,641        

      (USA)
      ",2012,"Comedy,Drama"
"        $19,316,646        

      ","R,2013-10-04",Runner Runner,"5.6 based on 54,212 user ratings","        $30,000,000        

      ",Brad Furman,PT88M,"Ben Affleck,Justin Timberlake,Gemma Arterton","         $7,706,712        

      (USA)
      ",2013,"Crime,Thriller"
"        $3,376,905        

      ","PG-13,2012-08-08",Nitro Circus: The Movie,"6.7 based on 5,199 user ratings",,Gregg Godfrey,PT92M,"Travis Pastrana,Tommy Passemante,Jeremy Rawle","         $1,183,701        

      (USA)
      ",2012,"Documentary,Action,Comedy"
,2012-06-06,Ill Manors,"7.1 based on 8,783 user ratings","        £100,000        

      ",Plan B,PT121M,"Riz Ahmed,Ed Skrein,Lee Allen",,2012,"Crime,Drama"
"        $30,920,167        

      ","PG-13,2012-01-13",Joyful Noise,"5.7 based on 6,898 user ratings","        $25,000,000        

      ",Todd Graff,PT118M,"Queen Latifah,Dolly Parton,Keke Palmer","         $11,225,190        

      (USA)
      ",2012,"Comedy,Drama,Music"
,"R,2013-07-11",The Frozen Ground,"6.4 based on 46,121 user ratings","        $27,220,000        

      ",Scott Walker,PT105M,"Nicolas Cage,Vanessa Hudgens,John Cusack",,2013,"Crime,Drama,Mystery"
"        $52,691,009        

      ","PG,2011-03-25",Diary of a Wimpy Kid: Rodrick Rules,"6.6 based on 20,049 user ratings","        $21,000,000        

      ",David Bowers,PT99M,"Zachary Gordon,Devon Bostick,Robert Capron","         $23,751,502        

      (USA)
      ",2011,"Comedy,Family"
"        $9,639,242        

      ","PG-13,2011-09-16",I Don't Know How She Does It,"4.9 based on 17,134 user ratings","        $24,000,000        

      ",Douglas McGrath,PT89M,"Sarah Jessica Parker,Pierce Brosnan,Kelsey Grammer","         $4,402,201        

      (USA)
      ",2011,"Comedy,Romance"
"        $23,036,320        

      ","PG-13,2009-04-24",Fighting,"5.6 based on 28,523 user ratings",,Dito Montiel,PT105M,"Channing Tatum,Terrence Howard,Luis Guzmán","         $11,024,370        

      (USA)
      ",2009,"Action,Drama,Sport"
"        $28,995,450        

      ","PG,2010-08-20",Nanny McPhee Returns,"6.1 based on 21,023 user ratings","        $35,000,000        

      ",Susanna White,PT109M,"Emma Thompson,Maggie Gyllenhaal,Ralph Fiennes","         £2,586,760        

      (UK)
      ",2010,"Comedy,Family,Fantasy"
"        $10,268,846        

      ","R,2009-09-11",Whiteout,"5.5 based on 33,026 user ratings","        $35,000,000        

      ",Dominic Sena,PT101M,"Kate Beckinsale,Gabriel Macht,Tom Skerritt","         £150,995        

      (UK)
      ",2009,"Action,Crime,Mystery"
"        $18,860,403        

      ","PG-13,2011-09-02",Shark Night 3D,"4.0 based on 21,487 user ratings","        $25,000,000        

      ",David R. Ellis,PT90M,"Sara Paxton,Dustin Milligan,Chris Carmack","         $8,404,260        

      (USA)
      ",2011,"Horror,Thriller"
"        $26,161,406        

      ","G,2010-07-23",Ramona and Beezus,"6.7 based on 14,490 user ratings","        $15,000,000        

      ",Elizabeth Allen Rosenbaum,PT103M,"Joey King,Selena Gomez,Bridget Moynahan","         $7,810,481        

      (USA)
      ",2010,"Adventure,Comedy,Family"
"        $40,559,930        

      ","PG-13,2009-03-20",Duplicity,"6.2 based on 42,693 user ratings","        $60,000,000        

      ",Tony Gilroy,PT125M,"Julia Roberts,Clive Owen,Tom Wilkinson","         £796,244        

      (UK)
      ",2009,"Comedy,Crime,Romance"
"        $5,998,971        

      ","PG-13,2008-03-28","Run, Fatboy, Run","6.6 based on 60,116 user ratings",,David Schwimmer,PT100M,"Simon Pegg,Thandie Newton,Hank Azaria","         £2,010,250        

      (UK)
      ",2007,"Comedy,Romance,Sport"
"        $27,669,413        

      ","R,2009-10-23",Saw VI,"6.0 based on 80,596 user ratings","        $11,000,000        

      ",Kevin Greutert,PT90M,"Tobin Bell,Costas Mandylor,Mark Rolston","         £1,736,287        

      (UK)
      ",2009,"Horror,Mystery"
"        $6,409,206        

      ","PG-13,2008-08-20",The Rocker,"6.2 based on 33,230 user ratings","        $15,000,000        

      ",Peter Cattaneo,PT102M,"Rainn Wilson,Josh Gad,Christina Applegate","         $2,636,048        

      (USA)
      ",2008,"Comedy,Music"
"        $15,709,385        

      ","R,2008-10-24",Pride and Glory,"6.7 based on 54,422 user ratings","        $30,000,000        

      ",Gavin O'Connor,PT130M,"Edward Norton,Colin Farrell,Noah Emmerich","         $6,262,396        

      (USA)
      ",2008,"Crime,Drama,Thriller"
"        $25,871,834        

      ","PG-13,2008-03-28",Superhero Movie,"4.5 based on 54,250 user ratings","        $35,000,000        

      ",Craig Mazin,PT75M,"Drake Bell,Leslie Nielsen,Sara Paxton","         $9,510,297        

      (USA)
      ",2008,"Action,Comedy,Sci-Fi"
"        $26,896,744        

      ","PG-13,2008-09-12",The Women,"4.9 based on 17,277 user ratings","        $16,500,000        

      ",Diane English,PT114M,"Meg Ryan,Eva Mendes,Annette Bening","         £865,310        

      (UK)
      ",2008,"Comedy,Drama"
"        $4,597,760        

      ","R,2008-04-25",Deception,"6.1 based on 33,781 user ratings","        $25,000,000        

      ",Marcel Langenegger,PT107M,"Hugh Jackman,Ewan McGregor,Michelle Williams","         £255,958        

      (UK)
      ",2008,"Crime,Drama,Mystery"
"        $12,055,108        

      ","R,2009-04-17",Sunshine Cleaning,"6.9 based on 62,903 user ratings","        $8,000,000        

      ",Christine Jeffs,PT91M,"Amy Adams,Emily Blunt,Alan Arkin","         $219,190        

      (USA)
      ",2008,"Comedy,Drama"
"        $10,011,274        

      ","PG,2008-02-29",Penelope,"6.8 based on 52,716 user ratings","        $15,000,000        

      ",Mark Palansky,PT104M,"Christina Ricci,James McAvoy,Reese Witherspoon","         £769,840        

      (UK)
      ",2006,"Comedy,Fantasy,Romance"
"        $15,279,680        

      ","R,2008-09-05",Bangkok Dangerous,"5.4 based on 49,651 user ratings","        $40,000,000        

      ",Danny Pang,PT99M,"Nicolas Cage,Charlie Yeung,Shahkrit Yamnarm","         £307,420        

      (UK)
      ",2008,"Action,Crime,Thriller"
"        $60,269,340        

      ","PG-13,2008-04-25",Baby Mama,"6.0 based on 35,401 user ratings","        $30,000,000        

      ",Michael McCullers,PT99M,"Tina Fey,Amy Poehler,Sigourney Weaver","         $17,407,110        

      (USA)
      ",2008,"Comedy,Romance"
"        $23,705,592        

      ","R,2007-04-13",Perfect Stranger,"5.7 based on 38,982 user ratings","        $60,795,000        

      ",James Foley,PT109M,"Halle Berry,Bruce Willis,Giovanni Ribisi","         £277,047        

      (UK)
      ",2007,"Crime,Mystery,Thriller"
"        $18,986,844        

      ","R,2007-04-20",Vacancy,"6.2 based on 82,189 user ratings","        $19,000,000        

      ",Nimród Antal,PT85M,"Kate Beckinsale,Luke Wilson,Frank Whaley","         $7,603,376        

      (USA)
      ",2007,"Horror,Thriller"
"        $54,132,596        

      ","PG,2007-03-23",TMNT,"6.3 based on 55,087 user ratings","        $34,000,000        

      ",Kevin Munroe,PT87M,"Patrick Stewart,Mako,Chris Evans","         £948,791        

      (UK)
      ",2007,"Animation,Action,Adventure"
"        $7,563,670        

      ","PG-13,2008-02-01",Over Her Dead Body,"5.2 based on 21,776 user ratings","        $10,000,000        

      ",Jeff Lowell,PT95M,"Eva Longoria,Paul Rudd,Lake Bell","         £995,690        

      (UK)
      ",2008,"Comedy,Fantasy,Romance"
"        $50,562,555        

      ","PG-13,2007-02-14",Music and Lyrics,"6.5 based on 84,870 user ratings","        $40,000,000        

      ",Marc Lawrence,PT96M,"Hugh Grant,Drew Barrymore,Scott Porter","         £1,929,058        

      (UK)
      ",2007,"Comedy,Music,Romance"
"        $31,397,498        

      ","PG-13,2008-02-01",The Eye,"5.4 based on 45,682 user ratings","        $12,000,000        

      ",David Moreau,PT98M,"Jessica Alba,Alessandro Nivola,Parker Posey","         $12,425,776        

      (USA)
      ",2008,"Horror,Mystery"
"        $61,356,221        

      ","PG-13,2007-01-12",Stomp the Yard,"5.3 based on 19,996 user ratings","        $14,000,000        

      ",Sylvain White,PT109M,"Columbus Short,Meagan Good,Ne-Yo","         $25,876,318        

      (USA)
      ",2007,"Drama,Music,Romance"
"        $82,226,474        

      ","PG,2006-02-10",The Pink Panther,"5.6 based on 68,587 user ratings","        $65,000,000        

      ",Shawn Levy,PT93M,"Steve Martin,Kevin Kline,Jean Reno","         $20,220,412        

      (USA)
      ",2006,"Adventure,Comedy,Crime"
"        $36,883,539        

      ","PG-13,2006-03-03",16 Blocks,"6.6 based on 115,460 user ratings","        $52,000,000        

      ",Richard Donner,PT102M,"Bruce Willis,Yasiin Bey,David Morse","         $11,855,260        

      (USA)
      ",2006,"Action,Crime,Drama"
"        $38,432,823        

      ","PG-13,2006-09-15",Gridiron Gang,"6.9 based on 34,774 user ratings","        $30,000,000        

      ",Phil Joanou,PT125M,"Dwayne Johnson,Xzibit,L. Scott Caldwell","         $14,414,630        

      (USA)
      ",2006,"Crime,Drama,Sport"
"        $56,068,547        

      ","G,2005-10-07",The Curse of the Were-Rabbit,"7.5 based on 103,139 user ratings","        $30,000,000        

      ",Steve Box,PT85M,"Peter Sallis,Helena Bonham Carter,Ralph Fiennes","         $1,321,383        

      (Australia)
      ",2005,"Animation,Comedy,Family"
"        $11,596,143        

      ","R,2006-09-15",The Last Kiss,"6.5 based on 38,684 user ratings","        $20,000,000        

      ",Tony Goldwyn,PT104M,"Zach Braff,Jacinda Barrett,Rachel Bilson","         $4,627,989        

      (USA)
      ",2006,"Comedy,Drama,Romance"
"        $48,745,150        

      ","PG-13,2006-02-10",Firewall,"5.8 based on 51,266 user ratings","        $50,000,000        

      ",Richard Loncraine,PT105M,"Harrison Ford,Virginia Madsen,Paul Bettany","         $13,635,463        

      (USA)
      ",2006,"Crime,Thriller"
"        $31,704,416        

      ","PG-13,2005-07-29",Stealth,"5.0 based on 46,587 user ratings","        $135,000,000        

      ",Rob Cohen,PT121M,"Josh Lucas,Jessica Biel,Jamie Foxx","         $153,737        

      (South Africa)
      ",2005,"Action,Adventure,Sci-Fi"
"        $19,377,727        

      ","PG-13,2005-12-25",The Producers,"6.4 based on 36,122 user ratings","        $45,000,000        

      ",Susan Stroman,PT134M,"Nathan Lane,Matthew Broderick,Uma Thurman","         $154,590        

      (USA)
      ",2005,"Comedy,Musical"
"        $11,294,832        

      ","R,2006-01-06",Casanova,"6.5 based on 45,773 user ratings",,Lasse Hallström,PT112M,"Heath Ledger,Sienna Miller,Jeremy Irons","         $231,077        

      (USA)
      ",2005,"Adventure,Comedy,Drama"
"        $45,356,386        

      ","PG,2005-10-28",The Legend of Zorro,"5.9 based on 75,796 user ratings","        $75,000,000        

      ",Martin Campbell,PT129M,"Antonio Banderas,Catherine Zeta-Jones,Rufus Sewell","         £1,899,689        

      (UK)
      ",2005,"Action,Adventure,Western"
"        $31,585,300        

      ","PG-13,2005-02-04",The Wedding Date,"6.1 based on 40,500 user ratings","        $15,000,000        

      ",Clare Kilner,PT90M,"Dermot Mulroney,Debra Messing,Jack Davenport","         $11,129,580        

      (USA)
      ",2005,"Comedy,Romance"
"        $72,515,360        

      ","PG-13,2005-04-22",The Interpreter,"6.4 based on 88,202 user ratings","        $80,000,000        

      ",Sydney Pollack,PT128M,"Nicole Kidman,Sean Penn,Catherine Keener","         £1,589,829        

      (UK)
      ",2005,"Crime,Mystery,Thriller"
"        $51,097,664        

      ","R,2005-01-28",Hide and Seek,"5.9 based on 72,558 user ratings","        $30,000,000        

      ",John Polson,PT101M,"Robert De Niro,Dakota Fanning,Famke Janssen","         $21,959,233        

      (USA)
      ",2005,"Drama,Horror,Mystery"
"        $110,332,737        

      ","PG-13,2005-12-21",Fun with Dick and Jane,"6.1 based on 114,993 user ratings","        $100,000,000        

      ",Dean Parisot,PT90M,"Jim Carrey,Téa Leoni,Alec Baldwin","         $21,530,160        

      (USA)
      ",2005,"Comedy,Crime"
"        $55,808,744        

      ","PG-13,2005-03-04",Be Cool,"5.7 based on 60,882 user ratings","        $53,000,000        

      ",F. Gary Gray,PT118M,"John Travolta,Uma Thurman,Dwayne Johnson","         $23,450,212        

      (USA)
      ",2005,"Comedy,Crime,Music"
"        $32,865,161        

      ","PG-13,2005-07-22",Bad News Bears,"5.8 based on 18,002 user ratings","        $30,000,000        

      ",Richard Linklater,PT113M,"Billy Bob Thornton,Greg Kinnear,Marcia Gay Harden","         $11,382,472        

      (USA)
      ",2005,"Comedy,Sport"
"        $8,070,311        

      ","PG,2004-07-09",Sleepover,"5.3 based on 13,202 user ratings","        $10,000,000        

      ",Joe Nussbaum,PT89M,"Alexa PenaVega,Mika Boorem,Scout Taylor-Compton","         $4,171,226        

      (USA)
      ",2004,"Comedy,Romance"
