id,quarter,timestamp,price_doc,kremlin_km,full_sq,life_sq,kitch_sq,floor,max_floor,sub_area,okurg_district
1,Q3-11,2011-08-20,5850000,15.15621058,43.0,28.12,4.96235294118,4.0,5.0,Bibirevo,North Eastern 
2,Q3-11,2011-08-23,6000000,8.698054189,34.0,19.0,5.06666666667,3.0,9.0,Nagatinskij Zaton,Southern 
3,Q3-11,2011-08-27,5700000,9.067884956,43.0,29.0,7.32712765957,2.0,5.0,Tekstil'shhiki,South Eastern 
4,Q3-11,2011-09-01,13100000,19.48700542,89.0,67.5222222222,18.0059259259,9.0,17.0,Mitino,North Western 
5,Q3-11,2011-09-05,16331452,2.578670647,77.0,70.7777777778,14.0167755991,4.0,8.0,Basmannoe,Central 
6,Q3-11,2011-09-06,9100000,5.645795859,67.0,36.3714285714,14.2887755102,14.0,17.0,Nizhegorodskoe,South Eastern 
7,Q3-11,2011-09-08,5500000,6.468718768,25.0,14.0,2.86363636364,10.0,12.0,Sokol'niki,Eastern 
8,Q3-11,2011-09-09,2000000,15.77042634,44.0,30.0666666667,4.4,5.0,9.0,Bibirevo,North Eastern 
9,Q3-11,2011-09-10,5300000,10.357535,42.0,25.3867924528,6.76981132075,5.0,9.0,Koptevo,Northern 
10,Q3-11,2011-09-13,2000000,10.86912007,36.0,21.5769230769,3.88384615385,9.0,12.0,Kuncevo,Western 
11,Q3-11,2011-09-16,4650000,17.06679632,36.0,17.0526315789,6.25263157895,12.0,14.0,Kosino-Uhtomskoe,Eastern 
12,Q3-11,2011-09-16,4800000,16.13770406,38.0,18.7432432432,7.00505050505,11.0,16.0,Zapadnoe Degunino,Northern 
13,Q3-11,2011-09-17,5100000,13.2028609,43.0,28.0,7.33333333333,4.0,5.0,Kuncevo,Western 
14,Q3-11,2011-09-19,5200000,4.450091361,31.0,31.0,6.88888888889,4.0,5.0,Presnenskoe,Central 
15,Q3-11,2011-09-19,5000000,5.469215614,31.0,20.671875,5.72238685345,3.0,5.0,Lefortovo,South Eastern 
