id,timestamp,price_doc,kremlin_km,full_sq,life_sq,kitch_sq,floor,max_floor,build_year,num_room,state,material,sub_area,okurg_district,life_to_full,kitch_to_life
1,2011-08-20,5850000,15.15621058,43.0,27.0,,4.0,5.0,,,,,Bibirevo,North Eastern ,0.627906976744,
2,2011-08-23,6000000,8.698054189,34.0,19.0,,3.0,9.0,,,,,Nagatinskij Zaton,Southern ,0.558823529412,
3,2011-08-27,5700000,9.067884956,43.0,29.0,,2.0,5.0,,,,,Tekstil'shhiki,South Eastern ,0.674418604651,
4,2011-09-01,13100000,19.48700542,89.0,50.0,,9.0,17.0,,,,,Mitino,North Western ,0.561797752809,
5,2011-09-05,16331452,2.578670647,77.0,77.0,,4.0,8.0,,,,,Basmannoe,Central ,1.0,
6,2011-09-06,9100000,5.645795859,67.0,46.0,,14.0,17.0,,,,,Nizhegorodskoe,South Eastern ,0.686567164179,
7,2011-09-08,5500000,6.468718768,25.0,14.0,,10.0,12.0,,,,,Sokol'niki,Eastern ,0.56,
8,2011-09-09,2000000,15.77042634,44.0,44.0,,5.0,9.0,,,,,Bibirevo,North Eastern ,1.0,
9,2011-09-10,5300000,10.357535,42.0,27.0,,5.0,9.0,,,,,Koptevo,Northern ,0.642857142857,
10,2011-09-13,2000000,10.86912007,36.0,21.0,,9.0,12.0,,,,,Kuncevo,Western ,0.583333333333,
11,2011-09-16,4650000,17.06679632,36.0,19.0,,12.0,14.0,,,,,Kosino-Uhtomskoe,Eastern ,0.527777777778,
12,2011-09-16,4800000,16.13770406,38.0,19.0,,11.0,16.0,,,,,Zapadnoe Degunino,Northern ,0.5,
13,2011-09-17,5100000,13.2028609,43.0,28.0,,4.0,5.0,,,,,Kuncevo,Western ,0.651162790698,
14,2011-09-19,5200000,4.450091361,31.0,31.0,,4.0,5.0,,,,,Presnenskoe,Central ,1.0,
15,2011-09-19,5000000,5.469215614,31.0,21.0,,3.0,5.0,,,,,Lefortovo,South Eastern ,0.677419354839,
16,2011-09-20,1850000,14.11860041,51.0,31.0,,15.0,17.0,,,,,Mar'ino,South Eastern ,0.607843137255,
17,2011-09-20,6300000,10.31352228,47.0,31.0,,4.0,5.0,,,,,Kuz'minki,South Eastern ,0.659574468085,
18,2011-09-20,5900000,8.927901339,42.0,28.0,,2.0,5.0,,,,,Nagornoe,Southern ,0.666666666667,
19,2011-09-22,7900000,17.42368658,59.0,33.0,,10.0,14.0,,,,,Kosino-Uhtomskoe,Eastern ,0.559322033898,
20,2011-09-22,5200000,11.99140951,44.0,29.0,,4.0,5.0,,,,,Gol'janovo,Eastern ,0.659090909091,
21,2011-09-22,8200000,27.17480611,74.0,44.0,,10.0,14.0,,,,,Vnukovo,Western ,0.594594594595,
22,2011-09-22,5200000,13.91848212,39.0,39.0,,7.0,14.0,,,,,Juzhnoe Tushino,North Western ,1.0,
23,2011-09-23,6250000,16.22013333,48.0,34.0,,6.0,9.0,,,,,Severnoe Tushino,North Western ,0.708333333333,
24,2011-09-23,5750000,15.20493154,32.0,18.0,,3.0,9.0,,,,,Chertanovo Central'noe,Southern ,0.5625,
25,2011-09-23,6000000,15.76595734,34.0,19.0,,11.0,12.0,,,,,Juzhnoe Tushino,North Western ,0.558823529412,
26,2011-09-24,1050000,10.15250217,45.0,29.0,,9.0,12.0,,,,,Fili Davydkovo,Western ,0.644444444444,
27,2011-09-26,5000000,12.2453805,35.0,20.0,,4.0,9.0,,,,,Otradnoe,North Eastern ,0.571428571429,
28,2011-09-26,4700000,19.68847158,38.0,20.0,,6.0,9.0,,,,,Novo-Peredelkino,Western ,0.526315789474,
29,2011-09-26,8254400,9.068351888,73.0,38.0,,15.0,17.0,,,,,Bogorodskoe,Eastern ,0.520547945205,
30,2011-09-27,5900000,11.55160025,42.0,27.0,,3.0,5.0,,,,,Jaroslavskoe,North Eastern ,0.642857142857,
31,2011-09-27,6200000,14.41586649,40.0,20.0,,12.0,14.0,,,,,Strogino,North Western ,0.5,
32,2011-09-27,18300000,15.01059889,81.0,46.0,,24.0,25.0,,,,,Hovrino,Northern ,0.567901234568,
33,2011-09-28,4900000,16.04707598,38.0,34.0,,2.0,9.0,,,,,Bibirevo,North Eastern ,0.894736842105,
34,2011-09-28,4400000,12.33917428,31.0,18.0,,4.0,5.0,,,,,Moskvorech'e-Saburovo,Southern ,0.58064516129,
35,2011-09-28,3900000,37.20515244,39.0,19.0,,1.0,6.0,,,,,Staroe Krjukovo,Zelenograd ,0.487179487179,
36,2011-09-28,4850000,14.18326607,39.0,20.0,,1.0,9.0,,,,,Mar'ino,South Eastern ,0.512820512821,
37,2011-09-29,5700000,10.69493206,37.0,19.0,,9.0,12.0,,,,,Ljublino,South Eastern ,0.513513513514,
38,2011-09-30,4300000,14.61997452,27.0,27.0,,4.0,5.0,,,,,Caricyno,Southern ,1.0,
39,2011-09-30,4500000,12.32333481,33.0,18.0,,2.0,8.8,,,,,Veshnjaki,Eastern ,0.545454545455,
40,2011-09-30,2000000,12.85543932,33.0,18.0,,9.0,12.0,,,,,Veshnjaki,Eastern ,0.545454545455,
41,2011-09-30,6200000,3.921425922,45.0,30.0,,5.0,9.0,,,,,Danilovskoe,Southern ,0.666666666667,
42,2011-09-30,7500000,13.19335936,54.0,30.0,,10.0,12.0,,,,,Caricyno,Southern ,0.555555555556,
43,2011-10-01,5900000,9.145116862,40.0,25.0,,3.0,5.0,,,,,Preobrazhenskoe,Eastern ,0.625,
44,2011-10-01,9550000,12.69310373,59.0,42.0,,8.0,12.0,,,,,Kon'kovo,South Western ,0.71186440678,
45,2011-10-01,8600000,14.91321439,77.0,45.0,,10.0,12.0,,,,,Brateevo,Southern ,0.584415584416,
46,2011-10-01,2312800,17.94890404,42.0,22.0,,24.0,25.0,,,,,Mitino,North Western ,0.52380952381,
47,2011-10-03,6200000,12.45895118,38.0,23.0,,4.0,5.0,,,,,Vostochnoe Izmajlovo,Eastern ,0.605263157895,
48,2011-10-03,4833000,18.93333859,36.0,18.0,,5.0,17.0,,,,,Novo-Peredelkino,Western ,0.5,
49,2011-10-03,5300000,14.27223184,44.0,28.0,,2.0,12.0,,,,,Jaroslavskoe,North Eastern ,0.636363636364,
50,2011-10-03,5150000,14.41877416,37.0,19.0,,11.0,14.0,,,,,Zapadnoe Degunino,Northern ,0.513513513514,
51,2011-10-03,1000000,14.61997452,51.0,33.0,,1.0,5.0,,,,,Caricyno,Southern ,0.647058823529,
52,2011-10-03,5098000,16.17954734,37.0,19.0,,6.0,9.0,,,,,Vyhino-Zhulebino,South Eastern ,0.513513513514,
53,2011-10-03,5500000,7.907519074,46.0,29.0,,9.0,12.0,,,,,Tekstil'shhiki,South Eastern ,0.630434782609,
54,2011-10-03,6000000,5.048867488,38.0,37.0,,11.0,17.0,,,,,Donskoe,Southern ,0.973684210526,
55,2011-10-03,4800000,11.81055208,34.0,19.0,,10.0,16.0,,,,,Ljublino,South Eastern ,0.558823529412,
56,2011-10-04,5500000,11.06517573,43.0,25.0,,1.0,5.0,,,,,Novogireevo,Eastern ,0.581395348837,
57,2011-10-04,2000000,9.766482309,56.0,39.0,,4.0,5.0,,,,,Bogorodskoe,Eastern ,0.696428571429,
58,2011-10-04,5000000,24.90618499,35.0,35.0,,6.0,9.0,,,,,Juzhnoe Butovo,South Western ,1.0,
59,2011-10-04,9950000,9.204766851,75.0,46.0,,12.0,17.0,,,,,Sokol,Northern ,0.613333333333,
60,2011-10-04,990000,15.61823375,64.0,44.0,,14.0,16.0,,,,,Chertanovo Central'noe,Southern ,0.6875,
61,2011-10-04,14000000,19.58152764,96.0,51.0,,16.0,22.0,,,,,Kurkino,North Western ,0.53125,
62,2011-10-04,7200000,11.53828421,52.0,34.0,,4.0,12.0,,,,,Izmajlovo,Eastern ,0.653846153846,
63,2011-10-04,8400000,7.988774995,44.0,30.0,,10.0,12.0,,,,,Preobrazhenskoe,Eastern ,0.681818181818,
64,2011-10-04,2080000,12.53908266,39.0,39.0,,10.0,12.0,,,,,Novogireevo,Eastern ,1.0,
65,2011-10-04,5750000,6.122810056,35.0,20.0,,11.0,12.0,,,,,Donskoe,Southern ,0.571428571429,
66,2011-10-05,10011000,14.35624953,63.0,60.0,,12.0,17.0,,,,,Severnoe Medvedkovo,North Eastern ,0.952380952381,
67,2011-10-05,1000000,14.88441338,50.0,29.0,,9.0,12.0,,,,,Strogino,North Western ,0.58,
68,2011-10-05,7100000,5.048867488,51.0,50.0,,16.0,17.0,,,,,Donskoe,Southern ,0.980392156863,
69,2011-10-05,2000000,9.404261411,76.0,45.0,,11.0,12.0,,,,,Rostokino,North Eastern ,0.592105263158,
70,2011-10-05,6600000,16.45202723,45.0,30.0,,6.0,12.0,,,,,Orehovo-Borisovo Severnoe,Southern ,0.666666666667,
71,2011-10-05,5300000,15.23459354,32.0,19.0,,9.0,12.0,,,,,Bibirevo,North Eastern ,0.59375,
72,2011-10-05,2630000,13.08630242,64.0,28.0,,10.0,17.0,,,,,Ochakovo-Matveevskoe,Western ,0.4375,
73,2011-10-06,2600000,3.236725501,66.0,17.0,,2.0,17.0,,,,,Taganskoe,Central ,0.257575757576,
74,2011-10-06,4550000,14.9674249,38.0,19.0,,8.0,17.0,,,,,Dmitrovskoe,Northern ,0.5,
75,2011-10-06,7400000,4.549846342,37.0,22.0,,6.0,9.0,,,,,Donskoe,Southern ,0.594594594595,
76,2011-10-07,5300000,12.16178667,46.0,28.0,,3.0,5.0,,,,,Vyhino-Zhulebino,South Eastern ,0.608695652174,
77,2011-10-07,8900000,17.81151777,74.0,46.0,,17.0,22.0,,,,,Orehovo-Borisovo Juzhnoe,Southern ,0.621621621622,
78,2011-10-07,4950000,11.55109863,30.0,17.0,,7.0,9.0,,,,,Kuz'minki,South Eastern ,0.566666666667,
79,2011-10-07,7800000,15.95980721,53.0,30.0,,13.0,14.0,,,,,Teplyj Stan,South Western ,0.566037735849,
80,2011-10-07,17600000,12.47054357,133.0,64.0,,2.0,17.0,,,,,Izmajlovo,Eastern ,0.481203007519,
81,2011-10-07,1000000,12.90687237,47.0,31.0,,1.0,5.0,,,,,Gol'janovo,Eastern ,0.659574468085,
82,2011-10-07,990000,23.6381015,50.0,30.0,,9.0,10.0,,,,,Juzhnoe Butovo,South Western ,0.6,
83,2011-10-07,1000000,15.44433705,34.0,19.0,,8.0,9.0,,,,,Hovrino,Northern ,0.558823529412,
84,2011-10-07,990000,5.798406149,66.0,42.0,,7.0,12.0,,,,,Basmannoe,Central ,0.636363636364,
85,2011-10-07,9000000,22.85345731,63.0,33.0,,2.0,10.0,,,,,Juzhnoe Butovo,South Western ,0.52380952381,
86,2011-10-07,6700000,13.68062591,43.0,21.0,,7.0,9.0,,,,,Babushkinskoe,North Eastern ,0.488372093023,
