"TWOU      "	"2U, Inc.                            "
"AVHI      "	"A V Homes Inc                       "
"ATEN      "	"A10 Networks, Inc.                  "
"ACN       "	"Accenture Plc Class A               "
"ACIW      "	"ACI Worldwide, Inc.                 "
"ATVI      "	"Activision Blizzard, Inc.           "
"ACTA      "	"Actua Corporation                   "
"GOLF      "	"Acushnet Holdings Corp.             "
"ADBE      "	"Adobe Systems Incorporated          "
"AFL       "	"Aflac Incorporated                  "
"AGYS      "	"Agilysys, Inc.                      "
"AKAM      "	"Akamai Technologies, Inc.           "
"ALRM      "	"Alarm.com Holdings, Inc.            "
"Y         "	"Alleghany Corporation               "
"ADS       "	"Alliance Data Systems Corporation   "
"AWH       "	"Allied World Assurance Company Holdi"
"MDRX      "	"Allscripts Healthcare Solutions, Inc"
"ALL       "	"Allstate Corporation                "
"GOOGL     "	"Alphabet Inc. Class A               "
"AYX       "	"Alteryx, Inc. Class A               "
"AMBR      "	"Amber Road, Inc.                    "
"DOX       "	"Amdocs Limited                      "
"AEL       "	"American Equity Investment Life Hold"
"AFG       "	"American Financial Group, Inc.      "
"ANAT      "	"American National Insurance Company "
"AMSWA     "	"American Software, Inc. Class A     "
"AMSF      "	"AMERISAFE, Inc.                     "
"AFSI      "	"AmTrust Financial Services Inc.     "
"ANGI      "	"Angie's List, Inc.                  "
"ANSS      "	"ANSYS, Inc.                         "
"APPF      "	"AppFolio Inc Class A                "
"APTI      "	"Apptio, Inc. Class A                "
"ACGL      "	"Arch Capital Group Ltd.             "
"AGII      "	"Argo Group International Holdings, L"
"AHL       "	"Aspen Insurance Holdings Limited    "
"AZPN      "	"Aspen Technology, Inc.              "
"ATHN      "	"athenahealth, Inc.                  "
"AFH       "	"Atlas Financial Holdings, Inc.      "
"TEAM      "	"Atlassian Corp. Plc Class A         "
"ADSK      "	"Autodesk, Inc.                      "
"ADP       "	"Automatic Data Processing, Inc.     "
"BWINB     "	"Baldwin & Lyons, Inc. Class B       "
"CUDA      "	"Barracuda Networks, Inc.            "
"BSET      "	"Bassett Furniture Industries, Inc.  "
