subfolder,thumbnail,teamname,nmembers
/team/tmg,https://static-cdn.jtvnw.net/jtv_user_pictures/team-tmg-team_logo_image-2cd4eff7cfbd6ce2-300x300.png,The Melee Games,1 members
/team/roll20,/theme/images/avatar.png,Roll20.net,1 members
/team/innoutboys,https://static-cdn.jtvnw.net/jtv_user_pictures/team-innoutboys-team_logo_image-d920a3be01d8486c-300x300.png,In n Out Boys,1 members
/team/gamerpowered,/theme/images/avatar.png,Gamer Powered,1 members
/team/noxcrew,https://static-cdn.jtvnw.net/jtv_user_pictures/team-noxcrew-team_logo_image-03c7e8f4c4162813-300x300.png,Noxcrew,1 members
/team/adfinem,https://static-cdn.jtvnw.net/jtv_user_pictures/team-adfinem-team_logo_image-7401a5d6389c4d97-300x300.jpeg,Ad Finem  eSports,1 members
/team/supernova,/theme/images/avatar.png,Supernova,1 members
/team/xpcgaming,https://static-cdn.jtvnw.net/jtv_user_pictures/team-xpcgaming-team_logo_image-5d6adcb9b6b0c49f-300x300.png,XPCGaming,1 members
/team/the8bitmassacre,https://static-cdn.jtvnw.net/jtv_user_pictures/team-the8bitmassacre-team_logo_image-1f01fe6add7b77d5-300x300.png,The 8-Bit Massacre,1 members
/team/welovegaming,https://static-cdn.jtvnw.net/jtv_user_pictures/team-welovegaming-team_logo_image-01e9f5b15562c0e2-300x300.png,We Love Gaming,1 members
/team/halowc,https://static-cdn.jtvnw.net/jtv_user_pictures/team-halowc-team_logo_image-8cb622c444eebd3a-300x300.jpeg,Halo World Championship,1 members
/team/rng,https://static-cdn.jtvnw.net/jtv_user_pictures/team-rng-team_logo_image-fd80b63bd0d09196-300x300.png,Team RNG,1 members
/team/eswc,https://static-cdn.jtvnw.net/jtv_user_pictures/team-eswc-team_logo_image-91eed85b408863eb-300x300.png,ESWC,1 members
/team/ggez,/theme/images/avatar.png,GG EZ,1 members
/team/asgardtw,https://static-cdn.jtvnw.net/jtv_user_pictures/team-asgardtw-team_logo_image-f40b0619433234ff-300x300.png,Asgard TW,1 members
/team/eclipse,https://static-cdn.jtvnw.net/jtv_user_pictures/team-eclipse-team_logo_image-10bc0aaf0b0f29ec-300x300.png,Eclipse,1 members
/team/gsstudiotv,https://static-cdn.jtvnw.net/jtv_user_pictures/team-gsstudiotv-team_logo_image-ca568123293acfd7-300x300.jpeg,GSStudiotv,1 members
/team/finstack,/theme/images/avatar.png,FINSTACK,1 members
