title,clue,date,year,answer,day
 ,Treat similar to a Yodel, March 3, 2015,HOHO, Tuesday
 ,What RuPaul dresses in, March 3, 2015,DRAG, Tuesday
 ,Extent, March 3, 2015,SCOPE, Tuesday
 ,Big name in computers, March 3, 2015,ACER, Tuesday
 ,Gentle hill, March 3, 2015,RISE, Tuesday
 ,"""Congrats!""", March 3, 2015,KUDOS, Tuesday
 ,"Shoulder muscle, informally", March 3, 2015,DELT, Tuesday
 ,He played one of the lead roles in the film version of 50-/55-Across, March 3, 2015,JOHNNYDEPP, Tuesday
 ,Gambler's last words?, March 3, 2015,ALLIN, Tuesday
 ,Tattled, March 3, 2015,TOLD, Tuesday
 ,Writing style popularized by 35-Across, March 3, 2015,GONZOJOURNALISM, Tuesday
 ,Native Nebraskan, March 3, 2015,OTO, Tuesday
 ,Flagmaker Ross, March 3, 2015,BETSY, Tuesday
 ,Misrepresent, March 3, 2015,BELIE, Tuesday
 ,Fragrant neckwear, March 3, 2015,LEIS, Tuesday
 ,Bone below the elbow, March 3, 2015,ULNA, Tuesday
 ,Author of 50-/55-Across, March 3, 2015,HUNTERSTHOMPSON, Tuesday
 ,"""Looking at it differently ...,"" to a texter", March 3, 2015,OTOH, Tuesday
 ,"""___ kleine Nachtmusik""", March 3, 2015,EINE, Tuesday
 ,How some right turns are made, March 3, 2015,ONRED, Tuesday
 ,One who sniggles, March 3, 2015,EELER, Tuesday
 ,"""Toy Story"" dinosaur", March 3, 2015,REX, Tuesday
 ,See 35-Across, March 3, 2015,FEARANDLOATHING, Tuesday
 ,Some Wharton degs., March 3, 2015,MBAS, Tuesday
 ,Image on the last page of an alphabet book, March 3, 2015,ZEBRA, Tuesday
 ,See 35-Across, March 3, 2015,INLASVEGAS, Tuesday
 ,Flimflam, March 3, 2015,SCAM, Tuesday
 ,Aussie known for sleeping most of the day away, March 3, 2015,KOALA, Tuesday
 ,Elegance, March 3, 2015,LUXE, Tuesday
 ,Leviathan-like, March 3, 2015,HUGE, Tuesday
 ,Physicist Mach, March 3, 2015,ERNST, Tuesday
 ,Something cooked in a slow cooker, March 3, 2015,STEW, Tuesday
 ,Summers on the Seine, March 3, 2015,ETES, Tuesday
 ,Tried, March 3, 2015,HADAGO, Tuesday
 ,Spotted cat, March 3, 2015,OCELOT, Tuesday
 ,"""Not a chance!""", March 3, 2015,HELLNO, Tuesday
 ,Baseball slugger David known as Big Papi, March 3, 2015,ORTIZ, Tuesday
 ,N.B.A. star who started in the A.B.A., March 3, 2015,DRJ, Tuesday
 ,1982 double-platinum Duran Duran album, March 3, 2015,RIO, Tuesday
 ,Bat wood, March 3, 2015,ASH, Tuesday
 ,Aristocrats, March 3, 2015,GENTRY, Tuesday
 ,Space station that crashed in 1979, March 3, 2015,SKYLAB, Tuesday
 ,Get cozy together, March 3, 2015,CUDDLEUP, Tuesday
 ,Laudatory verse, March 3, 2015,ODE, Tuesday
