title,clue,date,year,answer,day
 ,As high as you can go, August 19, 2015,ACME, Wednesday
 ,"With 68-Across, what the groups of circled letters are famous examples of", August 19, 2015,WATER, Wednesday
 ,Instrument similar to a cor anglais, August 19, 2015,OBOE, Wednesday
 ,Use a Veg-o-Matic, August 19, 2015,CHOP, Wednesday
 ,"Italian's ""I love you""", August 19, 2015,TIAMO, Wednesday
 ,Fond of self-reflection?, August 19, 2015,VAIN, Wednesday
 ,"Per the Beach Boys, they're the cutest in the world", August 19, 2015,CALIFORNIAGIRLS, Wednesday
 ,Ranchero's rope, August 19, 2015,RIATA, Wednesday
 ,Flogging implement, August 19, 2015,STRAP, Wednesday
 ,Usually dry gulches, August 19, 2015,ARROYOS, Wednesday
 ,Sea monster of Norse myth, August 19, 2015,KRAKEN, Wednesday
 ,Streaker at night, August 19, 2015,METEOR, Wednesday
 ,"Barclays Center, e.g.", August 19, 2015,ARENA, Wednesday
 ,"City founded by a twin, in myth", August 19, 2015,ROME, Wednesday
 ,"Actor Katz of ""Dallas""", August 19, 2015,OMRI, Wednesday
 ,Turf war adversaries, August 19, 2015,GANGS, Wednesday
 ,Pass with flying colors, August 19, 2015,ACE, Wednesday
 ,Sewer's protection, August 19, 2015,THIMBLE, Wednesday
 ,Narc's org., August 19, 2015,DEA, Wednesday
 ,"Friedlander of ""30 Rock""", August 19, 2015,JUDAH, Wednesday
 ,Forbidden-sounding perfume, August 19, 2015,TABU, Wednesday
 ,Mobster's gal, August 19, 2015,MOLL, Wednesday
 ,Words of concession, August 19, 2015,ILOSE, Wednesday
 ,Mind-boggler, August 19, 2015,ENIGMA, Wednesday
 ,"Mr. Boddy, in the game Clue", August 19, 2015,VICTIM, Wednesday
 ,"Rabbi, e.g.", August 19, 2015,TEACHER, Wednesday
 ,Home of Maine's Black Bears, August 19, 2015,ORONO, Wednesday
 ,Zoo heavyweight, August 19, 2015,RHINO, Wednesday
 ,Chester Nimitz or William Halsey, August 19, 2015,FOURSTARADMIRAL, Wednesday
 ,___-G suit, August 19, 2015,ANTI, Wednesday
 ,Dumbstruck, August 19, 2015,INAWE, Wednesday
 ,"Salt, chemically", August 19, 2015,NACL, Wednesday
 ,Exiled shah Mohammad ___ Pahlavi, August 19, 2015,REZA, Wednesday
 ,See 5-Across, August 19, 2015,FALLS, Wednesday
 ,"Trauma experts, briefly", August 19, 2015,EMTS, Wednesday
 ,Ghana's capital, August 19, 2015,ACCRA, Wednesday
 ,"Direct, as a meeting", August 19, 2015,CHAIR, Wednesday
 ,One of eight baby teeth, August 19, 2015,MOLAR, Wednesday
 ,Perfect example, August 19, 2015,EPITOME, Wednesday
 ,Intl. commerce group, August 19, 2015,WTO, Wednesday
 ,Go public with, August 19, 2015,AIR, Wednesday
 ,Some salon acquisitions, August 19, 2015,TANS, Wednesday
 ,Throw off, August 19, 2015,EMIT, Wednesday
 ,"""The Fountainhead"" hero Howard", August 19, 2015,ROARK, Wednesday
 ,Egg-laying animals, August 19, 2015,OVIPARA, Wednesday
 ,Vaulter's hurdle, August 19, 2015,BAR, Wednesday
 ,Subject of a 1973 crisis, August 19, 2015,OIL, Wednesday
 ,U.S.N.A. grad: Abbr., August 19, 2015,ENS, Wednesday
 ,"Dunaway of ""Chinatown""", August 19, 2015,FAYE, Wednesday
 ,Motorhead's workplace, August 19, 2015,GARAGE, Wednesday
 ,"Texter's ""However ...""", August 19, 2015,OTOH, Wednesday
 ,Hebrew or Arab, August 19, 2015,SEMITE, Wednesday
 ,Japanese sword sport, August 19, 2015,KENDO, Wednesday
 ,TV foreign correspondent Richard, August 19, 2015,ENGEL, Wednesday
 ,Congested-sounding, August 19, 2015,NASAL, Wednesday
 ,Financial guru Suze, August 19, 2015,ORMAN, Wednesday
 ,Croaking sound, August 19, 2015,RIBBIT, Wednesday
 ,Indira Gandhi's ill-fated son, August 19, 2015,RAJIV, Wednesday
 ,Eye-shaped openings, August 19, 2015,OCULI, Wednesday
 ,French red wine, August 19, 2015,MEDOC, Wednesday
 ,His and hers, August 19, 2015,THEIRS, Wednesday
 ,Olympic downhill event, August 19, 2015,LUGE, Wednesday
 ,Oregon city named for a furrier, August 19, 2015,ASTORIA, Wednesday
 ,"Cyborg, in part", August 19, 2015,MACHINE, Wednesday
 ,"Head of the class, in pioneer schools", August 19, 2015,MARM, Wednesday
 ,Theme, August 19, 2015,MOTIF, Wednesday
 ,Distiller ___ Walker, August 19, 2015,HIRAM, Wednesday
 ,Sign into law, August 19, 2015,ENACT, Wednesday
 ,Diner basketful, August 19, 2015,ROLLS, Wednesday
 ,Granny, August 19, 2015,NANA, Wednesday
 ,Student's viva voce, August 19, 2015,ORAL, Wednesday
 ,Partner of away, August 19, 2015,FAR, Wednesday
 ,Score for a post-touchdown kick, August 19, 2015,ONE, Wednesday
 ,Big name in chips and pretzels, August 19, 2015,UTZ, Wednesday
 ,Saddler's tool, August 19, 2015,AWL, Wednesday
 ,Start of many French surnames, August 19, 2015,DES, Wednesday
 ,Butchers' cuts, August 11, 2015,LOINS, Tuesday
 ,"Goo-goo-eyed, old-style", August 11, 2015,SMIT, Tuesday
 ,"""Shoo-be-doo-be-doo-wop,"" e.g.", August 11, 2015,SCAT, Tuesday
 ,Fancy tie, August 11, 2015,ASCOT, Tuesday
 ,Ones steeped in tradition in England?, August 11, 2015,TEAS, Tuesday
 ,"""___ be in England"" (Browning line)", August 11, 2015,OHTO, Tuesday
 ,Frequent Bart Simpson antic, August 11, 2015,PHONEPRANK, Tuesday
 ,Chicken condo?, August 11, 2015,COOP, Tuesday
 ,Critique scathingly, August 11, 2015,PAN, Tuesday
 ,Lowly worker, August 11, 2015,PEON, Tuesday
 ,Chili con ___, August 11, 2015,CARNE, Tuesday
 ,"Ask the boss for more vacation time after getting a raise, perhaps", August 11, 2015,PUSHYOURLUCK, Tuesday
 ,Befitting, August 11, 2015,APROPOS, Tuesday
 ,"Org. for ""King James""", August 11, 2015,NBA, Tuesday
 ,"""Finding Nemo"" setting", August 11, 2015,SEA, Tuesday
 ,Biblical kingdom or its Utah namesake, August 11, 2015,MOAB, Tuesday
 ,Birds flying in a V formation, August 11, 2015,GEESE, Tuesday
 ,Scold a person, August 11, 2015,PINONESEARSBACK, Tuesday
 ,Millionaire's vessel, August 11, 2015,YACHT, Tuesday
 ,I Can't Believe It's Not Butter! product, August 11, 2015,OLEO, Tuesday
 ,"[Oh, I can't go on!]", August 11, 2015,SOB, Tuesday
 ,Frat guy, August 11, 2015,BRO, Tuesday
 ,Camden Yards team, August 11, 2015,ORIOLES, Tuesday
 ,Landmark with the year 1620 inscribed on it, August 11, 2015,PLYMOUTHROCK, Tuesday
 ,Depart from the prepared text, August 11, 2015,ADLIB, Tuesday
 ,River to the Ubangi, August 11, 2015,UELE, Tuesday
 ,"Message spelled out with coconuts, maybe", August 11, 2015,SOS, Tuesday
 ,Where the tibia is, August 11, 2015,SHIN, Tuesday
 ,Messy sandwich filler ... or a hint to this puzzle's circled letters, August 11, 2015,PULLEDPORK, Tuesday
 ,Hand: Sp., August 11, 2015,MANO, Tuesday
 ,Color printer purchases, August 11, 2015,INKS, Tuesday
 ,"""Well, ___!""", August 11, 2015,ILLBE, Tuesday
 ,"Editor's ""On second thought""", August 11, 2015,STET, Tuesday
 ,Prominent part of a Groucho disguise, August 11, 2015,NOSE, Tuesday
 ,"What ""N"" is for, in a Sue Grafton title", August 11, 2015,NOOSE, Tuesday
 ,Reindeer herder, August 11, 2015,LAPP, Tuesday
 ,"Sweatshop regulator, for short", August 11, 2015,OSHA, Tuesday
 ,iPad screen feature, August 11, 2015,ICON, Tuesday
 ,Vote in France, August 11, 2015,NON, Tuesday
 ,"Meet a challenge, say", August 11, 2015,STEPUP, Tuesday
 ,Classic beer once brewed in Detroit, August 11, 2015,STROHS, Tuesday
 ,Ogre, August 11, 2015,MEANY, Tuesday
 ,Fleming who created 007, August 11, 2015,IAN, Tuesday
 ,"""For shame!""", August 11, 2015,TSK, Tuesday
 ,"San Diego setting, informally", August 11, 2015,SOCAL, Tuesday
