title,clue,date,year,answer,day
 ,Like a new recruit, November 19, 2014,RAW, Wednesday
 ,"Raise, as Old Glory", November 19, 2014,HOIST, Wednesday
 ,Fritter away, November 19, 2014,WASTE, Wednesday
 ,Patterned after, November 19, 2014,ALA, Wednesday
 ,Come to mind, November 19, 2014,OCCUR, Wednesday
 ,"""In the red,"" e.g.", November 19, 2014,IDIOM, Wednesday
 ,NAFTA signatory: Abbr., November 19, 2014,MEX, Wednesday
 ,"With 64-Across, words of certainty ... or a hint to 23-, 40- and 56-Across", November 19, 2014,THERESNOTWO, Wednesday
 ,At attention, November 19, 2014,ERECT, Wednesday
 ,"One headed for Ellis Island, say", November 19, 2014,EMIGRANT, Wednesday
 ,"""Silkwood"" screenwriter", November 19, 2014,NORAEPHRON, Wednesday
 ,Gaelic tongue, November 19, 2014,ERSE, Wednesday
 ,___ Croft (Angelina Jolie role), November 19, 2014,LARA, Wednesday
 ,Clerical nickname, November 19, 2014,REV, Wednesday
 ,"Cuisine in which ""phat mama"" is a noodle dish", November 19, 2014,THAI, Wednesday
 ,Little pain in the you-know-where, November 19, 2014,IMP, Wednesday
 ,Archipelago makeup, November 19, 2014,ISLES, Wednesday
 ,Like Advil vis--vis Vicodin, November 19, 2014,NONPRESCRIPTION, Wednesday
 ,Mormon's obligation, November 19, 2014,TITHE, Wednesday
 ,"Make darts, say", November 19, 2014,SEW, Wednesday
 ,Bit of dinero, November 19, 2014,PESO, Wednesday
 ,"""Fire away!""", November 19, 2014,ASK, Wednesday
 ,"Instrument in the painting ""The Spirit of '76""", November 19, 2014,FIFE, Wednesday
 ,Contest with seconds, November 19, 2014,DUEL, Wednesday
 ,Convention outcome, November 19, 2014,NOMINATION, Wednesday
 ,Where the Joads were driven from, November 19, 2014,OKLAHOMA, Wednesday
 ,Presto or largo, November 19, 2014,TEMPO, Wednesday
 ,See 18-Across, November 19, 2014,WAYSABOUTIT, Wednesday
 ,Adopt-a-thon adoptee, November 19, 2014,PET, Wednesday
 ,Krupp Works city, November 19, 2014,ESSEN, Wednesday
 ,Took a spin, November 19, 2014,DROVE, Wednesday
 ,Bard's preposition, November 19, 2014,ERE, Wednesday
 ,Dirty looks?, November 19, 2014,LEERS, Wednesday
 ,"""Cowboy and the Senorita,"" e.g.", November 19, 2014,OATER, Wednesday
 ,One in knickers, November 19, 2014,LAD, Wednesday
 ,Noodle dish, November 19, 2014,RAMEN, Wednesday
 ,Last Oldsmobile, November 19, 2014,ALERO, Wednesday
 ,Car wash machine, November 19, 2014,WAXER, Wednesday
 ,Cold sufferer's drink, November 19, 2014,HOTTEA, Wednesday
 ,"Gaelic ""Gee!""", November 19, 2014,OCH, Wednesday
 ,It might go away for the summer, November 19, 2014,ICE, Wednesday
 ,Not so iffy, November 19, 2014,SURER, Wednesday
 ,Something a seismograph picks up, November 19, 2014,TREMOR, Wednesday
 ,Buffalo ___, November 19, 2014,WING, Wednesday
 ,Be wild for, November 19, 2014,ADORE, Wednesday
 ,Instrument with sympathetic strings, November 19, 2014,SITAR, Wednesday
 ,Dots on a map, November 19, 2014,TOWNS, Wednesday
 ,"Act badly, in a way", November 19, 2014,EMOTE, Wednesday
 ,It has a reciprocal function, November 19, 2014,SINE, Wednesday
 ,"Self-proclaimed leader of ISIS, e.g.", November 19, 2014,CALIPH, Wednesday
 ,___-dieu, November 19, 2014,PRIE, Wednesday
 ,Prosciutto and others, November 19, 2014,HAMS, Wednesday
 ,Big wheel, November 19, 2014,VIP, Wednesday
 ,Discharge letters?, November 19, 2014,TNT, Wednesday
 ,___ polloi, November 19, 2014,HOI, Wednesday
 ,Aardvark's morsel, November 19, 2014,ANT, Wednesday
 ,"IBM-compatibles, e.g.", November 19, 2014,PCS, Wednesday
 ,"Tropicana Field site, informally", November 19, 2014,STPETE, Wednesday
 ,Factor in club selection, November 19, 2014,LIE, Wednesday
 ,Canon offering, November 19, 2014,EOS, Wednesday
 ,Nestl ___ Caps, November 19, 2014,SNO, Wednesday
 ,"Stephen of ""Citizen X""", November 19, 2014,REA, Wednesday
 ,"Lower one's A.P.R., perhaps", November 19, 2014,REFI, Wednesday
 ,"""Heads ___, tails ...""", November 19, 2014,IWIN, Wednesday
 ,Elitist, November 19, 2014,SNOB, Wednesday
 ,___ dragon (huge lizard), November 19, 2014,KOMODO, Wednesday
