answer,title,clue
TWOS,"New York Times, Wednesday, April 20, 2016",Uncommon bills
WACO,"New York Times, Wednesday, April 20, 2016",Texas city where Dr Pepper was created
GHOSTS,"New York Times, Wednesday, April 20, 2016",Wraiths
AERO,"New York Times, Wednesday, April 20, 2016",Reducing wind resistance
AFRO,"New York Times, Wednesday, April 20, 2016",Hairstyle maintained with a pick
OILCUP,"New York Times, Wednesday, April 20, 2016",Receptacle in a machine
GRANDSLAM,"New York Times, Wednesday, April 20, 2016",Baseball scoring play
ODDONE,"New York Times, Wednesday, April 20, 2016",Rara avis
GET,"New York Times, Wednesday, April 20, 2016",Understand
LARD,"""TEE"" TIME",Contents of some tubs
CHOMPED,"New York Times, Wednesday, April 20, 2016",Munched (on)
ERIC,"New York Times, Wednesday, April 20, 2016","""Layla"" musician Clapton"
IWOJIMA,"New York Times, Wednesday, April 20, 2016",Site of an iconic war photo
AOK,"""TEE"" TIME",Copacetic
SASH,"""TEE"" TIME",Military band
SPLASH,"""TEE"" TIME",Showy debut
OVERRIPE,"""TEE"" TIME","Turning brown, as a banana"
SMARTYPANTS,"New York Times, Friday, April 22, 2016",Too-clever-by-half type
RAGEQUIT,"New York Times, Saturday, April 23, 2016","Give up out of frustration, in slang"
CHASM,"New York Times, Wednesday, April 27, 2016","Grand Canyon, notably"
HATTRICK,"New York Times, Wednesday, April 20, 2016",Hockey scoring play
NORA,"New York Times, Wednesday, April 20, 2016","Ephron who wrote ""When Harry Met Sally"""
ETA,"New York Times, Wednesday, April 20, 2016","Moment to come, briefly"
TOI,"New York Times, Wednesday, April 20, 2016",French pronoun
LIEN,"New York Times, Thursday, April 21, 2016","Collateral, of a sort"
AMINO,"""TEE"" TIME",Acid head?
ORALLY,"""TEE"" TIME",How some papers are presented
CASUALTYFRIDAY,"""TEE"" TIME",Nickname for an accident-prone L.A.P.D. sergeant?
RANSOM,"""TEE"" TIME",___ note
ATONCE,"""TEE"" TIME",Stat
SLID,"""TEE"" TIME","Avoided a tag, say"
PATTYDOWN,"""TEE"" TIME",Cry from an errant burger flipper?
TALKERS,"""TEE"" TIME",Chatty Cathy types
GPA,"New York Times, Friday, April 22, 2016",Important school fig.
MADEYOULOOK,"New York Times, Friday, April 22, 2016",Taunt to a head-turner
RAM,"New York Times, Friday, April 22, 2016",Head-butter
ORDERONLINE,"New York Times, Friday, April 22, 2016","Make an Amazon visit, say"
ESP,"New York Times, Friday, April 22, 2016",Thoughtful gift?
TITLE,"New York Times, Friday, April 22, 2016","Lady, for one"
GYMRAT,"New York Times, Saturday, April 23, 2016",Person with pressing things to do?
OHIDUNNO,"New York Times, Saturday, April 23, 2016",[Shrug]
SORELY,"New York Times, Saturday, April 23, 2016",Very much
SENDAWAY,"New York Times, Saturday, April 23, 2016",Exile
TUMBLR,"New York Times, Saturday, April 23, 2016",Blogging site owned by Yahoo
OAT,"New York Times, Wednesday, April 27, 2016",Muesli morsel
CAVED,"New York Times, Wednesday, April 27, 2016","Acceded, informally"
HAIKU,"New York Times, Wednesday, April 27, 2016",Three-line work
MLI,"New York Times, Wednesday, April 27, 2016",Mid-11th century year
ALIVE,"New York Times, Wednesday, April 27, 2016",Still in the running
ELLISBELL,"New York Times, Wednesday, April 27, 2016","Pen name of the female author of ""Wuthering Heights"""
ABANG,"New York Times, Monday, April 25, 2016",Go out with ___
ASS,"New York Times, Wednesday, April 20, 2016","Onager, for one"
GLINT,"New York Times, Wednesday, April 20, 2016",Catch the light
ROUGES,"New York Times, Wednesday, April 20, 2016",Makes red in the face
